"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	1.0729132	0.9654114	0.1012784	1.0114229	0.6037942	0.5833912	1.0042610	0.2076599	0.3201499	0.0085597
100	1.0173641	1.1148854	0.0964462	0.9133779	0.6448186	0.6721077	0.9959755	0.2160592	0.1521327	0.0055495
150	1.0594217	1.0158652	0.1155999	0.9086977	0.6917682	0.6584640	0.9682206	0.1802693	0.0887653	0.0000000
200	0.9928521	0.9483855	0.1127332	0.9232054	0.7275321	0.6811355	0.9922197	0.1825004	0.0596750	0.0007378
250	1.0319370	1.0123311	0.1216175	0.9598951	0.6945106	0.6636599	1.0854059	0.1970830	0.0802583	0.0000561
300	0.9482532	1.0547537	0.1242013	0.9874076	0.6575651	0.6067530	1.0187517	0.2120161	0.0897252	0.0016461
350	0.9617800	0.9659267	0.1530802	0.9685282	0.6388485	0.6354427	1.0043068	0.2666580	0.0783866	0.0003055
400	0.9931079	1.0159323	0.1854727	0.9814128	0.6728739	0.6643850	1.0212345	0.2390066	0.0679562	0.0000000
450	0.9994173	1.0862250	0.1771426	0.8931982	0.6218622	0.7506120	1.0189516	0.2748161	0.0403461	0.0016528
500	1.0267594	1.0276357	0.2120886	0.9107741	0.5518490	0.6060646	1.0433031	0.2833961	0.0682662	0.0008987
550	1.0724425	1.0113203	0.2317086	0.9446212	0.5320428	0.4333301	1.0388091	0.2305516	0.4087251	0.0525788
600	1.0191599	0.9362565	0.2371388	0.9429976	0.4799611	0.3767328	1.0397241	0.2212986	0.5563068	0.0577991
650	0.9692153	0.9030841	0.2081631	0.9775147	0.4707317	0.3988404	1.0049900	0.2576342	0.6097512	0.0339374
700	0.9984822	1.0039448	0.2363283	0.9702075	0.5529940	0.4338632	1.0036387	0.3015726	0.6068316	0.0414289
750	1.0073973	0.9647703	0.2235339	0.9935971	0.6119759	0.4283372	0.9703876	0.3256123	0.6385450	0.0640530
800	0.9857459	0.9557975	0.2150869	0.9267052	0.5202847	0.4844625	1.0997595	0.2655918	0.7616979	0.0452503
850	0.9969984	0.9480709	0.2012156	0.9843933	0.5734462	0.4417673	1.0224206	0.2299114	0.6933624	0.0702177
900	1.0153853	1.0793913	0.2021569	0.9921149	0.5777741	0.4656589	1.0832380	0.2055524	0.7390151	0.0661559
950	0.9717333	0.9858463	0.2350809	0.9046264	0.5798383	0.4517514	1.0056734	0.2344758	0.7098625	0.0695002
1000	0.9824812	0.9280174	0.2901753	0.9189296	0.5449058	0.5020359	1.0398730	0.2213170	0.6914123	0.0486662

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	1.0027579	0.9411656	0.2098543	0.8837102	0.6861291	0.4194548	0.9235525	0.0817839	0.6639251	0.0457814
100	1.0575130	0.9313040	0.2112525	0.9684524	0.7719900	0.4176205	0.9441997	0.0159222	0.5734691	0.0510960
150	1.0746700	1.0038373	0.2023283	0.9736507	0.7842551	0.4563870	1.0630477	0.0136807	0.6121572	0.0541323
200	1.0692208	1.0073482	0.2084789	1.0619442	0.8651867	0.4254716	1.0039685	0.0091224	0.7086933	0.0575225
250	0.9899530	0.8775962	0.1920479	0.9698274	0.9033578	0.4306043	0.9563160	0.0113407	0.6797805	0.0591616
300	1.0467448	0.9210199	0.2009737	1.0364770	0.9255088	0.4618043	0.8981016	0.0039137	0.6964395	0.0774201
350	0.9951130	0.9880938	0.2489458	0.9637464	0.8992305	0.3950792	0.9908560	0.0023072	0.7154712	0.0566045
400	0.9923689	0.9542116	0.2853424	0.9740698	0.8220540	0.4172868	1.1043104	0.0014951	0.7204562	0.0549156
450	0.9568942	0.9897353	0.2587739	0.9160616	0.8303009	0.3524072	1.0680717	0.0019487	0.7569124	0.0604937
500	0.8695894	1.0163493	0.2977083	0.8901379	0.7736645	0.4163582	0.9741273	0.0100054	0.6909735	0.0399158
550	0.9889188	1.0560680	0.3231728	0.8811339	0.6171517	0.4306308	1.0149998	0.2339523	0.6998885	0.0543610
600	0.9017379	1.0478413	0.3119255	0.9058868	0.5352974	0.4061817	1.0310903	0.2808509	0.6180505	0.0580863
650	0.9113127	1.0394444	0.3390458	0.8682990	0.4845694	0.3885472	0.9978364	0.3046541	0.6319432	0.0406920
700	0.9938192	0.9846388	0.2724273	0.9285175	0.4357550	0.3436313	1.0090477	0.3056721	0.6200649	0.0411735
750	1.0085600	1.0108051	0.3004609	0.9140601	0.4857693	0.4081431	0.9870810	0.2764248	0.6214242	0.0646248
800	0.9398471	1.0133197	0.2540075	1.0380764	0.4180572	0.4283765	1.0115532	0.2422846	0.6793129	0.0736747
850	1.0238239	1.0180991	0.1771413	0.9554157	0.4841244	0.4281051	0.9593687	0.2613181	0.6418917	0.0498894
900	0.9810208	1.0718096	0.1724049	0.9272806	0.4846131	0.4349966	1.0544951	0.2552180	0.6988171	0.0535295
950	1.0056469	0.9820398	0.2388136	0.9486677	0.5123589	0.4751438	1.0313906	0.2634052	0.7189204	0.0572879
1000	1.0015722	0.9822533	0.2412685	0.9665034	0.5078608	0.4007433	1.0018548	0.2952674	0.6526287	0.0609365

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	1.0280096	1.0769949	0.1682833	0.9051433	0.5461401	0.3828792	0.9194883	0.2225470	0.5651312	0.0559618
100	1.0591348	0.9462905	0.1931582	0.9503564	0.5366277	0.3789469	0.9720693	0.2734699	0.5903272	0.0319884
150	1.0199357	0.9500481	0.1935103	0.8667085	0.5403237	0.4051477	1.0499572	0.2943045	0.6422126	0.0468632
200	0.9834044	0.9925743	0.1772310	0.9241867	0.5268846	0.4682392	1.0332135	0.2537892	0.6235681	0.0339276
250	1.0134443	0.8883340	0.2004498	0.9192533	0.5973617	0.4091665	0.9613847	0.2594419	0.5548398	0.0529434
300	0.9562845	0.9948141	0.2655285	0.9199602	0.5964860	0.4555174	0.9838526	0.2820789	0.5845240	0.0538580
350	0.9816542	1.0073457	0.2590512	0.9717790	0.5516238	0.4317463	0.9879045	0.2704341	0.6507191	0.0487796
400	0.9885841	0.9734344	0.1969789	0.9876883	0.5355198	0.4427167	1.0359667	0.2486233	0.6368215	0.0552160
450	0.9746836	1.0568720	0.2694205	0.9722060	0.5392149	0.4264254	1.0394382	0.2529462	0.6033899	0.0737827
500	1.0870091	1.0533356	0.2166126	0.9732850	0.5576754	0.4057036	0.9886292	0.2189580	0.5942106	0.0719827
550	0.9709219	0.8702670	0.1410512	0.9520843	0.5263664	0.3965583	0.9836627	0.1989445	0.5798705	0.0551659
600	0.9216487	0.9165623	0.1922339	0.9591578	0.5083632	0.4431238	0.9585708	0.2545943	0.5893688	0.0401360
650	0.9478759	0.9584552	0.2445643	0.8941956	0.5331489	0.4243776	1.0110531	0.2882350	0.5603480	0.0539320
700	1.0278649	1.0027780	0.2471294	0.9130991	0.5317212	0.3767260	0.9382670	0.2646498	0.6649932	0.0586814
750	0.9904898	0.9690784	0.2113796	0.9084696	0.4999231	0.4551062	0.9793280	0.2605497	0.6733573	0.0318958
800	0.9413304	1.0348434	0.2464451	0.8683180	0.4917702	0.4431405	0.9800868	0.2290381	0.5938060	0.0489078
850	0.9082379	0.9459343	0.2151076	0.9660277	0.4916901	0.4219479	0.9945039	0.2443455	0.5815508	0.0657436
900	0.9336740	1.0655302	0.2187182	1.0241246	0.4718942	0.3561593	0.9375256	0.2693966	0.6248138	0.0695057
950	0.9731936	1.0207252	0.2615505	0.9775445	0.4855927	0.3999785	1.0064984	0.2668422	0.5904160	0.0590744
1000	1.0083013	1.0769028	0.2417920	0.9131007	0.4846358	0.4051552	1.0776223	0.2575378	0.5689433	0.0728570

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	0.7725299	0.9951006	0.2138828	1.0083045	0.6333748	0.4234858	0.9736806	0.2633599	0.6864904	0.0112007
100	0.8033783	1.0091320	0.2205019	1.0136900	0.6552612	0.4358056	1.0404985	0.2827075	0.6567040	0.0017593
150	0.7228263	1.0115618	0.2166587	0.9888433	0.5876139	0.4681606	1.0277168	0.2923804	0.6742225	0.0014308
200	0.7406206	1.0366027	0.2095616	0.9189848	0.5448316	0.4412295	1.0759333	0.2978087	0.6538754	0.0032150
250	0.8081479	0.9537345	0.2774035	0.9094590	0.5469852	0.4041907	0.9555032	0.3445986	0.6522143	0.0015642
300	0.7620944	1.0583326	0.3203656	0.8847020	0.4730357	0.4071719	0.9326975	0.3166419	0.6596071	0.0025365
350	0.7528150	0.9577768	0.2860519	0.9233539	0.4132255	0.4410587	1.0163014	0.3206803	0.6367669	0.0012447
400	0.7257989	1.0465921	0.3331435	0.9814402	0.4525319	0.4018500	1.0087953	0.3402597	0.6769295	0.0018558
450	0.7849635	1.0736989	0.3106635	0.9341573	0.4669511	0.4377560	1.0051271	0.3981626	0.6501644	0.0070941
500	0.7916825	1.0203589	0.3258717	0.8774965	0.3941637	0.3882303	0.9935456	0.3242756	0.6786697	0.0013629
550	0.9404414	0.9878619	0.3739225	0.8261692	0.4600271	0.4197913	0.9384217	0.2789104	0.6417278	0.0477088
600	0.9755387	0.9639857	0.3220257	0.8408308	0.3945397	0.4047186	0.9617816	0.2474707	0.6287506	0.0457215
650	1.0565128	1.0445913	0.3235819	0.8109748	0.3755517	0.4087999	1.0666613	0.2473288	0.5865726	0.0608748
700	1.0991059	0.9692213	0.2181453	0.9829001	0.4027901	0.4181993	0.9825140	0.2236236	0.6564210	0.0606402
750	1.0422177	0.9305975	0.1974123	0.9296032	0.4855329	0.4556389	0.9201553	0.1886789	0.6656105	0.0620126
800	0.9272390	1.0232696	0.1920564	0.9436990	0.5499350	0.4261020	0.9705641	0.2637445	0.6360941	0.0399409
850	0.9982971	0.9950248	0.2135446	0.9455527	0.5378698	0.3743046	1.0053801	0.2315234	0.6685843	0.0469003
900	0.9955080	1.1030190	0.2699974	1.0631578	0.5752547	0.3147143	1.0113007	0.2317601	0.6241571	0.0668898
950	0.9418538	1.0449058	0.2567365	0.9642040	0.5216110	0.3655498	0.9217858	0.3078653	0.5803664	0.0493513
1000	0.9796428	1.0534173	0.2413038	1.0117214	0.4528616	0.4189150	0.9666058	0.2598870	0.6362171	0.0642177

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	1.0263070	1.0137445	0.1152750	0.8974220	0.5683218	0.4082142	0.7771771	0.2234591	0.6068163	0.0690664
100	0.9774120	1.0126894	0.1151069	0.9429037	0.5866737	0.4170989	0.6651698	0.2190142	0.5321935	0.0602735
150	1.0411511	0.9702580	0.0852060	0.9653129	0.6210741	0.4199551	0.6415007	0.2424955	0.5262487	0.0462520
200	0.9304143	0.9919381	0.1103486	0.9891786	0.5963146	0.4596012	0.7206634	0.2543512	0.6135052	0.0467221
250	1.0083017	0.9924516	0.1331651	1.1136292	0.6615777	0.4519808	0.6995596	0.2336753	0.6165655	0.0620794
300	0.9358143	0.9495936	0.1119676	0.9684684	0.6539265	0.4284108	0.7667612	0.2855316	0.6301872	0.0354652
350	1.0088693	0.9467123	0.1119910	0.9794631	0.6543921	0.4633187	0.7292831	0.3040987	0.6798209	0.0417952
400	1.0947422	1.0104616	0.1164153	1.0100529	0.6838622	0.3966994	0.7081102	0.2477916	0.6748312	0.0694342
450	0.9883233	1.0810178	0.1069190	1.0958104	0.7491115	0.4222063	0.6829431	0.2500578	0.6642638	0.0523594
500	1.0274334	0.9807910	0.1009519	1.0510053	0.7198752	0.4347721	0.6440469	0.2821221	0.6906547	0.0726255
550	1.0270249	0.9261759	0.2049012	1.0414466	0.7137868	0.4548752	0.9486311	0.2264415	0.6662494	0.0696614
600	1.0523203	1.0600204	0.2448348	1.0631807	0.6907542	0.4539721	1.0080415	0.2566902	0.7597558	0.0583032
650	0.9969154	0.9933681	0.2354858	0.9707387	0.6067853	0.4358198	0.9465435	0.2315004	0.6379589	0.0397300
700	1.0976872	0.9557914	0.2313898	1.0182155	0.5531055	0.4415407	0.8908509	0.2814080	0.6485095	0.0698523
750	1.0178907	0.9859306	0.2787590	0.9636648	0.5064567	0.4655523	0.9197517	0.2885253	0.6973807	0.0606966
800	1.0245874	1.0209255	0.2347034	0.8834975	0.4143844	0.4494882	0.9207877	0.3002110	0.6347573	0.0536026
850	1.0318732	0.9959373	0.2240120	0.9208944	0.4854735	0.4005545	0.9119805	0.2139127	0.6360154	0.0533661
900	0.9575050	1.0677194	0.2257317	0.9578708	0.4776108	0.4320047	0.9825923	0.2428348	0.5867789	0.0350278
950	1.0015398	1.0522582	0.2439111	0.8850750	0.4944011	0.4287593	0.9664448	0.2168692	0.5874936	0.0665807
1000	0.9438063	0.9832888	0.2542134	0.8900023	0.5531183	0.4090074	1.0524447	0.2591883	0.6249076	0.0590420

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	0.9759696	1.0602970	0.2115781	0.9223483	0.5578293	0.4929881	0.9436527	0.2412254	0.5412823	0.0105079
100	1.0060870	1.0555935	0.1896011	0.9103650	0.5866832	0.4897136	0.9223001	0.2652708	0.4652561	0.0061937
150	0.9890270	0.9957093	0.2732673	1.0122288	0.5484114	0.5161705	0.9805651	0.2447544	0.4687920	0.0043899
200	1.1441451	0.9359431	0.2741873	0.9767874	0.5926575	0.5346346	1.0102870	0.3049295	0.4663864	0.0000695
250	1.0279274	1.0060897	0.2367584	0.9430238	0.4775782	0.5355055	0.9782041	0.2413721	0.4429117	0.0006554
300	1.0190411	1.1262590	0.1953019	0.8909498	0.5123043	0.5456767	1.0110818	0.2105271	0.3881192	0.0000408
350	1.0377520	0.9914184	0.1646435	0.9331903	0.5057251	0.5130112	0.9833029	0.1937264	0.4333570	0.0010745
400	0.9395627	1.0642836	0.2127919	0.9624572	0.5716585	0.5636737	0.9697122	0.2251759	0.4864755	0.0008886
450	0.9975598	0.9792120	0.2425121	0.9504745	0.5412569	0.6121993	0.9359049	0.2210007	0.5160437	0.0000688
500	0.8898418	1.0089607	0.2265979	1.0653654	0.5998050	0.5612730	0.9197850	0.2317270	0.4912238	0.0004981
550	0.9296051	0.9286628	0.2602926	0.9753392	0.5551011	0.4836881	0.9192182	0.2337409	0.6269002	0.0461924
600	1.0691187	1.0597979	0.2660428	0.9929989	0.5355517	0.4625833	0.9907892	0.2419049	0.6724890	0.0721441
650	1.0354485	1.1078972	0.2490846	0.9455403	0.5297805	0.4126920	0.9699292	0.2036000	0.6423113	0.0589279
700	0.9939581	0.9693053	0.2385423	0.9492297	0.5078535	0.4294254	1.0549514	0.2183932	0.6147322	0.0658338
750	1.0112470	1.0092464	0.2175843	0.9020521	0.5147586	0.4380319	1.0140110	0.2801763	0.5773832	0.0462107
800	1.0148749	1.1057067	0.2440682	0.9741792	0.4766513	0.3514461	0.9689098	0.2575651	0.6019542	0.0500683
850	1.0121838	1.0492618	0.2184489	0.9698213	0.4609545	0.4296611	0.9521418	0.2126203	0.7011161	0.0530923
900	0.9580183	1.0863022	0.2705634	1.0163160	0.5302803	0.4627569	1.0150352	0.2246978	0.7069735	0.0447199
950	1.0739252	0.9752365	0.2623195	0.9124642	0.5225022	0.3893075	0.9983489	0.2763817	0.6415893	0.0403870
1000	1.1038692	0.9569620	0.2616841	1.0136550	0.4817744	0.4318905	1.0277572	0.2664952	0.5731849	0.0516701

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	0.5547879	1.0727155	0.2860607	0.9585001	0.6614555	0.1208871	0.6026678	0.1821969	0.6250754	0.0469348
100	0.3867976	1.0699800	0.4673043	0.8970199	0.5567482	0.0868470	0.6101179	0.1876008	0.6766996	0.0449993
150	0.3731869	0.9969194	0.6902339	0.7376683	0.5083970	0.0944064	0.5146829	0.2116154	0.7346676	0.0666728
200	0.3462840	1.0917006	0.8816529	0.8297168	0.4158929	0.0534492	0.5193168	0.2728426	0.7626413	0.0898427
250	0.3669470	1.0069388	0.7931407	0.7194607	0.3954141	0.0774863	0.4313431	0.2595421	0.8107600	0.1267371
300	0.3710738	1.0015962	0.8384460	0.5899344	0.3358156	0.0700506	0.4159949	0.2630124	0.8169675	0.1923164
350	0.3562150	1.0330874	0.9546495	0.6285181	0.3512854	0.0536418	0.4028783	0.2955381	0.7134492	0.1902347
400	0.3524328	0.9726247	0.9504012	0.5903494	0.3391431	0.0647059	0.4094841	0.2903859	0.7435142	0.1206762
450	0.3807254	0.9263630	0.9052433	0.6180031	0.3056713	0.0540555	0.4113963	0.2924101	0.7483005	0.1412157
500	0.3767203	1.0239307	0.9011235	0.5711085	0.2604109	0.0471966	0.2706208	0.2740860	0.7421159	0.1288077
550	0.9356190	0.9292979	0.8297773	0.5336199	0.1761806	0.2746572	0.5799254	0.4188181	0.7646816	0.1348102
600	1.0248298	0.9234127	0.6286859	0.5187839	0.1570084	0.3500806	0.6071085	0.3544530	0.6635480	0.0747155
650	1.1037490	0.9903213	0.4810995	0.5606123	0.1952072	0.2847548	0.7378091	0.3257617	0.5855509	0.0808036
700	1.0250671	0.9658013	0.2828565	0.7190891	0.2300287	0.2777773	0.8569463	0.2799412	0.4858918	0.0956809
750	0.9543335	0.9143306	0.2590388	0.8722894	0.2266705	0.3236804	0.9922701	0.2450956	0.5108145	0.0701103
800	1.0096591	0.9772360	0.1848236	0.9094370	0.2927741	0.3657272	1.0395054	0.2957921	0.5230405	0.0550066
850	0.9153922	0.9350956	0.1944312	0.9146174	0.4333581	0.4524410	0.9535083	0.2487265	0.6075529	0.0502555
900	0.9814171	0.9484000	0.2408509	0.8917257	0.5148855	0.4323461	1.0186584	0.2256843	0.5852630	0.0479508
950	0.9061043	0.9605817	0.2542072	0.8584894	0.5075155	0.4498567	0.9869311	0.2853320	0.6075992	0.0481476
1000	0.9078246	0.9304245	0.2344361	0.9057992	0.4891897	0.4465298	1.0917347	0.2614615	0.6310253	0.0596847

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	0.9744296	0.9085836	0.1690361	0.8066751	0.7061491	0.4134603	0.9089350	0.0595693	0.7182585	0.0606147
100	0.9847880	0.9007529	0.1923487	0.8424010	0.7038766	0.3339195	0.9218887	0.0089028	0.6450700	0.0519502
150	1.0432404	1.0262716	0.2872273	0.7484675	0.7615818	0.3336353	0.9554615	0.0038172	0.6261249	0.0612930
200	1.0316244	1.0178588	0.2636244	0.7274704	0.7112635	0.3277234	0.9863949	0.0037901	0.6156044	0.0462955
250	0.9752130	0.9531357	0.2768604	0.7152485	0.6677872	0.3658535	1.0031316	0.0006699	0.6108697	0.0577808
300	0.9896364	1.0276954	0.3037632	0.6955450	0.7095291	0.3846531	0.9224223	0.0004408	0.5888134	0.0319000
350	0.9550684	0.9422496	0.2789663	0.6643723	0.7518395	0.3676409	1.0089331	0.0004860	0.5030573	0.0625377
400	0.9753170	1.0137041	0.2842189	0.6859409	0.7087322	0.3417942	1.0304990	0.0047367	0.5046150	0.0759411
450	1.0446024	1.0733494	0.3166218	0.7370012	0.7314989	0.3486964	1.0164654	0.0058599	0.5541503	0.0530037
500	1.0575400	0.9457339	0.2516421	0.7637162	0.7033447	0.3903367	1.1113921	0.0033844	0.5551925	0.0540278
550	1.0368331	0.9283988	0.2068794	0.8550173	0.5836430	0.3665597	1.1335130	0.1710407	0.5229232	0.0212505
600	0.9651701	0.9601314	0.2534730	1.0309596	0.5189780	0.4021659	0.9919988	0.2360980	0.5687084	0.0517498
650	0.9995646	0.9238967	0.2302142	1.0287145	0.4951502	0.4330629	0.9839222	0.2761770	0.6262949	0.0597794
700	1.0756173	0.9964966	0.2039829	0.9996473	0.5576449	0.4205239	0.9132576	0.2873467	0.7548938	0.0456467
750	0.9385132	1.0133085	0.2254764	0.9784097	0.4780034	0.3898711	0.9420144	0.2275690	0.6684324	0.0624205
800	1.0357609	1.0244660	0.2827236	0.9891004	0.5462316	0.4140244	1.1017231	0.2513671	0.6979497	0.0595817
850	0.9200157	0.8724041	0.2798765	0.9292473	0.5659999	0.4229747	0.9820047	0.2279022	0.7015490	0.0712557
900	1.0000593	0.9188035	0.2552529	0.8696220	0.5843880	0.4479704	1.0674863	0.2847450	0.6654039	0.0644042
950	0.8929418	0.9874440	0.3059104	0.9006666	0.5166597	0.4392407	0.9444316	0.2690142	0.6672184	0.0477572
1000	0.9280256	0.9873150	0.3356791	0.8254280	0.4809378	0.4730777	1.0061132	0.2966379	0.6069466	0.0648678

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	0.5212433	1.0958960	0.2534757	0.7989792	0.4906806	0.2544093	0.9619370	0.2786018	0.6493941	0.0151785
100	0.3816327	0.8986957	0.4138933	0.7157268	0.4488723	0.1719917	0.9675068	0.3201269	0.7143873	0.0105034
150	0.3927503	0.9771951	0.6586228	0.6638921	0.3369638	0.1778127	0.9818844	0.4342738	0.7495215	0.0112418
200	0.4068525	0.9516012	0.7856953	0.6450299	0.2762768	0.2074241	1.0857421	0.4156171	0.7767564	0.0215755
250	0.3753223	1.0118402	0.8622124	0.4863997	0.2328707	0.2286128	0.9715663	0.5191755	0.7575823	0.0248560
300	0.3709391	1.0154685	0.9173573	0.4889761	0.2155016	0.2005135	0.8709821	0.4861887	0.7702366	0.0571795
350	0.3712333	0.9685049	1.0078853	0.3911032	0.1651576	0.2090497	0.7359413	0.4476966	0.7710555	0.0543408
400	0.4049404	0.9920046	0.9691648	0.3479336	0.1196024	0.1855698	0.7100085	0.4699644	0.8264593	0.0680059
450	0.3907154	0.9234776	0.8964200	0.4173565	0.1265741	0.1950684	0.6457061	0.4360875	0.7909306	0.0440617
500	0.3750546	0.9823118	0.9086522	0.4137585	0.1281567	0.1450104	0.6387070	0.5058877	0.7676724	0.0368352
550	0.8245245	1.0232936	0.7995691	0.3904075	0.1255055	0.2664692	0.5458702	0.4617198	0.6665552	0.0751381
600	0.9887619	1.0232824	0.5292714	0.5539570	0.1283626	0.2606358	0.7230928	0.3738082	0.6328194	0.0815391
650	1.0473253	1.0058868	0.4275491	0.6068459	0.1775110	0.3044439	0.8769400	0.3170962	0.5527320	0.0513360
700	1.0025088	0.9124149	0.2968815	0.6961287	0.2596497	0.3259389	1.1196430	0.2688228	0.5249536	0.0475608
750	1.0681641	1.0447478	0.2655939	0.7467470	0.3141165	0.2818225	1.0013021	0.2944166	0.5619406	0.0433515
800	0.9709898	1.0427209	0.2437868	0.8203564	0.3359909	0.3432357	1.0339583	0.2659776	0.5422893	0.0690927
850	1.0021799	1.0396350	0.2198150	0.8875175	0.3924946	0.3604339	1.0324955	0.2520302	0.4822632	0.0588298
900	1.0208858	1.0094244	0.2159179	1.0031508	0.4973831	0.3961800	0.9875253	0.2252062	0.6038941	0.0425311
950	0.9988883	0.9833074	0.1986550	1.0567585	0.5029876	0.4224714	1.0301640	0.2274385	0.6616771	0.0463239
1000	1.0554855	1.0302825	0.1898328	1.0373752	0.5600120	0.3773230	0.9314535	0.2057576	0.7015956	0.0559513

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	0.9411281	1.0866729	0.2211709	0.9020122	0.5670897	0.6260384	1.0975654	0.2354249	0.6658055	0.0163964
100	1.0099840	0.9465014	0.2126689	0.8827875	0.6239770	0.5373933	1.0034518	0.1997461	0.5958890	0.0008248
150	1.0000068	1.0843546	0.1718365	0.9031215	0.5425440	0.5173646	0.9442816	0.2022663	0.5962950	0.0008559
200	1.0462361	1.0839283	0.2028571	0.9682928	0.5492792	0.5647821	0.9693861	0.2106402	0.6403363	0.0051584
250	1.1343460	1.0535036	0.1920053	0.9822696	0.5433676	0.5409992	1.0164387	0.2443286	0.6274045	0.0002045
300	1.1380479	1.0327471	0.1765862	0.9104782	0.6300862	0.5930054	1.0012210	0.2017121	0.6685718	0.0016994
350	1.0122640	0.9982605	0.2069564	0.8402150	0.5909316	0.5421119	1.0283789	0.2101067	0.6334192	0.0026481
400	0.9848076	1.0319466	0.2471333	0.9436964	0.5980613	0.5427702	1.0851108	0.2533707	0.7067696	0.0017162
450	0.9829745	0.9789441	0.2611812	0.9346202	0.5230913	0.5853674	0.9337910	0.2697556	0.7024538	0.0044603
500	0.9333158	1.0447296	0.1917931	0.9238618	0.5408732	0.6145397	0.9724698	0.2917747	0.6173117	0.0014363
550	0.9391813	1.0280310	0.2704844	1.0379595	0.5439018	0.4821403	0.9403810	0.2995830	0.6524888	0.0526105
600	1.0152554	1.0546931	0.3063766	0.9801544	0.4827216	0.4228614	0.9961245	0.2971781	0.7247792	0.0600561
650	0.9296290	1.0443159	0.2360369	0.9327389	0.5065658	0.4312965	0.9655460	0.2515061	0.6902407	0.0523294
700	0.8996987	0.9569536	0.2444105	0.9660775	0.4548304	0.4521997	0.9920829	0.2155095	0.5947206	0.0516249
750	0.9103361	1.0206153	0.2823279	0.9421956	0.4940535	0.4370801	0.9961284	0.2426821	0.6062797	0.0599755
800	0.8564283	1.0299760	0.2798325	0.8732271	0.4021322	0.4562131	0.9855769	0.2494091	0.6331632	0.0549881
850	0.9395258	0.9717265	0.2405786	0.9283648	0.4031812	0.4456386	0.9989462	0.2718565	0.6390735	0.0633344
900	0.9486900	1.0083766	0.3659616	0.8583125	0.4647465	0.4750317	1.0481060	0.2711614	0.6576804	0.0670125
950	0.9550516	0.9867949	0.3508630	0.8484988	0.4183546	0.3917815	1.0216542	0.2593927	0.6948558	0.0673537
1000	0.9699195	0.9801457	0.2387663	0.8466677	0.4373276	0.4506285	0.9629143	0.2877665	0.6376360	0.0800915

0	1.0181756	1.0042381	0.1852453	0.9810575	0.5410559	0.4292555	0.9464117	0.2450975	0.6735245	0.0619869
50	1.0523932	0.9934911	0.1722479	0.7658535	0.5835510	0.4083240	1.1376116	0.2249998	0.3774824	0.0867560
100	1.0416974	1.1042870	0.1074493	0.6450530	0.5402419	0.4285377	0.9809637	0.1818042	0.3478764	0.0649376
150	1.0202731	1.0195400	0.1046370	0.6273057	0.5433361	0.3144163	0.9550658	0.2357412	0.3321270	0.0379134
200	0.9800454	1.0183797	0.1404684	0.6686633	0.5625168	0.2941912	1.0394188	0.2477349	0.2599099	0.0442220
