"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9995787	0.2100573	0.9324467	0.5240936	0.4866046	0.9953228	0.2441089	0.4786484	0.0371257
100	1.0000000	0.9997635	0.1858245	0.9237164	0.5314310	0.5636850	0.9953356	0.2440888	0.2842829	0.0175495
150	1.0000000	0.9998439	0.1697348	0.9249872	0.5461284	0.6094523	0.9953661	0.2440635	0.1684796	0.0076395
200	1.0000000	0.9998744	0.1608433	0.9289245	0.5639341	0.6324820	0.9954085	0.2440432	0.1106715	0.0034709
250	1.0000000	0.9998853	0.1563346	0.9322458	0.5805173	0.6434690	0.9954500	0.2440302	0.0840464	0.0018604
300	1.0000000	0.9998892	0.1541583	0.9343678	0.5936790	0.6486694	0.9954820	0.2440229	0.0723321	0.0012673
350	1.0000000	0.9998905	0.1531403	0.9355601	0.6030671	0.6511585	0.9955032	0.2440191	0.0673304	0.0010553
400	1.0000000	0.9998910	0.1526743	0.9361823	0.6092739	0.6523691	0.9955158	0.2440173	0.0652414	0.0009809
450	1.0000000	0.9998912	0.1524642	0.9364919	0.6131520	0.6529656	0.9955227	0.2440164	0.0643842	0.0009552
500	1.0000000	0.9998912	0.1523705	0.9366409	0.6154717	0.6532614	0.9955263	0.2440160	0.0640381	0.0009465
550	1.0000000	0.9996774	0.1708405	0.9519795	0.6157112	0.5880872	0.9955412	0.2440194	0.2278286	0.0199897
600	1.0000000	0.9994927	0.1950539	0.9616957	0.6083775	0.5111477	0.9955808	0.2440377	0.4239335	0.0395649
650	1.0000000	0.9994122	0.2111352	0.9610341	0.5932164	0.4655405	0.9955793	0.2440622	0.5428377	0.0494746
700	1.0000000	0.9993818	0.2200230	0.9569655	0.5753562	0.4426458	0.9955284	0.2440823	0.6023370	0.0536430
750	1.0000000	0.9993709	0.2245300	0.9531755	0.5591722	0.4317208	0.9954625	0.2440952	0.6288615	0.0552534
800	1.0000000	0.9993670	0.2267057	0.9505986	0.5465857	0.4265062	0.9954071	0.2441024	0.6394799	0.0558466
850	1.0000000	0.9993656	0.2277234	0.9490865	0.5377309	0.4239587	0.9953694	0.2441062	0.6431720	0.0560586
900	1.0000000	0.9993652	0.2281893	0.9482730	0.5319290	0.4226801	0.9953468	0.2441080	0.6441507	0.0561329
950	1.0000000	0.9993650	0.2283993	0.9478596	0.5283239	0.4220258	0.9953343	0.2441089	0.6442122	0.0561586
1000	1.0000000	0.9993649	0.2284930	0.9476576	0.5261744	0.4216881	0.9953278	0.2441093	0.6440450	0.0561674

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2285687	0.9474742	0.5860279	0.4213120	0.9953214	0.1715011	0.6435174	0.0561719
100	1.0000000	0.9993649	0.2285675	0.9474778	0.6780752	0.4213248	0.9953216	0.0895753	0.6435549	0.0561719
150	1.0000000	0.9993649	0.2285670	0.9474793	0.7470991	0.4213308	0.9953216	0.0427753	0.6435728	0.0561719
200	1.0000000	0.9993649	0.2285668	0.9474800	0.7901608	0.4213337	0.9953217	0.0201702	0.6435813	0.0561719
250	1.0000000	0.9993649	0.2285667	0.9474803	0.8147693	0.4213350	0.9953217	0.0099896	0.6435852	0.0561719
300	1.0000000	0.9993649	0.2285666	0.9474804	0.8281288	0.4213356	0.9953217	0.0055605	0.6435870	0.0561719
350	1.0000000	0.9993649	0.2285666	0.9474804	0.8351420	0.4213359	0.9953217	0.0036690	0.6435879	0.0561719
