"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	1.1247282	0.9436194	0.2146487	0.9215211	0.5440109	0.4225549	0.9776562	0.2444361	0.6965988	0.0247899
100	1.0672805	0.9398042	0.1830004	0.9977583	0.5460490	0.4164687	0.9271988	0.1859544	0.6076012	0.0169262
150	0.9660591	0.9957807	0.1871749	1.0407024	0.5390496	0.3712700	1.0209580	0.1368980	0.6357456	0.0111498
200	0.9245296	1.0103275	0.1714967	0.9156815	0.5802896	0.3719497	1.0148068	0.1705149	0.6911424	0.0052310
250	0.9855415	0.9665171	0.1576397	1.0074337	0.5820851	0.3885343	0.9469945	0.1587680	0.7485445	0.0008596
300	0.9744868	1.0629048	0.1630707	1.0425867	0.6973786	0.4003978	0.9326986	0.1617082	0.6624313	0.0024270
350	1.0607790	1.0402639	0.1582938	1.0083850	0.5550193	0.3640471	0.9241257	0.1439790	0.6312039	0.0004414
400	1.0663277	1.0359832	0.1490919	1.1089730	0.5770619	0.4407044	0.9927533	0.1476879	0.7101425	0.0008246
450	1.0809809	1.1366930	0.1666523	1.0730048	0.6068588	0.4161027	1.0361572	0.1553645	0.6436316	0.0052199
500	0.9702900	1.0834903	0.1530954	1.0317788	0.5786009	0.4530991	0.9737535	0.1834415	0.7190202	0.0015521
550	1.0118561	1.0958531	0.1490630	1.0093491	0.5614726	0.4504527	1.0041549	0.1876207	0.8291412	0.0197874
600	1.0351692	1.0815599	0.2085036	1.0582475	0.6076292	0.4806264	1.0372874	0.2108841	0.7128428	0.0432784
650	1.0979344	1.0675971	0.2084681	1.0192193	0.6016915	0.4873061	1.0184874	0.2416863	0.7171013	0.0428339
700	1.0523996	1.0431520	0.1923153	0.9761648	0.6168234	0.5092652	1.0167715	0.2407328	0.6929409	0.0580668
750	1.0022329	1.0301267	0.1879064	0.9239525	0.5814821	0.3935395	1.1229534	0.1977703	0.6221899	0.0780585
800	0.9964652	0.9289603	0.2120522	0.9528522	0.6416836	0.4324064	1.0051851	0.1858011	0.6973455	0.0585259
850	1.0523383	1.0567863	0.2206745	1.0709367	0.6408527	0.4363596	0.9629645	0.2733132	0.6887585	0.0696280
900	0.9777856	0.9279425	0.1922595	0.8881441	0.5521785	0.4889834	1.0193410	0.2102458	0.7006466	0.0637034
950	0.9542466	1.0647478	0.2116879	0.8429844	0.6070978	0.4261160	1.0900581	0.2647812	0.6722826	0.0744453
1000	0.9339188	1.0570022	0.2550109	0.9123066	0.6138820	0.4072291	1.0490593	0.2651940	0.5645753	0.0782096

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	0.9095229	1.0026066	0.2459245	0.9090971	0.5527693	0.4300145	0.9940037	0.2555053	0.6246462	0.0267349
100	0.9426665	0.9749858	0.2800523	0.8983139	0.5164274	0.4479739	1.1303574	0.2184076	0.6344778	0.0190167
150	0.9720976	0.9231831	0.2443779	0.9897545	0.4349925	0.4635665	0.9817656	0.2133457	0.6028857	0.0200005
200	1.0294574	1.0032633	0.2595958	1.0065297	0.4256719	0.4339840	0.9965710	0.2609213	0.5654840	0.0079915
250	1.1528821	1.0287095	0.2247404	1.0248799	0.5011673	0.3724640	0.9130214	0.2201221	0.6834971	0.0020523
300	1.0375201	0.9766880	0.1845333	1.0557914	0.5128131	0.3605529	1.0228328	0.2565445	0.6269144	0.0006335
350	1.0260927	0.9098159	0.2031173	0.9440084	0.5408284	0.3528566	1.0824154	0.2582699	0.6278896	0.0040230
400	1.0008286	1.0064973	0.2347050	0.9189431	0.5406029	0.3436645	1.0589713	0.2697100	0.5993730	0.0027140
450	1.0062033	1.0690729	0.2317553	0.9788154	0.5718752	0.3444238	0.9630036	0.2733618	0.6383918	0.0075086
500	0.9498161	1.0550382	0.2596740	1.0084568	0.5580900	0.4378161	1.1112436	0.2829363	0.6412535	0.0048498
550	0.9852913	1.0144039	0.2904141	1.0327138	0.5177019	0.4346336	0.9348260	0.2589489	0.6928183	0.0279373
600	0.9699628	0.9352839	0.3142744	1.0529836	0.4752971	0.4944942	0.9716583	0.2209292	0.6846641	0.0491609
650	0.9518739	0.9960825	0.2930337	0.9735886	0.4495585	0.4724356	1.0263711	0.2887978	0.6387612	0.0609618
700	0.8694415	1.0230439	0.2635039	0.9323460	0.4446004	0.4264290	1.0306130	0.2780412	0.6389849	0.0788329
750	0.9168206	0.9097928	0.2977901	0.9217868	0.4662980	0.4133801	1.0920451	0.2444724	0.6700560	0.0673042
800	0.9632100	0.9837358	0.2741340	0.8977347	0.4777085	0.4017759	0.9892824	0.2418846	0.6300159	0.1043103
850	1.0035355	0.9342128	0.2543896	0.9568115	0.4857120	0.4246616	1.0387226	0.2472793	0.6477813	0.1025155
900	1.0626902	1.0223208	0.2206229	0.9375207	0.4918741	0.3756560	0.9775899	0.2348369	0.5913860	0.0883099
950	0.9834117	0.9836390	0.2446979	0.9616543	0.4527021	0.3553371	1.0324938	0.2367536	0.5714239	0.0527379
1000	1.0325825	0.9601062	0.2648231	0.9538117	0.4890390	0.3999892	0.9704251	0.2460648	0.5906824	0.0763368

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	0.9402416	0.9721912	0.2113723	0.5054518	0.6054755	0.5087343	0.9962468	0.2920860	0.4976799	0.0664356
100	0.9478652	1.0066837	0.2398368	0.2195686	0.5929486	0.4335949	0.8461110	0.3207934	0.3682932	0.0635283
150	1.0113908	0.9781140	0.2657289	0.1215248	0.4378797	0.2763939	0.7736654	0.3314906	0.3045463	0.0524171
200	1.0543012	1.0305313	0.2527909	0.0512651	0.3970624	0.2240098	0.7934821	0.2648099	0.2465415	0.0715487
250	1.0069708	1.0426803	0.2261525	0.0357283	0.2813385	0.1481850	0.7427565	0.2661809	0.1740464	0.0628950
300	0.9729927	0.9636465	0.2192374	0.0155135	0.2792843	0.1243539	0.6771993	0.1939478	0.1959645	0.0598124
350	0.9727299	1.0167382	0.2173315	0.0274594	0.3198946	0.0860645	0.5469183	0.2281028	0.1751097	0.0409518
400	0.9704494	1.0123912	0.2509872	0.0177612	0.3494415	0.1105788	0.5279018	0.2638943	0.2085099	0.0641381
450	1.0062236	0.9036280	0.2167372	0.0339162	0.2691767	0.1166946	0.5456510	0.2604469	0.2083322	0.0902708
500	0.9808820	0.9683841	0.2134808	0.0344854	0.2828191	0.1043544	0.5282267	0.2552543	0.1738059	0.0787542
550	1.0064321	0.9224611	0.2542612	0.4134528	0.2928764	0.0936036	0.7358895	0.3135326	0.2350698	0.0545342
600	1.0327870	0.9599581	0.2427029	0.7268469	0.3142192	0.1311118	0.8172365	0.3057579	0.3733010	0.0374208
650	1.0547429	0.9814687	0.2234088	0.9516523	0.3201616	0.2568171	0.8474039	0.3404984	0.4443425	0.0602281
700	1.0591767	0.9699065	0.2417197	0.9927927	0.3701746	0.3612678	1.0485568	0.3193130	0.5053122	0.0482917
750	1.0444947	1.0408456	0.2530717	0.8801152	0.4533211	0.4060556	0.9767300	0.2755585	0.5574613	0.0541802
800	1.0738125	1.0090742	0.1592258	0.9863422	0.5510496	0.4246097	1.0014266	0.2491751	0.4952682	0.1025970
850	1.0225317	0.9935724	0.2049729	0.9524228	0.5886944	0.4138061	0.9377160	0.2761857	0.4702506	0.0887266
900	0.9830445	1.0441691	0.2254953	0.9128973	0.5511151	0.3907200	0.9333142	0.3296933	0.5082590	0.0577077
950	1.1337757	0.9740016	0.2124580	0.9205902	0.4746660	0.4343536	1.0274433	0.2386709	0.4883889	0.0594264
1000	1.0282136	0.9941302	0.1663607	0.7542486	0.4178442	0.4162806	1.0857986	0.2091321	0.5735974	0.0658049

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	1.0101829	1.0474440	0.1537724	0.8975586	0.5345533	0.4085990	1.0108237	0.2194890	0.6794331	0.0470943
100	0.9717061	1.0055211	0.2328110	0.9601282	0.4853591	0.3766543	0.9043806	0.2554318	0.6775504	0.0296021
150	0.9889626	1.0874573	0.2450302	0.9266302	0.5011975	0.4242518	0.9968949	0.2881102	0.6242548	0.0345116
200	0.9543222	0.9803356	0.2155806	0.9172655	0.5402548	0.5078151	0.9129838	0.2721088	0.5950880	0.0589051
250	1.0163117	0.8938695	0.2214331	0.8944213	0.6311916	0.5076761	0.9912113	0.2628613	0.6169246	0.0520774
300	1.0608631	0.9774388	0.2104329	0.9084529	0.6285532	0.5028390	1.0396162	0.2337584	0.6665856	0.0488680
350	1.0452385	0.9343359	0.1990778	0.9723334	0.6096382	0.4344159	0.9981926	0.1855586	0.5602218	0.0687767
400	1.0990055	0.9313611	0.1969897	0.9713182	0.6155724	0.4422164	0.9592238	0.2080278	0.6024403	0.0496346
450	1.0304131	1.0184775	0.1936671	1.0278959	0.5314138	0.4093779	1.0288317	0.2225403	0.6611537	0.0900514
500	0.9959738	1.1068828	0.2145429	0.9415185	0.5681143	0.4470620	0.9257736	0.2676155	0.6407302	0.0724529
550	0.9580747	1.0732355	0.2279008	0.9450629	0.4672774	0.4433851	0.8808144	0.2649184	0.6561136	0.0634550
600	1.0610882	1.0854072	0.2837432	0.9489013	0.4544323	0.4338528	0.9673006	0.2367732	0.6517634	0.0338000
650	1.0131470	1.1917454	0.2458063	0.8879371	0.4821173	0.3963046	0.9000002	0.2177091	0.6907535	0.0383673
700	0.9379697	1.0909396	0.2639220	0.8587679	0.5325931	0.3557060	1.0560107	0.1953455	0.6565007	0.0327724
750	1.0246419	1.1254422	0.2689654	0.8587015	0.4519816	0.3875672	1.0103083	0.2014943	0.5984725	0.0484628
800	1.0027918	1.0402932	0.2689899	0.8152427	0.4303370	0.3982009	1.0042525	0.1995016	0.6632013	0.0465330
850	0.8791655	0.9144005	0.2533124	0.8859502	0.4399290	0.3975046	0.9141357	0.2022425	0.6664413	0.0642703
900	0.9597413	1.0368514	0.2612564	0.9869725	0.3856720	0.4215226	0.9019294	0.2962838	0.6566798	0.0406684
950	1.0157526	1.0262467	0.2559534	0.9432956	0.4807517	0.3961202	0.9597478	0.2783715	0.6682072	0.0485685
1000	1.0317455	0.9586503	0.2514701	0.9606244	0.4221166	0.3817706	1.0435101	0.2460731	0.6475038	0.0528856

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	0.8422029	1.0078089	0.2085766	0.9440284	0.5950203	0.3975712	0.9361753	0.2948585	0.6657994	0.0635887
100	0.6337057	1.0168544	0.2671825	0.9836535	0.5645643	0.3603442	0.9670906	0.3153162	0.7180048	0.0590558
150	0.5478356	1.0267701	0.4046339	0.9293626	0.5287648	0.3927827	1.0396498	0.2799531	0.7292755	0.0577977
200	0.5588968	1.0150300	0.5322705	0.8894034	0.4684647	0.3455421	0.9730436	0.3418113	0.7519770	0.1047477
250	0.4869501	1.0157584	0.6285371	0.9543580	0.4277410	0.3917383	1.0386690	0.4103012	0.7589946	0.0712869
300	0.4454410	0.9364815	0.7769253	0.7734821	0.3163732	0.4226203	1.0409928	0.4581683	0.8471886	0.0704204
350	0.5751505	0.8637870	0.8150656	0.7032909	0.2719033	0.3988346	0.8418714	0.4503382	0.8771071	0.1057373
400	0.5602554	0.9886796	0.7840220	0.7201167	0.2200591	0.4207136	0.8352827	0.4334958	0.6901911	0.1045634
450	0.5374217	0.9254230	0.7578759	0.6707143	0.1947670	0.4070333	0.8589238	0.4161373	0.7479084	0.0769546
500	0.5430926	1.0219694	0.7891327	0.6413162	0.1872185	0.3822888	0.8574636	0.4132419	0.6959681	0.0773072
550	0.6690011	0.9808608	0.7842833	0.5278002	0.1717691	0.4114053	0.8585945	0.4250303	0.7719440	0.0892419
600	0.8302912	0.9838439	0.6220906	0.5592168	0.1910568	0.3476985	0.8584940	0.3850938	0.6412771	0.0791056
650	0.9661282	0.9045045	0.5382468	0.6113854	0.1647287	0.2906367	0.8604420	0.3609774	0.5685712	0.0654410
700	0.9928815	0.9769206	0.4154920	0.8489190	0.1932616	0.2994707	0.9679322	0.3155829	0.5217008	0.0549500
750	0.9694119	1.0907778	0.3467920	0.8390090	0.1996174	0.3341988	0.9902522	0.2979578	0.6202770	0.0637345
800	0.9667501	0.9768400	0.2930976	0.8326679	0.2795033	0.3908383	1.0284578	0.2661586	0.5896962	0.0594655
850	1.0230037	0.9976944	0.2553974	0.9165650	0.3192146	0.4401512	0.9948908	0.2365071	0.5551915	0.0412739
900	1.0141782	1.0840814	0.2131313	0.9743005	0.3823815	0.4886838	0.9630102	0.2213651	0.5578505	0.0474163
950	0.9783004	1.0753019	0.2456854	1.0041053	0.4642858	0.4488528	1.0635312	0.2183791	0.6389654	0.0566164
1000	0.9393943	0.9581161	0.2520134	0.9488501	0.5060445	0.3921898	0.9542915	0.2362806	0.6639943	0.0700443

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	0.9434690	0.9757475	0.1568268	0.9596094	0.6069976	0.4161711	0.7252158	0.2696637	0.7051699	0.0275927
100	0.9797846	0.9084139	0.1018750	0.8712943	0.6770460	0.4309509	0.6721559	0.2607653	0.6591502	0.0170091
150	0.9541493	1.0041770	0.0848629	0.9364366	0.7154214	0.3779384	0.7058386	0.2602934	0.6855522	0.0176539
200	1.0229993	0.9557016	0.0653814	0.8593227	0.6936852	0.3592842	0.6896930	0.2315502	0.6715163	0.0040266
250	1.0092689	1.0121959	0.0644714	1.0597029	0.7366484	0.3796234	0.7324066	0.2253901	0.6823717	0.0032640
300	1.0817288	0.9855982	0.0512495	1.0585781	0.7702659	0.3874864	0.6988433	0.2128936	0.6326483	0.0026865
350	0.9909485	1.0507255	0.0489938	1.0086094	0.7827048	0.4059253	0.6979866	0.2300119	0.7046841	0.0027084
400	0.9413212	1.1252203	0.0388232	0.8253335	0.8083354	0.4053537	0.6761022	0.2095159	0.6949853	0.0006767
450	0.9879619	1.0666946	0.0592598	0.9553961	0.7872987	0.4213548	0.6584179	0.2012809	0.5888656	0.0010832
500	0.9532638	1.0246807	0.0520914	1.0108819	0.8800079	0.3928619	0.8006901	0.1952219	0.6486523	0.0003218
550	0.9458404	1.0292925	0.1174835	1.0014372	0.9409728	0.3966104	0.7589170	0.1874927	0.7049578	0.0337011
600	0.9954727	0.9855156	0.1698719	1.0631773	0.8569025	0.4807870	0.9060824	0.2403322	0.6647329	0.0593714
650	0.9435357	0.9645600	0.2167050	1.0506318	0.7229663	0.4787913	0.9836929	0.2201177	0.6867509	0.0637190
700	0.9291919	0.9412319	0.2445359	0.8650480	0.6446381	0.5353380	0.9553251	0.2266738	0.6696453	0.0721454
750	0.9681271	1.0035141	0.2551345	0.9904491	0.6015614	0.5083424	0.9444400	0.2369898	0.7126505	0.0605655
800	0.9823364	1.0085200	0.2402981	0.8916418	0.5409801	0.4430537	1.0337963	0.2493214	0.7043040	0.0666628
850	0.9846280	0.9152009	0.2204783	0.9285305	0.4690053	0.4675702	1.0371704	0.2665574	0.6811570	0.0511435
900	1.0514302	0.9374103	0.2693596	0.9256903	0.4131667	0.4584004	0.9916090	0.2595302	0.6002653	0.0756907
950	1.1256648	0.9411130	0.2647876	1.0351023	0.4487071	0.4391888	0.9558373	0.2636515	0.5920556	0.0621954
1000	1.0345832	1.0830542	0.2457811	1.0520498	0.5387642	0.4151595	0.9567487	0.2763122	0.5482807	0.0621684

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	1.0604735	1.0023657	0.1433019	0.8684264	0.6078107	0.4684038	1.0519980	0.2145732	0.6100809	0.0653145
100	0.9788008	1.0615569	0.1078397	0.7604494	0.6458769	0.5098366	1.0434118	0.2216616	0.5948009	0.0482552
150	0.9670972	1.1408713	0.0878323	0.8291990	0.6247888	0.5786767	1.0435378	0.2267088	0.5114822	0.0742694
200	1.0187032	0.9935204	0.1052953	0.8130065	0.6220929	0.5669130	1.0029431	0.2201454	0.6031462	0.0685641
250	1.0251104	1.0694438	0.1071457	0.8456454	0.6575015	0.6321153	0.9294484	0.1782663	0.5007812	0.0408245
300	1.0353526	1.0265716	0.0907935	0.7967536	0.5449419	0.6662691	0.9963049	0.1707694	0.5474333	0.0586835
350	1.0141157	0.9849613	0.0944098	0.8962227	0.6026161	0.5881412	0.9125036	0.1642463	0.5631245	0.0430240
400	1.0283868	1.0752504	0.0891078	0.8222568	0.7033666	0.5928620	1.0087711	0.1342622	0.5999135	0.0488900
450	1.0091612	1.1185874	0.0867546	0.7321476	0.6793972	0.6977427	1.0236128	0.1532355	0.6130143	0.0636858
500	1.0433066	0.9963965	0.1024829	0.8346293	0.6674037	0.6778724	1.1215059	0.1604219	0.5647297	0.0643074
550	1.0091695	0.9958713	0.1451707	0.8590449	0.6143338	0.5452304	1.0575759	0.1967226	0.5964816	0.0414042
600	1.0067800	0.9843953	0.1333085	0.9955343	0.5672336	0.4985886	0.9987909	0.2281546	0.5470311	0.0406387
650	0.9820172	1.1013857	0.1358145	0.8738891	0.6742219	0.4557342	0.9996903	0.2253164	0.5913388	0.0355866
700	1.0296998	1.0438877	0.1537602	0.9097345	0.6597292	0.4469445	0.9560037	0.2188329	0.5983913	0.0378427
750	0.9619146	0.9954370	0.2269503	0.9288053	0.6751791	0.4552140	1.0191841	0.2634985	0.6186266	0.0502805
800	0.9584746	1.0171613	0.1882946	0.9763660	0.7103684	0.4414563	1.0353263	0.2826792	0.6809796	0.0867860
850	0.9679955	1.0449775	0.2469923	1.0784933	0.6054826	0.4107156	0.9709892	0.2501766	0.6254637	0.0608759
900	1.0797803	1.0464394	0.2005603	1.0336206	0.5300775	0.4106237	1.0054629	0.2433289	0.7055984	0.0668130
950	1.0477716	1.0899435	0.2351794	0.8618961	0.5295000	0.3842927	1.0671723	0.2383751	0.6865014	0.0483146
1000	1.0481478	1.0746970	0.2334664	0.8416881	0.5233226	0.3647312	0.9557281	0.2185478	0.6256604	0.0249007

0	1.0656191	0.9491509	0.2200314	0.9274501	0.5176824	0.4316510	1.0998403	0.2818291	0.6490689	0.0687770
50	1.0539764	0.9396344	0.1571232	0.5422627	0.6474813	0.4611526	1.2216193	0.2357913	0.4586373	0.0743948
100	0.9494895	0.8613534	0.1426022	0.1749281	0.6066055	0.3768374	1.1621997	0.2242945	0.2475701	0.0770950
150	0.9468106	0.8471830	0.1793315	0.0982836	0.5471356	0.2546389	0.9485341	0.2455297	0.1545859	0.0826816
200	0.9898764	0.9894232	0.1622017	0.0860291	0.5425321	0.1804329	1.0200850	0.2454689	0.0761416	0.0791358
250	1.0646420	1.0865577	0.1450984	0.0373643	0.4245068	0.1433167	0.9383528	0.3151624	0.0555788	0.0669113
300	1.0545490	0.9688519	0.1307911	0.0509974	0.4435380	0.1153561	0.7580604	0.2632079	0.0482949	0.0631876
350	1.0657683	0.9718920	0.1206092	0.0276760	0.4572824	0.1047177	0.7294680	0.2306441	0.0399804	0.0820557
400	1.1480020	1.0524159	0.1288476	0.0175044	0.4466508	0.1007866	0.7525699	0.2065411	0.0595806	0.0665778
450	1.0429062	1.0062424	0.1209662	0.0388366	0.4655320	0.1109563	0.7163224	0.1809000	0.0682862	0.0662651
500	0.9738057	0.9844855	0.1135464	0.0361970	0.5141648	0.1274756	0.7978723	0.2019572	0.0529047	0.0479982
550	0.9917462	1.0440288	0.1480243	0.4421918	0.4921027	0.1373984	0.7990515	0.2216039	0.1322820	0.0507538
600	1.0628246	0.9958767	0.1711679	0.8317097	0.4744188	0.1750759	0.9843723	0.2614613	0.2997648	0.0690717
650	1.0112470	1.0976353	0.1826860	1.0167794	0.5391425	0.2764690	1.0537566	0.2503446	0.3767980	0.0862643
700	0.9809931	1.0577773	0.1899728	0.9817790	0.5314558	0.3813014	0.9951047	0.2779551	0.4283048	0.0689809
750	1.0085631	0.9296795	0.1999867	0.9386489	0.5458939	0.4386642	1.0501131	0.2189624	0.6269585	0.0628444
800	1.1163915	1.0069232	0.1905861	1.0030297	0.4803368	0.3878330	0.9667363	0.2217655	0.6632418	0.0816033
850	1.0846593	1.0481505	0.1839149	1.0591426	0.5585715	0.4082743	0.9598647	0.2055108	0.6509479	0.0617517
900	1.0392993	1.0745944	0.1830175	0.9557963	0.6221066	0.3634002	1.0156990	0.1684988	0.6595872	0.0643092
950	1.0983922	0.9584704	0.1819970	0.8869779	0.6183721	0.4130673	0.9503199	0.1738889	0.6279671	0.0384710
1000	1.0190338	0.9495395	0.2035888	0.9211037	0.5982977	0.4238602	0.9734403	0.2317081	0.6282181	0.0473890

