"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	1.0000000	0.9993649	0.1836022	0.9498827	0.5282200	0.4213723	0.9953692	0.1493721	0.6436512	0.0148200
100	1.0000000	0.9993649	0.1678427	0.9567485	0.5451819	0.4218209	0.9954842	0.1261646	0.6447728	0.0042064
150	1.0000000	0.9993649	0.1623192	0.9634262	0.5660121	0.4227985	0.9955863	0.1204795	0.6474090	0.0014823
200	1.0000000	0.9993649	0.1603833	0.9680207	0.5838783	0.4239133	0.9956583	0.1190869	0.6507007	0.0007831
250	1.0000000	0.9993649	0.1597047	0.9707181	0.5966774	0.4248340	0.9957040	0.1187457	0.6536825	0.0006037
300	1.0000000	0.9993649	0.1594669	0.9721682	0.6049143	0.4254659	0.9957309	0.1186622	0.6559216	0.0005576
350	1.0000000	0.9993649	0.1593836	0.9729057	0.6098547	0.4258516	0.9957457	0.1186417	0.6574119	0.0005458
400	1.0000000	0.9993649	0.1593544	0.9732668	0.6126751	0.4260691	0.9957535	0.1186367	0.6583248	0.0005427
450	1.0000000	0.9993649	0.1593441	0.9734387	0.6142278	0.4261850	0.9957575	0.1186354	0.6588514	0.0005420
500	1.0000000	0.9993649	0.1593405	0.9735188	0.6150593	0.4262442	0.9957594	0.1186351	0.6591416	0.0005418
550	1.0000000	0.9993649	0.2043037	0.9716752	0.6099492	0.4262454	0.9957464	0.2133726	0.6592254	0.0418936
600	1.0000000	0.9993649	0.2200627	0.9657262	0.5918763	0.4259232	0.9956848	0.2365801	0.6584124	0.0525072
650	1.0000000	0.9993649	0.2255861	0.9591783	0.5707983	0.4251122	0.9955881	0.2422651	0.6561581	0.0552313
700	1.0000000	0.9993649	0.2275220	0.9542027	0.5534460	0.4240689	0.9954931	0.2436578	0.6530754	0.0559305
750	1.0000000	0.9993649	0.2282005	0.9510657	0.5413285	0.4231110	0.9954216	0.2439989	0.6500737	0.0561099
800	1.0000000	0.9993649	0.2284383	0.9492951	0.5336391	0.4223942	0.9953758	0.2440825	0.6476848	0.0561560
850	1.0000000	0.9993649	0.2285216	0.9483650	0.5290586	0.4219262	0.9953495	0.2441030	0.6460197	0.0561678
900	1.0000000	0.9993649	0.2285508	0.9478997	0.5264505	0.4216485	0.9953354	0.2441080	0.6449623	0.0561709
950	1.0000000	0.9993649	0.2285611	0.9476751	0.5250150	0.4214949	0.9953283	0.2441092	0.6443349	0.0561716
1000	1.0000000	0.9993649	0.2285647	0.9475694	0.5242456	0.4214143	0.9953248	0.2441095	0.6439814	0.0561718

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	1.0000000	0.9993649	0.2285666	0.9474773	0.5233612	0.4213323	0.9953216	0.2441096	0.6339020	0.0149595
100	1.0000000	0.9993649	0.2285666	0.9474791	0.5233925	0.4213344	0.9953216	0.2441096	0.6298932	0.0043817
150	1.0000000	0.9993649	0.2285666	0.9474799	0.5234078	0.4213354	0.9953217	0.2441096	0.6282231	0.0016667
200	1.0000000	0.9993649	0.2285666	0.9474802	0.5234151	0.4213358	0.9953217	0.2441096	0.6275274	0.0009699
250	1.0000000	0.9993649	0.2285666	0.9474804	0.5234187	0.4213359	0.9953217	0.2441096	0.6272376	0.0007910
300	1.0000000	0.9993649	0.2285666	0.9474804	0.5234204	0.4213360	0.9953217	0.2441096	0.6271168	0.0007451
350	1.0000000	0.9993649	0.2285666	0.9474805	0.5234212	0.4213361	0.9953217	0.2441096	0.6270665	0.0007334
400	1.0000000	0.9993649	0.2285666	0.9474805	0.5234216	0.4213361	0.9953217	0.2441096	0.6270456	0.0007303
450	1.0000000	0.9993649	0.2285666	0.9474805	0.5234218	0.4213361	0.9953217	0.2441096	0.6270368	0.0007296
500	1.0000000	0.9993649	0.2285666	0.9474805	0.5234219	0.4213361	0.9953217	0.2441096	0.6270332	0.0007294
550	1.0000000	0.9993649	0.2285666	0.9474805	0.5234219	0.4213361	0.9953217	0.2441096	0.6366883	0.0419418
600	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6407126	0.0525195
650	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6423899	0.0552345
700	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6430890	0.0559313
750	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6433803	0.0561102
800	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213361	0.9953217	0.2441096	0.6435018	0.0561561
