"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0220300	1.0181380	1.1456257	1.0054803	0.4024273	0.0121947	0.8211471	0.0288094	0.9102823	0.0215107
50	0.0053427	0.9806346	1.0154759	0.9448651	0.3456530	0.0041384	0.8266825	0.0232808	0.9362206	0.0109686
100	0.0008982	0.9958372	0.9960428	1.0619936	0.3415956	0.0044183	0.8135146	0.0147072	0.9118686	0.0142624
150	0.0006447	1.0373926	1.0451278	1.0903885	0.2962513	0.0062551	0.8057040	0.0073608	0.8941200	0.0092991
200	0.0025613	0.9150615	1.0256139	1.0384302	0.3892498	0.0097667	0.7720043	0.0078552	0.9829739	0.0105941
250	0.0011401	0.8753320	1.0271857	0.9158026	0.3927689	0.0088639	0.7433187	0.0049677	1.0316288	0.0379123
300	0.0018380	0.9113805	1.0132310	1.0062353	0.4279272	0.0088314	0.7359802	0.0043144	0.9620843	0.0181126
350	0.0015441	1.0780302	0.9616514	1.0002030	0.3906077	0.0105160	0.7602851	0.0049662	1.0041368	0.0150776
400	0.0000268	1.0616545	0.9493766	1.0140837	0.3052900	0.0107354	0.7665581	0.0027902	1.0812926	0.0147307
450	0.0000004	1.0632902	0.9971697	1.0228657	0.3590828	0.0035219	0.7764353	0.0002986	0.9542382	0.0125135
500	0.0002476	1.0245474	1.0054975	1.0115423	0.3076112	0.0074145	0.7947183	0.0009002	0.9886821	0.0064938
550	0.0117131	1.0210415	0.9704567	0.9854392	0.3402741	0.0142110	0.8006578	0.0174247	0.9018613	0.0103468
600	0.0259196	0.9934759	0.9930211	0.9792127	0.4299923	0.0025495	0.8315633	0.0045165	0.8929621	0.0206525
650	0.0217067	0.9407982	1.0119315	1.0374107	0.3986019	0.0015906	0.8308639	0.0133617	0.9362589	0.0173964
700	0.0165137	0.9838069	1.0593979	1.0371108	0.3749115	0.0121486	0.8136389	0.0146832	0.8335423	0.0142440
750	0.0146167	1.0098778	0.9594594	0.9747042	0.3448315	0.0181369	0.8003356	0.0310236	0.9272009	0.0063809
800	0.0113306	1.0182189	1.0400582	0.9336294	0.4271701	0.0109646	0.7632678	0.0221584	0.9343875	0.0114903
850	0.0123488	0.9921084	1.0108890	0.9557324	0.3999293	0.0107047	0.7570990	0.0224357	0.9649687	0.0207553
900	0.0131754	1.0504804	0.9743580	1.0073030	0.3825491	0.0125913	0.7596659	0.0253749	0.9293082	0.0098062
950	0.0156837	0.9920050	0.9722558	0.9811395	0.3621399	0.0140149	0.6637154	0.0222211	0.9653107	0.0166755
1000	0.0160232	1.0533004	1.0256130	1.0069558	0.3591655	0.0154626	0.7011930	0.0212805	0.9342763	0.0196971

0	0.0220300	1.0181380	1.1456257	1.0054803	0.4024273	0.0121947	0.8211471	0.0288094	0.9102823	0.0215107
50	0.0117587	1.0478344	0.9927681	0.9255376	0.4220934	0.6459977	0.7557976	0.0106380	0.9500801	0.0308700
100	0.0130525	1.0538573	0.9547691	1.0033143	0.3929372	0.8317759	0.7764126	0.0143408	1.0129149	0.0342614
150	0.0115390	0.9840501	1.0806457	1.0106363	0.3713323	0.9761275	0.7543672	0.0137886	1.0265055	0.0189694
200	0.0156388	1.0457202	0.9164431	0.9851866	0.3728848	0.9529124	0.7477129	0.0095343	0.9173130	0.0373715
250	0.0167492	1.0107708	0.9375908	1.0447227	0.4247413	0.9171065	0.7923006	0.0136760	0.8830868	0.0152864
300	0.0189340	1.0909447	0.9715842	1.0327736	0.3735795	0.9591591	0.7664531	0.0124437	0.9007064	0.0156959
350	0.0215468	1.0056584	0.9364615	1.0495631	0.3717837	0.9196256	0.7744604	0.0138171	0.9858844	0.0187902
400	0.0110056	1.1207015	1.0015833	1.0663433	0.3546486	0.9701211	0.7163375	0.0239025	0.9794811	0.0316485
450	0.0082813	1.1273318	1.0279915	1.1044544	0.3422825	0.9085208	0.6724688	0.0218667	0.9225123	0.0296421
500	0.0140763	1.0432289	1.0199850	1.0232998	0.3480029	0.8841269	0.7112508	0.0134141	0.9992251	0.0130561
550	0.0218056	1.0345846	1.0543738	0.9725586	0.3394105	0.3456817	0.7269736	0.0280499	1.0125936	0.0129662
600	0.0208707	1.0805488	1.0523016	0.9523830	0.3775554	0.1456739	0.8026748	0.0370488	0.9439160	0.0203004
650	0.0134227	1.0532512	1.0013570	1.0720290	0.3488584	0.0445667	0.7541688	0.0171663	0.9895163	0.0042007
700	0.0059612	0.9615883	0.9464699	0.9797889	0.3628800	0.0201821	0.7136339	0.0233021	0.9310499	0.0212782
750	0.0141481	0.9838488	1.0157898	0.9099202	0.4381365	0.0200923	0.7464521	0.0120684	0.8511303	0.0118484
800	0.0076325	0.8900964	0.9862308	0.9542661	0.4458878	0.0217123	0.7488256	0.0103735	0.9481718	0.0175750
850	0.0183003	0.9961821	1.0710272	0.9382386	0.3805532	0.0129316	0.6812365	0.0114990	0.9220585	0.0121537
900	0.0145253	0.9784019	0.9924971	1.0171989	0.4237590	0.0092623	0.7281160	0.0228501	0.9021454	0.0067129
950	0.0151805	1.0583135	1.0070375	1.0066903	0.4105819	0.0091470	0.7927194	0.0356069	0.8725716	0.0153739
1000	0.0146738	1.0438807	0.9945620	0.8568713	0.3655864	0.0054084	0.7818160	0.0093311	0.8536424	0.0106241

0	0.0220300	1.0181380	1.1456257	1.0054803	0.4024273	0.0121947	0.8211471	0.0288094	0.9102823	0.0215107
50	0.0241345	1.0771448	1.0444145	0.9320544	0.3563760	0.0117922	0.8064656	0.0307626	0.8697399	0.0207000
100	0.0206758	1.0369946	0.9624362	0.9191265	0.3666475	0.0098187	0.7833258	0.0304876	0.9143801	0.0166396
150	0.0178670	1.0663114	0.9276603	0.9437391	0.3751915	0.0074340	0.7336539	0.0433044	0.9926383	0.0124978
200	0.0149798	0.9578391	1.0096449	0.9573511	0.4242257	0.0096020	0.7750067	0.0272076	0.9758935	0.0182531
250	0.0183175	1.0522153	0.9362649	0.9137308	0.4214721	0.0046819	0.8480675	0.0154382	1.0090657	0.0118754
300	0.0191038	1.0085464	1.0105461	0.9287765	0.3690021	0.0083031	0.7513893	0.0295122	0.9877207	0.0167816
350	0.0093261	0.9686726	0.8918804	0.9375386	0.4332595	0.0075286	0.7799119	0.0265167	0.9474309	0.0117538
400	0.0121538	1.0028186	0.9347964	1.0233668	0.4103806	0.0065781	0.7838894	0.0073040	1.0095944	0.0179400
450	0.0096926	1.0348174	0.9502175	0.9937496	0.4076315	0.0128928	0.7292662	0.0174433	0.9936508	0.0185653
500	0.0088987	0.9957399	0.9648336	0.9977908	0.4584603	0.0107972	0.7971158	0.0140165	0.9206420	0.0126440
550	0.0164798	1.0049252	1.0300114	1.0190711	0.3889743	0.0075234	0.7879575	0.0177211	0.9884555	0.0117426
600	0.0125229	0.9874753	0.9049112	1.0450616	0.3369584	0.0023963	0.7479421	0.0205443	1.0371782	0.0193710
650	0.0133742	1.0053335	0.9498472	1.0172924	0.3204259	0.0109832	0.7207539	0.0116933	1.0127666	0.0247517
700	0.0124228	0.9499828	1.0163742	1.0565315	0.3314245	0.0089818	0.7221169	0.0199160	0.9443735	0.0140092
750	0.0092418	0.9410175	1.0789290	1.0486393	0.3240661	0.0108533	0.8089641	0.0159295	0.8782526	0.0098058
