"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0231628	1.0129256	0.9690948	1.0028870	0.3388077	0.0096294	0.7148970	0.0158312	1.0089449	0.0291618
100	0.0045591	1.0486399	0.9352532	1.1233616	0.3057420	0.0089011	0.8424490	0.0187028	1.0429451	0.0251569
150	0.0022511	1.0194543	0.9761812	1.1017055	0.3057174	0.0077124	0.7869796	0.0081931	0.8885720	0.0107598
200	0.0075325	1.0481999	1.0322923	0.9857872	0.4194923	0.0017849	0.6993325	0.0053917	0.9476961	0.0156694
250	0.0020532	0.9684245	1.0946165	1.0452203	0.4193347	0.0000000	0.7498821	0.0083617	0.9835182	0.0173627
300	0.0032540	1.0469303	1.1232492	0.9845364	0.3359706	0.0040941	0.7057605	0.0080670	0.9726242	0.0167994
350	0.0000000	1.0046385	1.0085130	1.0446477	0.3887548	0.0093372	0.7521906	0.0028875	1.0377593	0.0133043
400	0.0000133	1.0888910	1.0069280	1.0273499	0.3611737	0.0135337	0.8213263	0.0048563	0.9244337	0.0181473
450	0.0000001	1.1462753	1.0591678	0.9719816	0.3710207	0.0185090	0.7824754	0.0083482	1.0730451	0.0163760
500	0.0010708	0.9280365	0.9814219	1.0195347	0.3577750	0.0111013	0.8643512	0.0032546	1.0567723	0.0278634
550	0.0100455	1.0003551	0.9866578	1.0275924	0.3423602	0.0140104	0.7456729	0.0094574	1.0087067	0.0103878
600	0.0120154	1.0559212	0.9877022	0.8823647	0.3595436	0.0062290	0.8523364	0.0047910	0.8840622	0.0054883
650	0.0125176	1.0373793	0.9130127	0.9552876	0.3004402	0.0023308	0.8416992	0.0184039	0.9278871	0.0107126
700	0.0303535	1.0406621	0.9020476	0.9309342	0.3355661	0.0034648	0.7454469	0.0354920	0.9518201	0.0200613
750	0.0267705	1.0023642	0.9246916	0.9509462	0.3431093	0.0156678	0.7325569	0.0450083	0.8340781	0.0076387
800	0.0172903	1.0236213	0.9090995	1.0345701	0.4213891	0.0213518	0.7529233	0.0375383	0.9717451	0.0093151
850	0.0141991	1.0386085	0.9320922	0.9899871	0.4781490	0.0215005	0.7631731	0.0206328	0.9507752	0.0429411
900	0.0231297	0.9793867	0.9502824	1.0099367	0.3952629	0.0205581	0.7399179	0.0181546	0.9916975	0.0173018
950	0.0158336	0.9458452	1.0107573	1.0382132	0.4323646	0.0119405	0.7785967	0.0337643	0.9240552	0.0107982
1000	0.0086258	1.0264460	1.0670108	0.9533423	0.3904402	0.0198108	0.6210713	0.0269875	0.9083214	0.0143796

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0216702	0.8845238	0.9723713	1.0582997	0.4268837	0.3167487	0.7502314	0.0239267	0.8868676	0.0189914
100	0.0157968	0.9727889	0.9552353	1.1168176	0.3911323	0.5900458	0.7144517	0.0169219	0.9582635	0.0301058
150	0.0106984	0.9359985	0.9919622	1.0491628	0.4101287	0.7950481	0.8215208	0.0215050	1.0267161	0.0387252
200	0.0183833	0.9570480	0.9417876	1.0347324	0.3533806	0.9215662	0.8008846	0.0150881	0.9676725	0.0261586
250	0.0056552	1.0695928	0.9174573	0.9253438	0.3918175	0.9577575	0.8003637	0.0084698	0.9778561	0.0263471
300	0.0043995	1.0570636	0.9239346	0.9859904	0.3571418	0.9525113	0.7232709	0.0096515	0.9894750	0.0453204
350	0.0166501	1.0826216	0.9794697	1.0137050	0.3592820	0.8987919	0.7786676	0.0074488	0.8672607	0.0129447
400	0.0156672	1.0962545	0.9742732	0.9955876	0.3511900	0.9149836	0.7503770	0.0054214	0.9459158	0.0457853
450	0.0230860	1.0863668	1.0763900	1.0271503	0.3626949	0.9238572	0.6907141	0.0110709	1.0228971	0.0382736
500	0.0187430	1.1891732	1.0587723	1.0387395	0.3362984	0.9173805	0.6934569	0.0161031	0.9800102	0.0166261
550	0.0179669	1.0758420	1.1008953	0.9809824	0.3396068	0.6838329	0.7458139	0.0352221	1.0540574	0.0194307
600	0.0274870	1.0199993	1.0803606	0.9844840	0.3752913	0.4060564	0.7479560	0.0409659	1.0760473	0.0103806
650	0.0187273	1.0860942	0.9859047	1.0422687	0.3628124	0.2273373	0.7486331	0.0214794	0.9655406	0.0060742
700	0.0117658	1.0128626	1.0391477	1.0817807	0.3592866	0.1026934	0.7075059	0.0169520	0.8058555	0.0048831
750	0.0100912	0.9516130	0.9377645	0.9996848	0.4012220	0.0433672	0.7087054	0.0063483	0.9198737	0.0205438
800	0.0104086	0.9961844	1.0003992	1.0098446	0.3936920	0.0357451	0.7300425	0.0128896	0.8865840	0.0175226
850	0.0118117	0.9616181	0.9654191	0.9312552	0.4243140	0.0377222	0.7484815	0.0150332	0.8426201	0.0150303
900	0.0083793	0.9644754	1.0822178	0.9663472	0.4008774	0.0302222	0.7081674	0.0087407	0.8922456	0.0066031
950	0.0127225	0.9904168	1.0158072	0.9945244	0.4271118	0.0149071	0.7250780	0.0394041	0.9089823	0.0148870
1000	0.0123124	0.9512781	0.9430551	0.8563704	0.3787519	0.0085707	0.8123076	0.0216579	0.8802741	0.0089060

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0253445	0.8990647	1.0745678	0.9352124	0.3812148	0.0086223	0.7963669	0.0286779	0.8703675	0.0138768
100	0.0264031	0.9976308	1.0492461	1.0032198	0.4104306	0.0161246	0.7652011	0.0250969	0.8789888	0.0178951
150	0.0198959	0.9796314	0.9662610	0.9046618	0.3986843	0.0078211	0.6997702	0.0384042	0.9387875	0.0118529
200	0.0212898	0.9946544	0.9827661	0.8541508	0.4406294	0.0258742	0.6834245	0.0344889	0.9034262	0.0137673
250	0.0154066	1.0020671	0.9446762	0.9851773	0.4162449	0.0248932	0.8168764	0.0208797	0.9346809	0.0142724
300	0.0308723	0.9848715	0.9237370	0.9954734	0.4090002	0.0171008	0.7842135	0.0312345	0.9919107	0.0159574
350	0.0188697	1.0121579	0.9564891	1.0207033	0.3852195	0.0141722	0.7853658	0.0253467	1.0250201	0.0147440
400	0.0122921	0.8868184	0.9960501	1.0594664	0.3253339	0.0128715	0.7951754	0.0276987	1.0114505	0.0100333
450	0.0129635	0.9944606	0.9236674	0.9783634	0.3870607	0.0110300	0.7082773	0.0179249	0.9457995	0.0128284
500	0.0110629	0.9476123	0.9511907	0.9120030	0.4905998	0.0168650	0.8047535	0.0202763	1.0002249	0.0118366
550	0.0113767	0.9311230	1.0315501	1.0040557	0.4100580	0.0161460	0.8377326	0.0225934	0.9412721	0.0147522
600	0.0109393	0.9917055	1.0108602	1.0619825	0.3381643	0.0105432	0.7164476	0.0282176	0.9236785	0.0231297
650	0.0151560	0.9507198	0.9436867	1.1176247	0.3398400	0.0093132	0.6445605	0.0222683	1.0288178	0.0209698
700	0.0228843	0.9987744	0.9292024	1.1240933	0.3403379	0.0129304	0.6500288	0.0219888	0.9871885	0.0284696
750	0.0067811	0.9826534	1.0793373	1.0644993	0.3420418	0.0126573	0.7660925	0.0182007	0.8630011	0.0171417
800	0.0105740	0.9118593	1.0426222	1.0637886	0.3564002	0.0150821	0.8030853	0.0088468	0.9051562	0.0177429
850	0.0276224	0.9080519	0.9878962	0.9876416	0.2794106	0.0123698	0.8366735	0.0047494	0.9607059	0.0239373
900	0.0210422	1.0004586	1.0544805	0.9413832	0.3877377	0.0162551	0.8868647	0.0109980	0.8869936	0.0152396
950	0.0177252	1.0191532	1.0166916	0.9670102	0.3873542	0.0085876	0.8322389	0.0173396	0.9471270	0.0200689
1000	0.0104274	1.1041349	1.1000604	1.0330561	0.4240768	0.0184792	0.8496453	0.0068762	0.9281702	0.0145517

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0118143	0.9712478	0.8622235	1.0296317	0.3385558	0.0233848	0.7976584	0.0203624	0.9109271	0.0259966
100	0.0020937	1.0078146	0.7833868	0.9756158	0.3156524	0.0273000	0.8099441	0.0247411	0.9114777	0.0391055
150	0.0088626	1.0284821	0.6701539	1.0423724	0.3877725	0.0207071	0.6683929	0.0296019	0.9497410	0.0225809
200	0.0113410	0.9829692	0.6160895	1.0676016	0.3942593	0.0106729	0.7018901	0.0212581	0.9628040	0.0107132
250	0.0026487	0.9927240	0.6355325	0.9795523	0.3806203	0.0082731	0.7411568	0.0043778	0.8336587	0.0057101
300	0.0032301	0.9663246	0.5562408	0.9691864	0.3251869	0.0086652	0.9743983	0.0083448	0.8922288	0.0054337
350	0.0133847	0.9777682	0.5193721	0.9969001	0.3405836	0.0045129	0.8947408	0.0103908	0.9495613	0.0157998
400	0.0117234	0.9303925	0.5738113	0.9018222	0.3200909	0.0059929	0.8322763	0.0184433	0.9467408	0.0143494
450	0.0171384	0.9228701	0.5769184	0.9451171	0.3567747	0.0137609	0.7338688	0.0125002	0.9607461	0.0243552
500	0.0135157	0.9159111	0.5779298	0.9778603	0.3682895	0.0222540	0.8355129	0.0121739	1.0179702	0.0195963
550	0.0181006	0.9557751	0.7007444	0.9727025	0.3611949	0.0152226	0.8764104	0.0182773	0.8895759	0.0100111
600	0.0129106	1.0249291	0.8530670	0.9936811	0.3464602	0.0152080	0.7890049	0.0150992	0.8717788	0.0223678
650	0.0220240	0.9940617	0.9242789	0.9849973	0.3964461	0.0071113	0.8492553	0.0181229	0.9246355	0.0310461
700	0.0087413	1.0706428	0.9325243	1.0198554	0.3674762	0.0129616	0.7898365	0.0074689	0.9082695	0.0222430
750	0.0178384	1.0432400	0.9873426	1.0466208	0.4158567	0.0020874	0.8022553	0.0041244	0.9946819	0.0304588
800	0.0116940	1.0625484	1.0637912	1.0818227	0.3499202	0.0128552	0.7085378	0.0155588	0.9636696	0.0215853
850	0.0093248	1.0165971	1.0384588	1.0886079	0.3142771	0.0269704	0.7953888	0.0112171	0.9629265	0.0171478
900	0.0044694	0.9683140	1.0034178	1.0189892	0.3659595	0.0237408	0.8461102	0.0112264	0.8625138	0.0179077
950	0.0099938	0.9434779	1.0451584	0.9432775	0.4113142	0.0174358	0.8666212	0.0138306	0.8604029	0.0129495
1000	0.0016056	1.0095897	1.0751083	1.0711693	0.3643233	0.0138209	0.7444123	0.0104868	0.8791829	0.0407206

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0312710	0.8778849	1.0868050	0.7116073	0.4286264	0.0169856	0.8828019	0.0349819	0.9178245	0.0114467
100	0.0233003	0.4142519	1.0297013	0.6318967	0.5727848	0.0142254	0.8241434	0.0376379	0.9179228	0.0226319
150	0.0223338	0.2598418	0.9845339	0.4679368	0.6118026	0.0099795	0.6747662	0.0204846	0.8861861	0.0133789
200	0.0468818	0.1731678	0.9747813	0.3907927	0.6079178	0.0037154	0.4481046	0.0233579	0.7381302	0.0015294
250	0.0692547	0.1349631	1.0524559	0.3363287	0.6742543	0.0034641	0.3199467	0.0291274	0.5954101	0.0199013
300	0.0657465	0.1537703	1.0469480	0.3047874	0.6072027	0.0008743	0.2438024	0.0215169	0.6534593	0.0164822
350	0.0865362	0.1413298	1.0732849	0.3438420	0.6658618	0.0031326	0.2471181	0.0159555	0.5948214	0.0109229
400	0.0812336	0.1540858	1.0340990	0.2997091	0.6777026	0.0064033	0.2253543	0.0376274	0.5722368	0.0158078
450	0.1087944	0.1350100	0.9488694	0.2852809	0.6416829	0.0104890	0.2058092	0.0591407	0.5574792	0.0079534
500	0.1102583	0.1427258	1.0535341	0.2912938	0.6957194	0.0085553	0.1711841	0.0636469	0.5756221	0.0158501
