"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0038285	1.0000000	0.4122729	0.4604711	0.4050355	0.0085436	0.7781576	0.0106639	0.9225885	0.0170370
100	0.0011858	1.0000000	0.3014433	0.3082818	0.4853455	0.0085436	0.7781578	0.0057290	0.9225890	0.0170366
150	0.0007409	1.0000000	0.2805438	0.2652489	0.5710948	0.0085436	0.7781579	0.0035189	0.9225892	0.0170365
200	0.0019181	1.0000000	0.2766028	0.2530792	0.6291354	0.0085436	0.7781580	0.0028692	0.9225893	0.0170365
250	0.0041827	1.0000000	0.2758596	0.2496376	0.6596969	0.0085436	0.7781580	0.0028366	0.9225893	0.0170365
300	0.0063466	1.0000000	0.2757194	0.2486643	0.6735983	0.0085436	0.7781580	0.0031009	0.9225893	0.0170365
350	0.0078204	1.0000000	0.2756930	0.2483890	0.6793771	0.0085436	0.7781580	0.0034787	0.9225893	0.0170365
400	0.0086570	1.0000000	0.2756880	0.2483111	0.6816420	0.0085436	0.7781580	0.0038249	0.9225892	0.0170366
450	0.0090855	1.0000000	0.2756871	0.2482890	0.6824942	0.0085436	0.7781580	0.0040751	0.9225891	0.0170367
500	0.0092922	1.0000000	0.2756869	0.2482827	0.6828055	0.0085436	0.7781580	0.0042305	0.9225891	0.0170367
550	0.0636792	1.0000000	0.8634140	0.7861134	0.6197089	0.0085445	0.7781409	0.0170308	0.9224103	0.0170685
600	0.0351724	1.0000000	0.9742435	0.9199961	0.5083133	0.0085503	0.7780019	0.0399145	0.9219648	0.0171230
650	0.0216018	1.0000000	0.9951430	0.9602614	0.4404786	0.0085495	0.7780399	0.0395335	0.9222389	0.0170866
700	0.0162363	1.0000000	0.9990841	0.9824098	0.4076300	0.0085466	0.7781013	0.0297805	0.9224610	0.0170556
750	0.0141255	1.0000000	0.9998273	0.9925405	0.3923765	0.0085450	0.7781328	0.0219831	0.9225465	0.0170433
800	0.0132797	1.0000000	0.9999674	0.9965410	0.3854033	0.0085442	0.7781469	0.0176225	0.9225748	0.0170393
850	0.0129381	1.0000000	0.9999939	0.9980446	0.3822907	0.0085439	0.7781531	0.0155054	0.9225838	0.0170380
900	0.0128005	1.0000000	0.9999988	0.9986071	0.3809398	0.0085438	0.7781558	0.0145456	0.9225866	0.0170376
950	0.0127456	1.0000000	0.9999998	0.9988201	0.3803684	0.0085437	0.7781570	0.0141270	0.9225875	0.0170374
1000	0.0127238	1.0000000	1.0000000	0.9989020	0.3801316	0.0085437	0.7781575	0.0139489	0.9225879	0.0170374

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0155304	1.0000000	0.7775394	0.4845766	0.3246187	0.0085437	0.7781576	0.7178845	0.9225879	0.6918775
100	0.0282283	1.0000000	0.7355893	0.3389077	0.3656128	0.0085437	0.7781577	0.8518552	0.9225854	0.8403887
150	0.0485016	1.0000000	0.7276787	0.2962521	0.4266994	0.0085438	0.7781563	0.8776405	0.9225435	0.8730726
200	0.0671444	1.0000000	0.7261869	0.2788858	0.4710586	0.0085442	0.7781379	0.8830921	0.9221579	0.8802714
250	0.0801323	1.0000000	0.7259056	0.2646273	0.4970455	0.0085452	0.7780394	0.8846961	0.9206274	0.8818710
300	0.0893848	1.0000000	0.7258526	0.2510097	0.5129269	0.0085464	0.7777890	0.8854203	0.9174669	0.8822453
350	0.0970164	1.0000000	0.7258426	0.2393350	0.5242993	0.0085476	0.7773810	0.8858284	0.9129420	0.8823527
400	0.1037950	1.0000000	0.7258407	0.2297356	0.5333542	0.0085486	0.7768399	0.8860918	0.9073989	0.8824027
450	0.1098725	1.0000000	0.7258403	0.2217918	0.5408450	0.0085495	0.7761805	0.8862858	0.9010193	0.8824416
500	0.1152957	1.0000000	0.7258403	0.2151580	0.5471277	0.0085503	0.7754140	0.8864418	0.8939664	0.8824791
550	0.0874677	1.0000000	0.9483008	0.5779539	0.6050278	0.0085626	0.7727515	0.2131354	0.8906237	0.2088397
600	0.0504998	1.0000000	0.9902509	0.7041223	0.5481102	0.0085785	0.7726164	0.0939735	0.9040415	0.0598773
650	0.0313586	1.0000000	0.9981616	0.8389546	0.4903442	0.0085681	0.7752545	0.0603706	0.9157401	0.0266202
700	0.0216457	1.0000000	0.9996533	0.9312038	0.4448811	0.0085557	0.7768574	0.0420206	0.9204318	0.0191790
750	0.0167921	1.0000000	0.9999346	0.9734788	0.4142131	0.0085488	0.7775931	0.0298143	0.9219414	0.0175164
800	0.0144932	1.0000000	0.9999877	0.9897568	0.3965328	0.0085458	0.7779142	0.0221983	0.9223968	0.0171449
850	0.0134604	1.0000000	0.9999977	0.9956353	0.3874800	0.0085445	0.7780529	0.0179324	0.9225315	0.0170618
900	0.0130164	1.0000000	0.9999996	0.9977340	0.3832193	0.0085440	0.7781127	0.0157413	0.9225713	0.0170430
950	0.0128323	1.0000000	0.9999999	0.9984945	0.3813299	0.0085438	0.7781384	0.0146843	0.9225830	0.0170387
1000	0.0127580	1.0000000	1.0000000	0.9987773	0.3805264	0.0085437	0.7781495	0.0141978	0.9225865	0.0170377

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.0085437	0.7733511	0.0138240	0.9459253	0.1608750
100	0.0127096	1.0000000	1.0000000	0.9989547	0.3799702	0.0085437	0.7712850	0.0138235	0.9526197	0.1925291
150	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.0085437	0.7703969	0.0138233	0.9545400	0.1994952
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.0085437	0.7700151	0.0138232	0.9550908	0.2010282
250	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7698509	0.0138232	0.9552488	0.2013656
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697804	0.0138232	0.9552942	0.2014398
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697501	0.0138232	0.9553072	0.2014562
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697370	0.0138232	0.9553109	0.2014598
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697314	0.0138232	0.9553120	0.2014605
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7697290	0.0138232	0.9553123	0.2014607
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7745344	0.0138232	0.9319751	0.0576231
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7766002	0.0138232	0.9252807	0.0259690
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7774883	0.0138232	0.9233604	0.0190029
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7778700	0.0138232	0.9228096	0.0174699
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7780341	0.0138232	0.9226516	0.0171325
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781047	0.0138232	0.9226062	0.0170583
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781350	0.0138232	0.9225932	0.0170420
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781480	0.0138232	0.9225895	0.0170384
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781536	0.0138232	0.9225884	0.0170376
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781561	0.0138232	0.9225881	0.0170374

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.6250328	0.7946496	0.0138240	0.9225880	0.0170373
100	0.0127096	1.0000000	1.0000000	0.9989547	0.3799702	0.8434865	0.8017395	0.0138235	0.9225880	0.0170373
150	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.9208958	0.8047873	0.0138233	0.9225880	0.0170373
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.9483259	0.8060975	0.0138232	0.9225880	0.0170373
250	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9580458	0.8066607	0.0138232	0.9225880	0.0170373
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9614901	0.8069028	0.0138232	0.9225880	0.0170373
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9627106	0.8070069	0.0138232	0.9225880	0.0170373
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9631430	0.8070517	0.0138232	0.9225880	0.0170373
