"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0140645	0.6126043	0.6471251	0.6720465	0.3032316	0.0131140	0.4878251	0.0168551	0.7741828	0.0193950
50	0.0007059	0.8112462	0.5466770	0.4966223	0.2619302	0.0099983	0.6558305	0.0084420	0.5610498	0.0098396
100	0.0001088	0.6639899	0.3226591	0.2882320	0.2623770	0.0029354	0.6382727	0.0050747	0.5400234	0.0151890
150	0.0005332	0.6650585	0.1992474	0.2421124	0.3573571	0.0014352	0.4801881	0.0104965	0.6719311	0.0331241
200	0.0041255	0.6387839	0.2466132	0.2010934	0.3549193	0.0145393	0.5701683	0.0006124	0.6379270	0.0176387
250	0.0051944	0.6400577	0.1827617	0.1707524	0.4187860	0.0057345	0.4484534	0.0090612	0.6998292	0.0051757
300	0.0107329	0.7354596	0.1666524	0.1306511	0.5521660	0.0053603	0.5085876	0.0079170	0.8832284	0.0104930
350	0.0111618	0.5690348	0.1473856	0.1164844	0.4064098	0.0045113	0.5245951	0.0128436	0.7442946	0.0146548
400	0.0085669	0.7474848	0.2255528	0.1228274	0.4903101	0.0035435	0.4681738	0.0017481	0.6696430	0.0196791
450	0.0159703	0.6776806	0.1430252	0.1482333	0.4008858	0.0051359	0.6030991	0.0031624	0.6671579	0.0112150
500	0.0058173	0.8207637	0.2178860	0.2107596	0.4301690	0.0020115	0.4459300	0.0072204	0.5219126	0.0142258
550	0.0559978	0.6942488	0.2983544	0.3929753	0.4499764	0.0036696	0.5263547	0.0122984	0.6508665	0.0448510
600	0.0760045	0.7811711	0.5430591	0.5927974	0.4691367	0.0025821	0.5008464	0.0209936	0.6183299	0.0267131
650	0.0112110	0.7588847	0.6162994	0.4831415	0.3989655	0.0143869	0.4193462	0.0498269	0.7591141	0.0109751
700	0.0203672	0.7251140	0.7086687	0.6224724	0.3369666	0.0113529	0.4722322	0.0244259	0.6417737	0.0080484
750	0.0155476	0.6196179	0.7407066	0.6851434	0.2437704	0.0086610	0.4802009	0.0098428	0.4557351	0.0129662
800	0.0057383	0.7582985	0.6464319	0.6201546	0.3694072	0.0044930	0.4878042	0.0174994	0.5858525	0.0082499
850	0.0098187	0.6458845	0.7108448	0.5569146	0.2635309	0.0052332	0.5234437	0.0119995	0.5027648	0.0249030
900	0.0084733	0.6531016	0.6793939	0.6200304	0.1903707	0.0089343	0.6016108	0.0117891	0.6260219	0.0238566
950	0.0127772	0.5897477	0.7369414	0.7678839	0.2390683	0.0180164	0.7440082	0.0190955	0.6734863	0.0205456
1000	0.0057483	0.7169916	0.5463122	0.6184905	0.2673507	0.0107609	0.5678251	0.0205259	0.6152484	0.0150507

0	0.0093193	0.5569222	0.7459928	0.8530266	0.2633336	0.0078799	0.6084768	0.0215696	0.5945202	0.0203507
50	0.0096387	0.7097928	0.6339967	0.4089840	0.2232092	0.0020855	0.5566389	0.2991055	0.6614642	0.3690451
100	0.0066403	0.6816252	0.6552526	0.2560996	0.2090084	0.0124012	0.5085114	0.5295700	0.5274297	0.5745275
150	0.0263341	0.6782028	0.5324307	0.1945837	0.3434817	0.0090848	0.6977325	0.5413760	0.5476552	0.6359232
200	0.0271166	0.6467870	0.4934921	0.2121937	0.3497839	0.0107834	0.5946604	0.5673801	0.6338770	0.5569657
250	0.0472756	0.6169450	0.5168545	0.1788099	0.2564262	0.0141579	0.5956358	0.6967298	0.7154737	0.5524723
300	0.0703267	0.7083119	0.4898920	0.1732936	0.3325168	0.0168591	0.5310071	0.5743648	0.6258097	0.5429844
350	0.0570188	0.7242204	0.5113735	0.1665490	0.3504536	0.0131488	0.4443620	0.7805256	0.5560999	0.6023771
400	0.0712266	0.8465439	0.5965708	0.0956936	0.3704218	0.0095609	0.5682554	0.5986203	0.4601421	0.6019618
450	0.1232173	0.6224019	0.5314269	0.0885817	0.3803371	0.0107415	0.5008031	0.6801010	0.6260873	0.7424102
500	0.1167628	0.6501750	0.4957322	0.1031958	0.3128601	0.0020588	0.4732844	0.5536078	0.6331699	0.5543458
550	0.0832123	0.8484689	0.5993971	0.2490752	0.4894563	0.0103998	0.4076411	0.3477211	0.5715923	0.2335313
600	0.0702220	0.6909624	0.5643652	0.2107561	0.4242974	0.0054404	0.4077315	0.1870880	0.6913559	0.1023184
650	0.0574499	0.6921665	0.6160117	0.3234091	0.3856856	0.0055215	0.5459582	0.1773539	0.6606831	0.0140183
700	0.0187859	0.7718320	0.6923587	0.4386946	0.2680065	0.0075568	0.5337979	0.0592158	0.6371267	0.0102831
750	0.0270168	0.7054452	0.6614513	0.4999645	0.3115369	0.0230036	0.5643578	0.0460502	0.5971667	0.0091201
800	0.0252405	0.5691415	0.6304633	0.7047782	0.3743426	0.0105537	0.6092308	0.0427162	0.7599043	0.0183996
850	0.0108798	0.7160566	0.8061607	0.6323643	0.2826325	0.0044469	0.5473566	0.0230038	0.6580442	0.0232957
900	0.0185007	0.5951601	0.6788428	0.6452396	0.2741806	0.0068594	0.4388336	0.0132782	0.5842676	0.0079976
950	0.0086896	0.7346398	0.7233375	0.7802922	0.3037804	0.0108161	0.5200309	0.0394911	0.5864333	0.0048983
1000	0.0054925	0.7046298	0.6817250	0.7363856	0.3093869	0.0061581	0.5597541	0.0271066	0.6875332	0.0164471

0	0.0234281	0.6347903	0.6932494	0.6960786	0.3386569	0.0110688	0.5609310	0.0358875	0.6919563	0.0144590
50	0.0049505	0.8106551	0.6971997	0.5421448	0.3376010	0.0067469	0.4688940	0.0121334	0.6591179	0.0542925
100	0.0245091	0.7438663	0.7008781	0.7429962	0.2114130	0.0007864	0.4621336	0.0069162	0.6498739	0.0745601
150	0.0216584	0.7190096	0.7478207	0.5610670	0.2763575	0.0026701	0.6918954	0.0108463	0.6294262	0.1326410
200	0.0298280	0.6542014	0.6521887	0.5343245	0.2925451	0.0058601	0.6119799	0.0452078	0.5640911	0.1197863
250	0.0157797	0.8309537	0.6683160	0.5999162	0.3858880	0.0037706	0.4857272	0.0156235	0.6274770	0.1605506
300	0.0141336	0.7706161	0.6549435	0.5562106	0.2706883	0.0025136	0.5863775	0.0294623	0.6169569	0.0647308
350	0.0037237	0.6500447	0.6362757	0.6255773	0.2454948	0.0186778	0.5403778	0.0125882	0.7235032	0.1771089
400	0.0122217	0.6145525	0.6232913	0.5718581	0.2502366	0.0115559	0.5886689	0.0041061	0.6159864	0.1848399
450	0.0085277	0.6055231	0.6626416	0.6368490	0.2255266	0.0070495	0.4913862	0.0038192	0.7232115	0.1612369
500	0.0111719	0.7829758	0.8214173	0.7449285	0.2820859	0.0070362	0.6406734	0.0071007	0.7662078	0.1738056
550	0.0067826	0.6074254	0.7540961	0.7093442	0.3202793	0.0095320	0.4419677	0.0249250	0.6793103	0.0652574
600	0.0229032	0.6523416	0.6753977	0.6894757	0.2440023	0.0058299	0.5643330	0.0174078	0.5855785	0.0149117
650	0.0046692	0.6336056	0.6410727	0.6178491	0.2375471	0.0359727	0.4276080	0.0196959	0.7188990	0.0041112
700	0.0089177	0.6533216	0.6741980	0.6110821	0.2384480	0.0055829	0.5328084	0.0289253	0.7943553	0.0058782
