"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.7548896	1.0013897	0.4539938	0.2973369	0.4420488	0.0391128	0.3031300	0.1747760	0.2834398	0.1889376	0.2215246	0.0263215	0.0455548	0.6019253	0.9735948	0.0301330	0.2728275	0.4877671	0.2104629	0.4673707
50	0.6739703	0.9520854	0.3960889	0.2969879	0.4298911	0.0411143	0.3338513	0.1770445	0.2705163	0.2119634	0.2617734	0.0447712	0.0408351	0.7039572	0.8744478	0.0057455	0.1975806	0.5336697	0.1659676	0.4019846
100	0.7308937	0.9884314	0.2476643	0.3015155	0.4104781	0.0381746	0.3520713	0.1642871	0.2730045	0.2143642	0.2375056	0.0294540	0.0457211	0.9051504	0.9319450	0.0052881	0.2690568	0.6059167	0.1818897	0.4425428
150	0.7727702	1.0038396	0.1709228	0.3413033	0.4656543	0.0263922	0.3781443	0.1452244	0.2697113	0.1923961	0.2230226	0.0220497	0.0392779	1.0037881	0.9119499	0.0013638	0.2263904	0.5289581	0.1839018	0.3851838
200	0.7741847	1.0476290	0.1836008	0.2986669	0.4630262	0.0286596	0.2924402	0.1511264	0.2819277	0.2045789	0.2349624	0.0224148	0.0267037	1.0657606	0.9313858	0.0018382	0.2323548	0.5192668	0.1705281	0.4665870
250	0.7583902	0.9958474	0.1305166	0.2622753	0.3915807	0.0287814	0.2481913	0.1354872	0.2544985	0.1835192	0.2141919	0.0060126	0.0365031	0.9483555	0.9494154	0.0005166	0.2423401	0.5238299	0.1465436	0.4676960
300	0.8090501	0.9496719	0.1180314	0.3350389	0.4123510	0.0569314	0.2898350	0.1511757	0.2456209	0.1381384	0.2094096	0.0066196	0.0341553	0.9953572	0.9905900	0.0006712	0.1842164	0.5520212	0.1868239	0.3967514
350	0.8048773	0.9230983	0.1127465	0.3485610	0.4675293	0.0535507	0.3055850	0.1226626	0.2525259	0.1821090	0.2481694	0.0240300	0.0446890	0.9194331	1.0020659	0.0015416	0.2182741	0.6105495	0.1706198	0.3713536
400	0.7803148	0.8540262	0.1995365	0.3541352	0.3779562	0.0438180	0.2730576	0.0900133	0.3012462	0.2551694	0.2312917	0.0312484	0.0402624	0.9390572	1.0201684	0.0011779	0.2696723	0.5854306	0.1752420	0.3708356
450	0.7693873	0.9469648	0.2230298	0.4149694	0.3986462	0.0332838	0.2875381	0.0878698	0.2229045	0.2782749	0.2480610	0.0244763	0.0505068	1.0323494	0.9934045	0.0062018	0.2863776	0.5876751	0.2252327	0.4337878
500	0.7398634	0.9385664	0.2213423	0.4630833	0.3619159	0.0172771	0.2696783	0.1126191	0.1821584	0.2633224	0.2514028	0.0353942	0.0558326	1.0347605	0.9533390	0.0032028	0.2689517	0.5070547	0.1651136	0.4170839
550	0.6742125	0.9772224	0.3627573	0.3762562	0.3929214	0.0327975	0.2581878	0.2035744	0.1911945	0.2797641	0.2633429	0.0421555	0.0280828	0.8240643	1.0863783	0.0118155	0.2020136	0.4050171	0.2386330	0.4014790
600	0.7381471	0.8924533	0.4241776	0.3393504	0.4568031	0.0408441	0.3030976	0.1900151	0.1750396	0.2357167	0.2364008	0.0333891	0.0411524	0.6846026	0.9693178	0.0221767	0.2261300	0.4656851	0.3184465	0.4373567
650	0.7085012	0.9492548	0.4781946	0.4153251	0.4946926	0.0304479	0.3066134	0.1673516	0.2247251	0.3290664	0.2316405	0.0475717	0.0354786	0.6474149	0.9668440	0.0323611	0.2731892	0.4284053	0.3081634	0.4519352
700	0.7034252	1.0231495	0.4406204	0.3586686	0.4766306	0.0236854	0.2706573	0.1353631	0.2081464	0.2816755	0.2198384	0.0500989	0.0405578	0.6398253	1.0236147	0.0146532	0.2427640	0.4468617	0.2455361	0.4091625
750	0.7546095	1.0376565	0.4243404	0.3117946	0.4479274	0.0340590	0.2461599	0.1412676	0.2144420	0.2175846	0.1905218	0.0388306	0.0535712	0.5735955	1.0336986	0.0169175	0.2551902	0.5406690	0.2186256	0.4236502
800	0.7997084	0.9685718	0.4741366	0.2844199	0.4211484	0.0494493	0.2787502	0.1483988	0.2883248	0.1827502	0.1951651	0.0499467	0.0644291	0.6359830	1.0137104	0.0195024	0.2190737	0.4894824	0.1627311	0.4274296
850	0.7246516	0.9989667	0.5049842	0.2915644	0.3960047	0.0553719	0.2984408	0.1422937	0.3169047	0.2143543	0.2083100	0.0344378	0.0618491	0.5771316	1.0235253	0.0163125	0.2277670	0.4419237	0.1948771	0.4048034
900	0.6965168	0.8814772	0.5018462	0.3071121	0.4458232	0.0531855	0.3146478	0.1918211	0.2516127	0.2240536	0.1503199	0.0525547	0.0383029	0.5625339	0.9950387	0.0144480	0.2262034	0.4977763	0.2557562	0.4208661
950	0.6735654	0.9979836	0.5466166	0.3466999	0.4504050	0.0422445	0.3424484	0.2390005	0.2273263	0.2160242	0.2152645	0.0411391	0.0550308	0.6003961	0.8966737	0.0075891	0.2133666	0.5409396	0.2817312	0.4249540
1000	0.6869134	0.9909381	0.5070478	0.2585221	0.4005823	0.0402370	0.3827656	0.1998296	0.2206805	0.1976989	0.1872123	0.0324570	0.0548620	0.5369726	0.9165417	0.0185553	0.2871787	0.4715292	0.2816245	0.3833850

0	0.7548896	1.0013897	0.4539938	0.2973369	0.4420488	0.0391128	0.3031300	0.1747760	0.2834398	0.1889376	0.2215246	0.0263215	0.0455548	0.6019253	0.9735948	0.0301330	0.2728275	0.4877671	0.2104629	0.4673707
50	0.7714085	0.8119172	0.2756167	0.2900175	0.3968548	0.0615918	0.2653452	0.1731643	0.3427930	0.1459054	0.1640065	0.0168121	0.0558091	0.5765080	1.0232299	0.0215271	0.1563858	0.3817571	0.2403493	0.4260084
100	0.6153211	0.4917636	0.1149158	0.4746426	0.4648545	0.0539337	0.2754374	0.2311409	0.2074074	0.4104881	0.2860540	0.0087581	0.0377657	0.4990601	0.9730207	0.0197711	0.0636765	0.2173631	0.3656523	0.4434583
150	0.5301913	0.3503066	0.0780448	0.6994448	0.6578566	0.0371188	0.3638076	0.2869116	0.2215788	0.6560821	0.3602084	0.0055097	0.0362827	0.3799770	0.8863118	0.0253596	0.0918104	0.0828678	0.6230318	0.5635028
