"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.7690493	1.0000000	0.4614712	0.2888227	0.3971757	0.0443516	0.3037303	0.1774994	0.2541722	0.1913974	0.1949759	0.0402910	0.0399467	0.5625529	0.9724683	0.0202023	0.2326213	0.4882727	0.2240249	0.4025661
50	0.7690503	1.0000000	0.2166710	0.2888227	0.3748702	0.0443549	0.3037390	0.1640977	0.2541781	0.1913974	0.1949759	0.0253360	0.0399454	0.8592910	0.9870325	0.0035531	0.2326211	0.4882711	0.1742605	0.4025661
100	0.7690507	1.0000000	0.1685649	0.2888227	0.3735302	0.0443561	0.3037422	0.1472321	0.2541803	0.1913974	0.1949759	0.0237787	0.0399449	0.9525097	0.9885882	0.0007582	0.2326210	0.4882705	0.1529362	0.4025661
150	0.7690508	1.0000000	0.1591115	0.2888227	0.3801077	0.0443566	0.3037434	0.1393839	0.2541811	0.1913974	0.1949759	0.0236165	0.0399448	0.9817939	0.9887544	0.0002890	0.2326210	0.4882703	0.1437985	0.4025661
200	0.7690509	1.0000000	0.1572538	0.2888227	0.3863710	0.0443567	0.3037438	0.1361573	0.2541814	0.1913974	0.1949759	0.0235996	0.0399447	0.9909933	0.9887722	0.0002103	0.2326210	0.4882702	0.1398830	0.4025661
250	0.7690509	1.0000000	0.1568887	0.2888227	0.3896688	0.0443568	0.3037440	0.1348627	0.2541815	0.1913974	0.1949759	0.0235979	0.0399447	0.9938833	0.9887741	0.0001971	0.2326210	0.4882701	0.1382052	0.4025661
300	0.7690509	1.0000000	0.1568170	0.2888227	0.3909880	0.0443568	0.3037441	0.1343482	0.2541816	0.1913974	0.1949759	0.0235977	0.0399447	0.9947912	0.9887743	0.0001948	0.2326210	0.4882701	0.1374862	0.4025661
350	0.7690509	1.0000000	0.1568029	0.2888227	0.3914444	0.0443568	0.3037441	0.1341447	0.2541816	0.1913974	0.1949759	0.0235977	0.0399447	0.9950764	0.9887743	0.0001945	0.2326210	0.4882701	0.1371781	0.4025661
400	0.7690509	1.0000000	0.1568001	0.2888227	0.3915894	0.0443568	0.3037441	0.1340645	0.2541816	0.1913974	0.1949759	0.0235977	0.0399447	0.9951660	0.9887743	0.0001944	0.2326210	0.4882701	0.1370461	0.4025661
450	0.7690509	1.0000000	0.1567996	0.2888227	0.3916330	0.0443568	0.3037441	0.1340329	0.2541816	0.1913974	0.1949759	0.0235977	0.0399447	0.9951941	0.9887743	0.0001944	0.2326210	0.4882701	0.1369896	0.4025661
500	0.7690509	1.0000000	0.1567995	0.2888227	0.3916456	0.0443568	0.3037441	0.1340205	0.2541816	0.1913974	0.1949759	0.0235977	0.0399447	0.9952030	0.9887743	0.0001944	0.2326210	0.4882701	0.1369653	0.4025661
550	0.7690509	1.0000000	0.4015996	0.2888227	0.4026326	0.0443568	0.3037441	0.1351115	0.2541816	0.1913974	0.1949759	0.0385527	0.0399447	0.6984677	0.9742101	0.0168436	0.2326210	0.4882701	0.1867120	0.4025661
600	0.7690509	1.0000000	0.4497058	0.2888227	0.3993360	0.0443568	0.3037441	0.1439788	0.2541816	0.1913974	0.1949759	0.0401100	0.0399447	0.6052499	0.9726544	0.0196385	0.2326210	0.4882701	0.2080288	0.4025661
650	0.7690509	1.0000000	0.4591592	0.2888227	0.3978811	0.0443568	0.3037441	0.1575767	0.2541816	0.1913974	0.1949759	0.0402722	0.0399447	0.5759661	0.9724882	0.0201077	0.2326210	0.4882701	0.2171632	0.4025661
700	0.7690509	1.0000000	0.4610169	0.2888227	0.3973927	0.0443568	0.3037441	0.1676435	0.2541816	0.1913974	0.1949759	0.0402891	0.0399447	0.5667667	0.9724704	0.0201864	0.2326210	0.4882701	0.2210774	0.4025661
750	0.7690509	1.0000000	0.4613820	0.2888227	0.3972401	0.0443568	0.3037441	0.1730854	0.2541816	0.1913974	0.1949759	0.0402908	0.0399447	0.5638768	0.9724685	0.0201997	0.2326210	0.4882701	0.2227546	0.4025661
800	0.7690509	1.0000000	0.4614537	0.2888227	0.3971943	0.0443568	0.3037441	0.1756244	0.2541816	0.1913974	0.1949759	0.0402910	0.0399447	0.5629689	0.9724683	0.0202019	0.2326210	0.4882701	0.2234733	0.4025661
850	0.7690509	1.0000000	0.4614678	0.2888227	0.3971809	0.0443568	0.3037441	0.1767227	0.2541816	0.1913974	0.1949759	0.0402910	0.0399447	0.5626837	0.9724683	0.0202022	0.2326210	0.4882701	0.2237813	0.4025661
900	0.7690509	1.0000000	0.4614706	0.2888227	0.3971771	0.0443568	0.3037441	0.1771785	0.2541816	0.1913974	0.1949759	0.0402910	0.0399447	0.5625941	0.9724683	0.0202023	0.2326210	0.4882701	0.2239132	0.4025661
950	0.7690509	1.0000000	0.4614711	0.2888227	0.3971761	0.0443568	0.3037441	0.1773633	0.2541816	0.1913974	0.1949759	0.0402910	0.0399447	0.5625660	0.9724683	0.0202023	0.2326210	0.4882701	0.2239698	0.4025661
1000	0.7690509	1.0000000	0.4614712	0.2888227	0.3971758	0.0443568	0.3037441	0.1774371	0.2541816	0.1913974	0.1949759	0.0402910	0.0399447	0.5625571	0.9724683	0.0202023	0.2326210	0.4882701	0.2239940	0.4025661

0	0.7690493	1.0000000	0.4614712	0.2888227	0.3971757	0.0443516	0.3037303	0.1774994	0.2541722	0.1913974	0.1949759	0.0402910	0.0399467	0.5625529	0.9724683	0.0202023	0.2326213	0.4882727	0.2240249	0.4025661
50	0.7044872	0.5270526	0.1341414	0.4016055	0.4298590	0.0484496	0.3264783	0.1745339	0.2516639	0.2880188	0.2275600	0.0080000	0.0399454	0.5212655	0.9553337	0.0204857	0.0933270	0.1958055	0.2969521	0.4519313
100	0.4753621	0.3595588	0.0872489	0.7198069	0.5375398	0.0417734	0.4010117	0.2153064	0.2206556	0.6363337	0.3416161	0.0075356	0.0399450	0.3979467	0.8622288	0.0231336	0.0676895	0.0821265	0.5646404	0.6007781
150	0.2666938	0.3002411	0.0886235	0.9054437	0.6610246	0.0285004	0.5059650	0.2971953	0.1667476	0.8704116	0.4768225	0.0114165	0.0399451	0.2803981	0.6880553	0.0336587	0.0770035	0.0383552	0.7854000	0.7405037
200	0.1540692	0.2792337	0.0929350	0.9670824	0.7395346	0.0216393	0.5926826	0.3780158	0.1295248	0.9553452	0.5737521	0.0150327	0.0399456	0.2076879	0.5370650	0.0528427	0.0881300	0.0216190	0.8988865	0.8226687
250	0.1028177	0.2717940	0.0951901	0.9850290	0.7747872	0.0188391	0.6446585	0.4346687	0.1130848	0.9821083	0.6256949	0.0172025	0.0399462	0.1709369	0.4561245	0.0709492	0.0946578	0.0152420	0.9513457	0.8615665
300	0.0808800	0.2691593	0.0961315	0.9902390	0.7884891	0.0177424	0.6708458	0.4674149	0.1072999	0.9903394	0.6493135	0.0182217	0.0399467	0.1542122	0.4215155	0.0820422	0.0978009	0.0128144	0.9748834	0.8781265
350	0.0717564	0.2682262	0.0964953	0.9918097	0.7934810	0.0173115	0.6827714	0.4843131	0.1054434	0.9928916	0.6590870	0.0186398	0.0399470	0.1470600	0.4080876	0.0873459	0.0991848	0.0118898	0.9853142	0.8847761
400	0.0680285	0.2678957	0.0966311	0.9923058	0.7952365	0.0171404	0.6878669	0.4924393	0.1048480	0.9936978	0.6629101	0.0187995	0.0399472	0.1441246	0.4030985	0.0895598	0.0997636	0.0115373	0.9899035	0.8873510
450	0.0665249	0.2677787	0.0966809	0.9924689	0.7958412	0.0170721	0.6899529	0.4961696	0.1046455	0.9939579	0.6643544	0.0188583	0.0399472	0.1429545	0.4012832	0.0904182	0.0999975	0.0114027	0.9919124	0.8883240
500	0.0659247	0.2677372	0.0966990	0.9925242	0.7960472	0.0170449	0.6907813	0.4978276	0.1045707	0.9940435	0.6648880	0.0188796	0.0399473	0.1424983	0.4006299	0.0907379	0.1000898	0.0113513	0.9927883	0.8886854
550	0.1180609	0.7406700	0.7106370	0.9522352	0.6979124	0.0155947	0.5993895	0.4250339	0.0913504	0.9532521	0.5445274	0.0942182	0.0399461	0.1991263	0.6634686	0.0479718	0.5340677	0.4510565	0.9667574	0.8115019
600	0.3395690	0.9081586	0.6667797	0.7092124	0.5514518	0.0142341	0.4308760	0.3726996	0.0878135	0.6696661	0.3556506	0.0607654	0.0399452	0.3411281	0.8935080	0.0259174	0.4564890	0.5386776	0.7705334	0.6322091
650	0.5456773	0.9674745	0.5625323	0.4763392	0.4646089	0.0141487	0.3270616	0.3447569	0.1045851	0.4021307	0.2586295	0.0471828	0.0399449	0.4516066	0.9520478	0.0213714	0.3452889	0.5328767	0.5348113	0.5077908
700	0.6641671	0.9884811	0.5039783	0.3624207	0.4244993	0.0156011	0.2804881	0.2892749	0.1393663	0.2740838	0.2190864	0.0426849	0.0399447	0.5122160	0.9663646	0.0204622	0.2828903	0.5150668	0.3827278	0.4465868
750	0.7223484	0.9959206	0.4781668	0.3164583	0.4077662	0.0195838	0.2675903	0.2402354	0.1791465	0.2225904	0.2039478	0.0411457	0.0399447	0.5410235	0.9704369	0.0202678	0.2538023	0.5022172	0.3009933	0.4200984
800	0.7489468	0.9985553	0.4677935	0.2990083	0.4011644	0.0260538	0.2722999	0.2094702	0.2112181	0.2029655	0.1982793	0.0405992	0.0399447	0.5537031	0.9717570	0.0202211	0.2412377	0.4949950	0.2602116	0.4093336
850	0.7606046	0.9994884	0.4638128	0.2925376	0.3986496	0.0328940	0.2826748	0.1928690	0.2318424	0.1956448	0.1961820	0.0404021	0.0399447	0.5590184	0.9722148	0.0202082	0.2360403	0.4913612	0.2406775	0.4051216
900	0.7655678	0.9998188	0.4623260	0.2901677	0.3977133	0.0381006	0.2917508	0.1845978	0.2433337	0.1929455	0.1954132	0.0403309	0.0399447	0.5611717	0.9723776	0.0202043	0.2339524	0.4896453	0.2315667	0.4035157
950	0.7676356	0.9999358	0.4617802	0.2893069	0.3973701	0.0412685	0.2976124	0.1806789	0.2491680	0.1919583	0.1951335	0.0403053	0.0399447	0.5620223	0.9724359	0.0202030	0.2331318	0.4888676	0.2273969	0.4029147
1000	0.7684826	0.9999773	0.4615822	0.2889962	0.3972455	0.0429353	0.3008285	0.1788872	0.2519486	0.1915996	0.1950324	0.0402961	0.0399447	0.5623518	0.9724568	0.0202026	0.2328146	0.4885251	0.2255151	0.4026930

0	0.7690493	1.0000000	0.4614712	0.2888227	0.3971757	0.0443516	0.3037303	0.1774994	0.2541722	0.1913974	0.1949759	0.0402910	0.0399467	0.5625529	0.9724683	0.0202023	0.2326213	0.4882727	0.2240249	0.4025661
50	0.7371709	0.7395723	0.1810227	0.2147663	0.4144445	0.0579557	0.2082741	0.1691741	0.2612267	0.0669995	0.1695178	0.0434265	0.0146306	0.7362485	0.9755108	0.0203189	0.1499692	0.5005933	0.1558507	0.4281226
100	0.6313766	0.6473422	0.1458323	0.2982027	0.4648269	0.0891365	0.2024049	0.1745378	0.2698971	0.0508068	0.1975729	0.0516827	0.0053585	0.7695937	0.9600333	0.0207953	0.1579993	0.5373428	0.1736794	0.4984169
150	0.5185882	0.6146790	0.1522381	0.3865616	0.5140310	0.0798720	0.2023269	0.1929890	0.2587923	0.0601234	0.2304735	0.0592006	0.0019626	0.7652438	0.9420854	0.0214740	0.1899901	0.5747116	0.2188609	0.5623260
