"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.6047877	0.7572691	0.3339921	0.2486664	0.2692685	0.0305925	0.2199337	0.1339665	0.1608335	0.1536944	0.1647781	0.0180254	0.0207413	0.4666967	0.7952139	0.0205428	0.2196637	0.4021441	0.1802714	0.3243934
50	0.4751799	0.6586811	0.2981803	0.2848037	0.3208074	0.0471778	0.2687967	0.1155254	0.1666511	0.1761029	0.1957304	0.0238835	0.0378863	0.5700236	0.6578069	0.0016372	0.0968328	0.4007158	0.1354985	0.2899318
100	0.5641125	0.9100723	0.1854463	0.2777528	0.2782895	0.0191074	0.2455187	0.1207089	0.1899124	0.1872769	0.1701336	0.0208654	0.0273512	0.5811982	0.7508506	0.0323333	0.1799322	0.3742921	0.1175165	0.2885329
150	0.5763945	0.7316597	0.1299441	0.2777944	0.3262783	0.0131917	0.2804210	0.0870480	0.2069517	0.1000306	0.1568770	0.0319264	0.0243374	0.6943216	0.7025066	0.0003406	0.1319012	0.4120906	0.1602933	0.4049856
200	0.5717174	0.9099876	0.1136142	0.1617951	0.3504299	0.0229247	0.2211946	0.1361476	0.2933986	0.2125655	0.1618091	0.0139201	0.0379990	0.6649363	0.6724336	0.0023664	0.1621982	0.4412656	0.0826997	0.3617824
250	0.6099262	0.7477453	0.0874559	0.1606888	0.4019640	0.0103587	0.1867940	0.1000851	0.1970364	0.0788442	0.1253368	0.0038281	0.0246814	0.7626661	0.7058430	0.0022856	0.1841185	0.4603701	0.1334990	0.3620920
300	0.5367748	0.6139547	0.0859188	0.2245884	0.3216884	0.0397313	0.1721518	0.1302885	0.1966124	0.0791475	0.1137765	0.0099350	0.0368848	0.7236941	0.8021114	0.0004562	0.1434609	0.3705723	0.1552155	0.2777756
350	0.5866102	0.6579989	0.1057310	0.2657579	0.3311822	0.0619062	0.2049712	0.0525439	0.2356250	0.1673685	0.1975648	0.0105094	0.0234877	0.6574083	0.7262129	0.0033959	0.1660430	0.4899708	0.1007457	0.3000917
400	0.5812578	0.7719972	0.1913973	0.2422884	0.2753917	0.0355473	0.2689722	0.0571926	0.1947392	0.1729472	0.1455433	0.0270252	0.0240102	0.7045573	0.7596533	0.0009842	0.2216701	0.4197998	0.1160994	0.2148763
450	0.5585243	0.7874199	0.1703104	0.2886089	0.2887895	0.0168048	0.1863762	0.0521031	0.1086915	0.2460799	0.1471733	0.0071588	0.0554911	0.8711852	0.6724187	0.0024154	0.2070790	0.4917293	0.1855663	0.3806972
500	0.4829575	0.6937259	0.1392719	0.3037456	0.3019597	0.0227702	0.2154204	0.0832133	0.1363992	0.1808464	0.2803389	0.0259207	0.0375674	0.8108539	0.7988613	0.0074649	0.2015227	0.3480388	0.1409814	0.2874251
550	0.5532437	0.6926095	0.3225460	0.3040848	0.3590015	0.0298556	0.2049039	0.1150609	0.1556625	0.1823756	0.1675180	0.0474001	0.0174129	0.5606498	0.7119282	0.0116749	0.1338753	0.2817240	0.1411714	0.3587526
600	0.6073517	0.5984750	0.3508462	0.2870769	0.3666301	0.0358203	0.2278643	0.1351480	0.1702221	0.2303985	0.2306104	0.0164648	0.0238514	0.4765353	0.6024702	0.0230993	0.1506671	0.3152213	0.2345418	0.3630386
650	0.5100256	0.6374096	0.3573651	0.2480145	0.3653982	0.0419617	0.2274203	0.1109970	0.1439360	0.2116842	0.2148871	0.0502668	0.0518272	0.5673232	0.7426563	0.0193518	0.2431512	0.3463846	0.2906086	0.3823179
700	0.5163177	0.7324727	0.3712291	0.3102208	0.3243890	0.0078770	0.1504709	0.0856427	0.1760581	0.1896021	0.1624933	0.0461470	0.0321573	0.5141090	0.7201915	0.0072089	0.2210030	0.2737224	0.1736933	0.4180837
750	0.5071326	0.7940236	0.3061950	0.2314644	0.2970158	0.0270043	0.2469326	0.1361915	0.2003033	0.1774261	0.1279408	0.0156383	0.0395604	0.3978916	0.7480648	0.0122846	0.1694611	0.3552349	0.1652206	0.2636886
800	0.5543042	0.6864608	0.3878478	0.2373381	0.2989448	0.0559253	0.3039570	0.0886621	0.2133660	0.1025532	0.1678367	0.0388376	0.0329490	0.4971459	0.8160599	0.0199873	0.1764981	0.3845149	0.1262960	0.3447323
850	0.6319676	0.8395529	0.3634680	0.1618068	0.3282811	0.0909376	0.2628646	0.1458826	0.2710224	0.1535779	0.1325623	0.0488451	0.0483643	0.3653785	0.7351108	0.0202639	0.1661598	0.2927508	0.1511933	0.2681771
900	0.5460224	0.7231853	0.4049611	0.2867850	0.2944834	0.0350638	0.2313018	0.1135300	0.2370653	0.1113720	0.1644275	0.0682140	0.0273182	0.3718253	0.7821334	0.0367798	0.1525120	0.3524544	0.1530277	0.3319323
950	0.4343006	0.8671250	0.3413052	0.2289420	0.3721782	0.0447345	0.2295400	0.2064733	0.1543187	0.1836865	0.1260095	0.0210362	0.0369549	0.4782549	0.6953343	0.0058758	0.1430046	0.4729662	0.1990269	0.3963823
1000	0.5561870	0.7400637	0.3805117	0.1944192	0.2873380	0.0435970	0.2269044	0.1491075	0.1679897	0.1118891	0.0851831	0.0289358	0.0287876	0.4690860	0.8252730	0.0216756	0.1772501	0.3501275	0.1954978	0.2123715

0	0.4521837	0.7531292	0.3297530	0.2379764	0.2615991	0.0155091	0.2099712	0.1292654	0.2124723	0.1553386	0.1884967	0.0259745	0.0359445	0.4176714	0.7598627	0.0183561	0.1634377	0.3476045	0.1654320	0.3177013
50	0.5967763	0.6080484	0.2375921	0.1850457	0.3729169	0.0312574	0.1922650	0.1261898	0.3178733	0.0826864	0.1095050	0.0119659	0.0420951	0.3925714	0.7464050	0.0344473	0.1007474	0.2275923	0.1546352	0.2604433
100	0.5482028	0.3207988	0.0769455	0.4527257	0.3126871	0.0530818	0.2437550	0.1615982	0.1713502	0.3875288	0.1960838	0.0105512	0.0292033	0.3701773	0.7247900	0.0122403	0.0712387	0.1266259	0.3236480	0.2905817
150	0.3418499	0.2507958	0.0437195	0.5691288	0.4912435	0.0153252	0.2436081	0.1951227	0.2134585	0.4315406	0.2141685	0.0023014	0.0191979	0.2513837	0.5631517	0.0212476	0.0642699	0.0756646	0.4457625	0.3984374
200	0.2029689	0.2094443	0.0684103	0.7603164	0.5409934	0.0239110	0.4165317	0.2197685	0.1100534	0.6738980	0.2603477	0.0052281	0.0229143	0.1998889	0.5268376	0.0200234	0.0656075	0.0271878	0.6704817	0.5190653
250	0.1631601	0.2420892	0.0638434	0.8283502	0.5845710	0.0216092	0.4534560	0.3092603	0.0886971	0.8800673	0.4048810	0.0138001	0.0097002	0.1600998	0.4424792	0.0486814	0.0856070	0.0457313	0.5727087	0.6991429
300	0.0979535	0.1595920	0.0613781	0.6009213	0.5289416	0.0191623	0.5134012	0.2697666	0.1019454	0.5646505	0.3980152	0.0046099	0.0370513	0.1157759	0.4181578	0.0453894	0.0640512	0.0297571	0.7615989	0.5999304
350	0.0977000	0.2397139	0.0880271	0.7052259	0.5125167	0.0233581	0.5304601	0.3210568	0.0436945	0.6370679	0.4120445	0.0066718	0.0520079	0.1193204	0.4241457	0.0478025	0.0566473	0.0115221	0.8595892	0.6393578
400	0.0847736	0.1505731	0.0639072	0.8157659	0.7040959	0.0252429	0.5511941	0.4185791	0.0813497	0.6349959	0.4703396	0.0112510	0.0411780	0.0630013	0.4409616	0.0210032	0.0833443	0.0039055	0.6839800	0.6100460
450	0.0795907	0.2071941	0.0552881	0.6214507	0.6777831	0.0167928	0.5662429	0.3305055	0.1068229	0.6937745	0.5618425	0.0385299	0.0183808	0.1171177	0.2778017	0.0940768	0.0513172	0.0063560	0.7718840	0.6504257
500	0.0461986	0.1612539	0.1072574	0.7584965	0.6214569	0.0166796	0.6031717	0.3758350	0.1034731	0.8345208	0.5061713	0.0193351	0.0460977	0.0787285	0.2190025	0.1107194	0.1181462	0.0078680	0.9221881	0.6370115
550	0.0717348	0.3151554	0.3487637	0.8051980	0.7128922	0.0146459	0.6135763	0.3059856	0.0777619	0.8666910	0.5258058	0.0406870	0.0301564	0.0723097	0.3543556	0.0831810	0.2814493	0.1172400	0.8285329	0.6120372
