"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.8070865	1.0860969	0.4540315	0.2581129	0.4022875	0.0606355	0.3503206	0.1824606	0.2719058	0.1955380	0.2316410	0.0246904	0.0467578	0.6182916	0.9351447	0.0261620	0.2361414	0.4809806	0.1871223	0.3701220
50	0.7801365	1.0778039	0.4838017	0.3005588	0.1379467	0.0486868	0.2698555	0.1279157	0.2049351	0.2194499	0.2124562	0.0239467	0.0426842	0.5763798	0.9891499	0.0284551	0.1962556	0.5067055	0.2397798	0.4495031
100	0.7304497	0.9794265	0.4659242	0.2730463	0.0739853	0.0444199	0.2928960	0.1592179	0.2543891	0.2414060	0.2360402	0.0177946	0.0496917	0.5252302	0.9667636	0.0260575	0.1432927	0.4919481	0.2521931	0.4397974
150	0.7548857	0.9796398	0.4696944	0.3292844	0.0673140	0.0437834	0.3210925	0.1747514	0.2540850	0.2345271	0.1799130	0.0095312	0.0474071	0.5202574	1.0078274	0.0302503	0.1173886	0.5156513	0.3001366	0.4641314
200	0.7730064	1.0481011	0.4884899	0.3060726	0.0519632	0.0324635	0.2819281	0.2294383	0.2089237	0.2701992	0.2120594	0.0081018	0.0396861	0.6060572	0.8953385	0.0392652	0.1410949	0.4612325	0.2807440	0.4136440
250	0.7272315	0.9685564	0.4434524	0.2878311	0.0358687	0.0244700	0.2645265	0.1748457	0.2318241	0.1759192	0.1951735	0.0118106	0.0458798	0.6401694	0.9023847	0.0181178	0.1444655	0.4770231	0.2187159	0.3878221
300	0.7429385	1.0498550	0.4364792	0.2717967	0.0396818	0.0395507	0.2998363	0.1929342	0.2592607	0.1898791	0.2159791	0.0132012	0.0388938	0.6309903	0.9975598	0.0286930	0.1039436	0.5029589	0.2026784	0.4259695
350	0.7863269	1.0261762	0.3776210	0.2097759	0.0552043	0.0537581	0.3901160	0.1495922	0.2381556	0.1154298	0.1558039	0.0143797	0.0532122	0.6109476	0.9687126	0.0170926	0.1096635	0.4368537	0.1850308	0.4409429
400	0.7898087	1.0289565	0.4729417	0.2407332	0.0493039	0.0813202	0.4140283	0.1641397	0.2720960	0.1664876	0.1972040	0.0161057	0.0554359	0.5970496	1.0410337	0.0218734	0.0870035	0.4810915	0.1369850	0.3470282
450	0.8111077	1.0015768	0.4393184	0.2565909	0.0492930	0.0662771	0.3781065	0.1976729	0.3116698	0.1502962	0.2306232	0.0149963	0.0380095	0.5794303	0.9464065	0.0117206	0.1050428	0.4332013	0.1667671	0.3738642
500	0.7367455	1.0375094	0.4939706	0.2814722	0.0789649	0.0546116	0.4126858	0.1772579	0.3062509	0.1453695	0.2072312	0.0093930	0.0416725	0.5446358	0.9469759	0.0118140	0.1512996	0.4902324	0.2190677	0.3987060
550	0.7279266	1.0235813	0.4858350	0.3092599	0.2934275	0.0540491	0.3620874	0.1673309	0.2734306	0.1584644	0.2485675	0.0567696	0.0501036	0.5123194	0.9206381	0.0173945	0.1865864	0.4824404	0.2139080	0.3883636
600	0.8540259	1.0092590	0.4253936	0.2535201	0.3263500	0.0805042	0.3096228	0.1389237	0.2675766	0.1574787	0.1971703	0.0365503	0.0277090	0.5961936	1.0074658	0.0180907	0.2128077	0.5315568	0.2046880	0.4020501
650	0.7704665	1.0064851	0.4403483	0.2603892	0.3641281	0.0588992	0.3058918	0.1128572	0.2947082	0.1204525	0.1772295	0.0389625	0.0335170	0.5678005	1.0396803	0.0149565	0.1823960	0.4772763	0.2046302	0.3789366
700	0.7475674	1.0207231	0.4937010	0.2657852	0.3751372	0.0467277	0.3399264	0.1656688	0.2527289	0.1687485	0.1698977	0.0351655	0.0424577	0.5983890	0.9939020	0.0176295	0.2407441	0.4703689	0.1832634	0.4030472
750	0.7573365	1.0452324	0.4169119	0.2435134	0.3499914	0.0667914	0.2753655	0.1480647	0.2678037	0.1677261	0.1861957	0.0589752	0.0390296	0.5434622	0.9712171	0.0302815	0.1995950	0.4985498	0.1702201	0.4101896
800	0.8244649	0.9604811	0.4124199	0.2316866	0.3961769	0.0711544	0.3290034	0.1630733	0.2983738	0.1732920	0.1870347	0.0442325	0.0553330	0.5562198	1.0121773	0.0167924	0.2127625	0.5594555	0.1529204	0.4228541
850	0.8102563	0.9133964	0.4845659	0.3112861	0.4139925	0.0897623	0.3966822	0.1833583	0.2785210	0.1712709	0.1462838	0.0648184	0.0326155	0.5916970	0.9813909	0.0180414	0.2403152	0.5104377	0.1736677	0.4110080
900	0.7678068	0.9679408	0.5186729	0.3535950	0.4100912	0.0633913	0.2972067	0.2203482	0.3058573	0.1872130	0.1771821	0.0444808	0.0449721	0.5891015	0.9185341	0.0278177	0.2287651	0.5286159	0.2415413	0.4472616
950	0.7124608	0.9739395	0.4728001	0.3453230	0.4289431	0.0414181	0.3399769	0.2143337	0.2704101	0.2670090	0.2176958	0.0418867	0.0448577	0.5833263	0.9907592	0.0184576	0.2549900	0.4715401	0.2687511	0.3663567
