"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7935601	0.2607611	1.0095953	0.0533262	0.0443207	0.1041409	0.6966857	0.2363415	0.1261324	0.0576936	0.3635871	0.9908147	0.0804276	0.4543911	1.0319497	0.0076167	0.1073224	0.5470053	0.0822185	0.5866606
50	0.8272832	0.2152194	0.9212893	0.0168188	0.2375089	0.0763012	0.7640820	0.1635582	0.0608843	0.0226867	0.7438730	1.0585513	0.0566444	0.2870587	1.0267093	0.0041222	0.0257014	0.4692688	0.0902655	0.6088378
100	0.8102999	0.2232469	0.9396639	0.0036009	0.3825644	0.0800655	0.7851930	0.1948033	0.0667726	0.0275378	0.8310124	0.9738637	0.0537267	0.1729700	1.0680855	0.0139430	0.0100570	0.4526979	0.0711542	0.6009050
150	0.8485347	0.2499026	0.9538931	0.0031894	0.4141839	0.0968044	0.7286479	0.2175244	0.0629694	0.0296643	0.8442205	0.9825200	0.0645018	0.1073923	1.1331240	0.0014853	0.0080607	0.5019933	0.0914136	0.6064654
200	0.8655388	0.2746510	0.9717866	0.0019731	0.4269411	0.1347949	0.8550918	0.2211778	0.0738364	0.0394047	0.8958628	1.0260561	0.0814043	0.1426643	1.0271416	0.0109901	0.0189472	0.5877983	0.0918711	0.5880559
250	0.8826694	0.2355963	1.0205023	0.0011936	0.3994261	0.1975499	0.8970855	0.2348268	0.0416265	0.0290132	0.9938634	1.0200743	0.0613309	0.1640849	1.0030358	0.0100301	0.0166801	0.5130790	0.0745259	0.6054437
300	0.8773949	0.2432653	0.9676560	0.0034449	0.4568515	0.1777282	0.9389664	0.2344689	0.0692765	0.0294168	1.0099777	0.9768249	0.0566137	0.1602783	1.0043387	0.0070031	0.0084236	0.5096739	0.0936788	0.5745128
350	1.0621386	0.2289288	1.0219734	0.0029447	0.4519619	0.1460750	0.9707272	0.2227592	0.0743756	0.0427299	0.9010825	0.9070609	0.0718387	0.2040135	1.0425203	0.0112399	0.0088860	0.5853054	0.0826723	0.6451527
400	0.8300493	0.2163867	1.1198837	0.0020129	0.4122944	0.2176100	1.0090566	0.2241025	0.0660719	0.0395593	0.9238636	0.9731999	0.0467223	0.1922153	0.9487337	0.0180701	0.0067672	0.4975781	0.0880751	0.6088999
450	0.8162662	0.2229332	1.0357185	0.0015930	0.4058479	0.1664308	0.8364325	0.1891402	0.0565294	0.0323508	0.8481680	1.0977762	0.0513634	0.1875438	0.9811441	0.0096610	0.0134998	0.5293132	0.0786974	0.5637787
500	0.8919868	0.2312921	0.9885604	0.0039142	0.4524606	0.1211688	0.7200475	0.2218039	0.0538027	0.0605196	0.9571860	1.0445719	0.0536663	0.2079436	0.9746967	0.0118744	0.0081528	0.4683648	0.0826196	0.5846387
550	0.7002105	0.2162389	1.0001769	0.0353581	0.2259604	0.1164782	0.7286141	0.2066510	0.0919563	0.0654344	0.5651079	0.9947013	0.0444285	0.3418834	0.9185775	0.0028379	0.1110437	0.5457729	0.0693047	0.5906481
600	0.6296725	0.2208720	1.0473260	0.0304700	0.1032145	0.0967940	0.6731965	0.2043972	0.0607824	0.0493030	0.4408629	0.9932211	0.0544260	0.4098544	0.9939933	0.0008875	0.1025830	0.4834169	0.0488194	0.5580963
650	0.6255061	0.2599991	0.9857386	0.0656755	0.0541911	0.0884222	0.5003800	0.1818008	0.0537841	0.0386651	0.4030195	1.0080806	0.0400907	0.3880175	1.0057394	0.0068289	0.0950992	0.4093678	0.0633389	0.6227436
700	0.6272420	0.2194083	1.0419782	0.0640211	0.0228415	0.0469311	0.3508302	0.1980523	0.0711980	0.0283685	0.3692717	0.9629603	0.0573560	0.4170683	0.9168070	0.0048149	0.0627161	0.3553189	0.0415743	0.5544978
750	0.6717105	0.2708140	1.0455089	0.0504035	0.0406670	0.0260058	0.3193970	0.1908315	0.0739644	0.0426947	0.3422692	0.9311168	0.0749859	0.4365744	0.9646862	0.0089674	0.0761020	0.3454946	0.0441133	0.5983562
