"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.8391834	0.2451787	1.0000000	0.0209065	0.2739303	0.1065615	0.7558152	0.2265805	0.0688225	0.0317461	0.7487984	0.9979028	0.0618466	0.2827492	0.9999034	0.0076537	0.0230152	0.5109052	0.0853739	0.5760984
100	0.8555261	0.2451787	1.0000000	0.0088769	0.3628955	0.1219637	0.8203242	0.2265762	0.0624111	0.0317461	0.8583796	0.9985112	0.0618466	0.2181962	0.9999162	0.0076537	0.0133017	0.5157426	0.0853689	0.5902432
150	0.8581456	0.2451787	1.0000000	0.0040743	0.3965005	0.1351602	0.8561446	0.2265742	0.0601877	0.0317461	0.8925391	0.9987879	0.0618466	0.1922665	0.9999236	0.0076537	0.0122110	0.5188830	0.0853664	0.5981370
200	0.8585655	0.2451787	1.0000000	0.0021570	0.4091942	0.1430651	0.8733342	0.2265733	0.0594166	0.0317461	0.9033597	0.9988973	0.0618466	0.1818510	0.9999268	0.0076537	0.0120885	0.5204299	0.0853652	0.6014504
250	0.8586328	0.2451787	1.0000000	0.0013916	0.4139890	0.1470698	0.8809361	0.2265728	0.0591492	0.0317461	0.9068285	0.9989381	0.0618466	0.1776673	0.9999281	0.0076537	0.0120748	0.5211108	0.0853646	0.6027067
300	0.8586436	0.2451787	1.0000000	0.0010860	0.4158001	0.1489178	0.8841326	0.2265726	0.0590565	0.0317461	0.9079514	0.9989529	0.0618466	0.1759868	0.9999286	0.0076537	0.0120733	0.5213928	0.0853643	0.6031626
350	0.8586453	0.2451787	1.0000000	0.0009640	0.4164843	0.1497227	0.8854315	0.2265725	0.0590244	0.0317461	0.9083180	0.9989581	0.0618466	0.1753117	0.9999287	0.0076537	0.0120731	0.5215051	0.0853642	0.6033248
400	0.8586456	0.2451787	1.0000000	0.0009153	0.4167427	0.1500599	0.8859465	0.2265725	0.0590132	0.0317461	0.9084386	0.9989600	0.0618466	0.1750406	0.9999288	0.0076537	0.0120731	0.5215487	0.0853641	0.6033819
450	0.8586456	0.2451787	1.0000000	0.0008959	0.4168403	0.1501973	0.8861468	0.2265725	0.0590093	0.0317461	0.9084785	0.9989607	0.0618466	0.1749317	0.9999288	0.0076537	0.0120731	0.5215653	0.0853641	0.6034018
500	0.8586456	0.2451787	1.0000000	0.0008881	0.4168772	0.1502522	0.8862237	0.2265724	0.0590080	0.0317461	0.9084919	0.9989609	0.0618466	0.1748879	0.9999288	0.0076537	0.0120731	0.5215715	0.0853641	0.6034088
550	0.7566875	0.2451787	1.0000000	0.0310172	0.1813657	0.1432192	0.8257442	0.2265724	0.0774945	0.0317461	0.5637129	0.9983388	0.0618466	0.3355756	0.9999242	0.0076537	0.0985837	0.5202772	0.0853640	0.5972496
600	0.7403447	0.2451787	1.0000000	0.0430455	0.0924056	0.1269187	0.7617205	0.2265724	0.0839055	0.0317461	0.4509687	0.9977107	0.0618466	0.4001208	0.9999131	0.0076537	0.1082972	0.5164802	0.0853640	0.5841438
650	0.7377251	0.2451787	1.0000000	0.0478475	0.0588025	0.1141093	0.7117353	0.2265724	0.0861288	0.0317461	0.4111118	0.9972336	0.0618466	0.4260474	0.9999042	0.0076537	0.1093879	0.5128092	0.0853640	0.5750030
700	0.7373052	0.2451787	1.0000000	0.0497646	0.0461095	0.1068455	0.6823719	0.2265724	0.0868998	0.0317461	0.3965694	0.9969745	0.0618466	0.4364616	0.9998994	0.0076537	0.1095104	0.5104747	0.0853640	0.5705891
750	0.7372379	0.2451787	1.0000000	0.0505300	0.0413150	0.1032863	0.6676981	0.2265724	0.0871672	0.0317461	0.3912314	0.9968585	0.0618466	0.4406448	0.9998974	0.0076537	0.1095241	0.5092733	0.0853640	0.5687835
800	0.7372271	0.2451787	1.0000000	0.0508355	0.0395039	0.1016779	0.6610287	0.2265724	0.0872599	0.0317461	0.3892798	0.9968119	0.0618466	0.4423251	0.9998965	0.0076537	0.1095256	0.5087242	0.0853640	0.5681025
850	0.7372254	0.2451787	1.0000000	0.0509575	0.0388198	0.1009871	0.6581729	0.2265724	0.0872920	0.0317461	0.3885711	0.9967943	0.0618466	0.4430000	0.9998962	0.0076537	0.1095258	0.5084908	0.0853640	0.5678558
900	0.7372251	0.2451787	1.0000000	0.0510062	0.0385614	0.1007005	0.6569980	0.2265724	0.0873032	0.0317461	0.3883154	0.9967879	0.0618466	0.4432711	0.9998961	0.0076537	0.1095258	0.5083961	0.0853640	0.5677683
950	0.7372250	0.2451787	1.0000000	0.0510256	0.0384638	0.1005845	0.6565280	0.2265724	0.0873071	0.0317461	0.3882238	0.9967856	0.0618466	0.4433800	0.9998961	0.0076537	0.1095258	0.5083589	0.0853640	0.5677375
1000	0.7372250	0.2451787	1.0000000	0.0510334	0.0384270	0.1005384	0.6563440	0.2265724	0.0873084	0.0317461	0.3881911	0.9967848	0.0618466	0.4434238	0.9998960	0.0076537	0.1095258	0.5083446	0.0853640	0.5677267

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.7412717	0.2714757	0.7122359	0.0203961	0.3432972	0.1014953	0.6602207	0.2311210	0.0923513	0.0346379	0.3882963	0.9968276	0.0654725	0.4510006	0.9998970	0.0077499	0.1172200	0.5119398	0.0867986	0.6210410
