"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7372330	0.2451789	1.0000000	0.0510388	0.0384122	0.1005430	0.6565085	0.2266183	0.0873186	0.0317461	0.3882843	0.9967867	0.0618466	0.4434777	0.9998959	0.0076538	0.1095301	0.5084075	0.0853994	0.5677491
50	0.7853340	0.2451788	1.0000000	0.0325266	0.1330335	0.1027998	0.6979949	0.2265941	0.0795873	0.0317461	0.5189794	0.9972187	0.0618466	0.3825279	0.9998979	0.0076538	0.0721049	0.5089814	0.0853813	0.5699967
100	0.8281383	0.2451787	1.0000000	0.0152218	0.2551400	0.1140527	0.7635549	0.2265826	0.0701430	0.0317461	0.6845936	0.9978739	0.0618466	0.2994665	0.9999062	0.0076538	0.0390089	0.5118612	0.0853724	0.5796029
150	0.8472227	0.2451787	1.0000000	0.0068578	0.3346907	0.1280598	0.8167380	0.2265772	0.0643549	0.0317461	0.7922076	0.9983743	0.0618466	0.2419174	0.9999154	0.0076537	0.0234058	0.5153815	0.0853681	0.5898508
200	0.8545392	0.2451787	1.0000000	0.0033050	0.3776772	0.1385299	0.8504523	0.2265747	0.0614139	0.0317461	0.8511216	0.9986716	0.0618466	0.2088160	0.9999218	0.0076537	0.0167636	0.5180833	0.0853660	0.5966594
250	0.8571949	0.2451787	1.0000000	0.0018553	0.3989221	0.1446451	0.8690186	0.2265735	0.0600470	0.0317461	0.8810147	0.9988263	0.0618466	0.1913974	0.9999255	0.0076537	0.0140059	0.5197596	0.0853650	0.6003166
300	0.8581370	0.2451787	1.0000000	0.0012719	0.4088851	0.1477516	0.8783611	0.2265729	0.0594441	0.0317461	0.8955736	0.9989008	0.0618466	0.1826987	0.9999273	0.0076537	0.0128686	0.5206828	0.0853645	0.6020678
350	0.8584679	0.2451787	1.0000000	0.0010384	0.4133986	0.1491986	0.8827779	0.2265727	0.0591871	0.0317461	0.9024928	0.9989348	0.0618466	0.1785019	0.9999282	0.0076537	0.0124004	0.5211540	0.0853643	0.6028499
400	0.8585836	0.2451787	1.0000000	0.0009450	0.4153938	0.1498351	0.8847729	0.2265725	0.0590802	0.0317461	0.9057304	0.9989499	0.0618466	0.1765260	0.9999285	0.0076537	0.0122077	0.5213824	0.0853641	0.6031834
450	0.8586240	0.2451787	1.0000000	0.0009077	0.4162598	0.1501040	0.8856433	0.2265725	0.0590365	0.0317461	0.9072298	0.9989563	0.0618466	0.1756126	0.9999287	0.0076537	0.0121285	0.5214890	0.0853641	0.6033211
500	0.8586381	0.2451787	1.0000000	0.0008928	0.4166304	0.1502144	0.8860127	0.2265725	0.0590189	0.0317461	0.9079194	0.9989591	0.0618466	0.1751962	0.9999288	0.0076537	0.0120959	0.5215374	0.0853641	0.6033766
550	0.8105371	0.2451787	1.0000000	0.0193990	0.3221617	0.1475646	0.8624011	0.2265725	0.0667376	0.0317461	0.7838042	0.9987342	0.0618466	0.2359451	0.9999277	0.0076537	0.0495051	0.5212696	0.0853640	0.6017893
600	0.7677326	0.2451787	1.0000000	0.0367013	0.2001189	0.1352367	0.8126213	0.2265724	0.0761767	0.0317461	0.6228944	0.9982676	0.0618466	0.3189165	0.9999215	0.0076537	0.0825946	0.5194125	0.0853640	0.5937978
650	0.7486480	0.2451787	1.0000000	0.0450643	0.1205949	0.1210518	0.7579365	0.2265724	0.0819628	0.0317461	0.5144777	0.9977459	0.0618466	0.3764256	0.9999128	0.0076537	0.0981950	0.5163199	0.0853640	0.5837472
700	0.7413315	0.2451787	1.0000000	0.0486167	0.0776193	0.1110639	0.7146357	0.2265724	0.0849030	0.0317461	0.4526447	0.9973309	0.0618466	0.4095094	0.9999055	0.0076537	0.1048361	0.5133311	0.0853640	0.5761901
