"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.5884609	0.1649087	0.6538635	0.0689739	0.0418060	0.0791957	0.5408597	0.2165297	0.0722301	0.0478845	0.3406331	0.7344074	0.0548830	0.4040866	0.7029461	0.0019771	0.0635332	0.2941278	0.0670615	0.3595854
50	0.4440401	0.1228932	0.8333871	0.0179805	0.1029539	0.0423767	0.6294204	0.1175296	0.0808472	0.0182744	0.2917124	0.8303753	0.0254281	0.2539461	0.6959652	0.0084211	0.0471430	0.3342532	0.0837002	0.4335390
100	0.5646472	0.1743494	0.8503391	0.0069394	0.1785458	0.0504379	0.5114905	0.1319761	0.0696616	0.0266761	0.5270725	0.6805668	0.0448841	0.1769028	0.7715489	0.0169164	0.0178776	0.2694513	0.0574162	0.4489356
150	0.5033049	0.2115518	0.7605446	0.0012523	0.2136584	0.0632966	0.5079861	0.1686741	0.0522557	0.0216267	0.4822123	0.6759499	0.0226382	0.1811938	0.7530213	0.0062227	0.0149870	0.2529941	0.0870721	0.3841871
200	0.6761113	0.1723999	0.5906221	0.0009346	0.2673605	0.0979622	0.4904853	0.1328891	0.0281649	0.0391904	0.6322332	0.7348663	0.0604574	0.1439992	0.7185910	0.0065108	0.0046768	0.3162079	0.0702443	0.4558986
250	0.6188955	0.2355529	0.7300965	0.0000000	0.2988996	0.1316812	0.6431113	0.2224941	0.0572964	0.0299570	0.7020001	0.8181108	0.0283491	0.1240157	0.7459891	0.0133411	0.0138927	0.5377638	0.0640479	0.5371922
300	0.6284721	0.2017117	0.7341952	0.0083708	0.2638141	0.1535033	0.6590993	0.1636728	0.0342179	0.0254066	0.7734008	0.7126739	0.0728965	0.1245344	0.8211758	0.0069491	0.0032143	0.3426154	0.0501596	0.4554194
350	0.6790122	0.1745910	0.7718309	0.0016642	0.3106272	0.1531684	0.5483857	0.1989814	0.0985670	0.0140698	0.7589737	0.7658370	0.0689719	0.1526110	0.9276203	0.0050488	0.0030453	0.4452998	0.0523579	0.3709320
400	0.7494095	0.1398192	0.7626357	0.0005940	0.3115966	0.1230740	0.5427679	0.1716329	0.0914861	0.0388029	0.6658281	0.7755924	0.0273961	0.1299335	0.6074884	0.0318617	0.0016326	0.4172408	0.0437323	0.4267176
450	0.5359833	0.1418158	0.7401198	0.0062609	0.4233325	0.1572698	0.6466626	0.1497125	0.0650048	0.0250132	0.8206008	0.7364631	0.0439653	0.1082142	0.6826362	0.0382500	0.0202241	0.4360878	0.0484342	0.4686855
500	0.4655787	0.1077036	0.7048519	0.0126048	0.3450791	0.0885608	0.5527072	0.2065929	0.0752160	0.0256614	0.6661339	0.7011250	0.0125173	0.1267959	0.7442759	0.0043683	0.0208888	0.4185926	0.0413663	0.4541266
550	0.5011766	0.2068327	0.7296691	0.0317198	0.2785386	0.1543758	0.6715967	0.1298452	0.0419056	0.0273175	0.5433519	0.6760389	0.0237651	0.2243256	0.7763835	0.0020793	0.0373032	0.3110439	0.0885410	0.3471682
600	0.4619861	0.1475692	0.7407089	0.0126544	0.1818468	0.0446439	0.4066806	0.1349691	0.0572363	0.0584169	0.4781223	0.5982013	0.0570312	0.2190694	0.8180359	0.0062164	0.0507180	0.5472012	0.0596112	0.3212434
650	0.5272099	0.1179019	0.7774642	0.0842028	0.0690448	0.0938628	0.4545017	0.1592828	0.0914904	0.0710037	0.3843222	0.7546813	0.0529393	0.2495763	0.6844962	0.0074983	0.1035550	0.3540481	0.0164892	0.3492849
700	0.4283702	0.1181423	0.8599254	0.0695212	0.0830758	0.0349890	0.2612613	0.1886723	0.0298621	0.0272722	0.3524823	0.6496861	0.0335119	0.2346630	0.6144719	0.0129214	0.0571627	0.3944735	0.0510421	0.4773634
750	0.4584530	0.1965094	0.5574855	0.0094034	0.0590045	0.0108666	0.2942444	0.1819722	0.0992889	0.0669081	0.2584938	0.8398572	0.0689828	0.2656056	0.8543778	0.0067596	0.0434277	0.2061860	0.0352878	0.3941025
800	0.5774179	0.1282117	0.6295491	0.0307041	0.0523692	0.0416787	0.2583686	0.1124573	0.0792362	0.0149733	0.2717667	0.7574916	0.0513927	0.3633635	0.8704157	0.0140370	0.0727139	0.2628839	0.0335345	0.3404261
850	0.4843720	0.2018697	0.6147507	0.0356883	0.0225185	0.0656281	0.3246139	0.1485547	0.0517558	0.0224089	0.3498203	0.7444754	0.0520766	0.2584621	0.7776058	0.0113306	0.0836781	0.2275275	0.0410217	0.4368891
900	0.4545667	0.2303983	0.7074014	0.0433178	0.0285352	0.0488163	0.4150254	0.1905534	0.0873609	0.0186830	0.3350443	0.5832969	0.0405743	0.3921042	0.7468283	0.0050842	0.0705071	0.3849782	0.0468945	0.3646361
950	0.4897800	0.2503530	0.6059303	0.0789909	0.0268363	0.0912298	0.5595558	0.1887581	0.0738579	0.0198755	0.2777467	0.9451063	0.0687374	0.2802956	0.7515631	0.0025015	0.1005882	0.3821170	0.0737556	0.4599380
1000	0.5270778	0.2007808	0.8212086	0.0452820	0.0274979	0.1074548	0.5520980	0.1934684	0.0525010	0.0183548	0.2436043	0.8025555	0.0483162	0.3678652	0.7435406	0.0056149	0.1285409	0.3691196	0.0799079	0.3738164

0	0.5895430	0.1841088	0.6334416	0.0554453	0.0393352	0.1016693	0.3973814	0.1879506	0.1008477	0.0591401	0.3541038	0.7833775	0.0448009	0.4061828	0.7048187	0.0020586	0.0556330	0.4542448	0.0436703	0.4498268
50	0.4272579	0.1470562	0.5817509	0.0619192	0.1330061	0.0197953	0.3220912	0.1264009	0.1046355	0.0378849	0.2785344	0.5997149	0.0504735	0.3761716	0.6123320	0.0085446	0.0677782	0.2433348	0.0628785	0.3747538
100	0.5676026	0.2413261	0.5017299	0.0249747	0.1884950	0.0278247	0.3373852	0.1227788	0.0421147	0.0272253	0.3261436	0.6462262	0.0390186	0.2539147	0.5847255	0.0116573	0.0869631	0.3629446	0.0820658	0.3636743
150	0.4627843	0.3095189	0.4782843	0.0116526	0.2766346	0.0617636	0.3734372	0.1569922	0.0935493	0.0628028	0.2236186	0.7865305	0.0445914	0.3545947	0.7946706	0.0094233	0.1159618	0.3362223	0.0852963	0.2797074
200	0.5568227	0.4137480	0.3182152	0.0005243	0.3530866	0.2002244	0.4557605	0.3508523	0.1911523	0.0449491	0.3154537	0.6880419	0.1021645	0.3311725	0.7826011	0.0144608	0.2060236	0.4603497	0.1033844	0.4318483
250	0.5912491	0.4709562	0.3666988	0.0005698	0.3122985	0.2086025	0.6188896	0.4622806	0.3232854	0.0566979	0.3659939	0.8314040	0.0710168	0.3415637	0.7328163	0.0034863	0.2010858	0.5523661	0.1517819	0.4236918
300	0.6592179	0.5237052	0.4491752	0.0012829	0.4084452	0.4000126	0.6493086	0.3689850	0.2534136	0.0582563	0.3815241	0.7205756	0.0914798	0.4363988	0.7358609	0.0057032	0.2435571	0.5340252	0.2135581	0.4464030
350	0.6266990	0.4252837	0.4134956	0.0002213	0.4650252	0.3928392	0.7469778	0.5873303	0.3690642	0.0336409	0.4853287	0.7061217	0.0672633	0.4507587	0.7172377	0.0009005	0.2053668	0.6137718	0.1809124	0.4943726
400	0.7289252	0.3655828	0.4911867	0.0066214	0.5658069	0.3966797	0.7141069	0.4646129	0.2265572	0.0550544	0.2901410	0.7538177	0.0929851	0.4296319	0.6260283	0.0012478	0.1898319	0.6130770	0.2682817	0.4860176
450	0.7341620	0.3763847	0.3465845	0.0000000	0.5103468	0.4178624	0.7374279	0.4325151	0.2946534	0.0771212	0.3847212	0.7410894	0.0853698	0.4846024	0.6401382	0.0188455	0.1949833	0.6374292	0.2445552	0.6648712
500	0.6689658	0.4287623	0.3954654	0.0002282	0.4345623	0.4323538	0.7351233	0.4545691	0.3909844	0.0459961	0.3575115	0.6017381	0.0802683	0.4952123	0.6770164	0.0133073	0.2024981	0.5607644	0.2434410	0.5549293
550	0.6312438	0.3969812	0.5754522	0.0173276	0.4614481	0.4118810	0.7077996	0.5041969	0.3194551	0.0496096	0.4034091	0.6675861	0.0910721	0.4526879	0.6851630	0.0112202	0.2712676	0.6763129	0.2648455	0.6248949
600	0.6832979	0.2992940	0.6421511	0.0399894	0.3237565	0.3765682	0.7046763	0.4428977	0.4137813	0.0176441	0.3712400	0.6102259	0.0660139	0.6077031	0.7037206	0.0147815	0.1354032	0.8860571	0.2363553	0.5374928
650	0.5975310	0.2608312	0.7445700	0.0312899	0.1839559	0.3311862	0.7099935	0.4202615	0.3061480	0.0196729	0.2979643	0.6107082	0.0997584	0.4208061	0.7238695	0.0089541	0.1230338	0.5186785	0.2206388	0.4808886
700	0.6927101	0.2656313	0.7315669	0.0165220	0.1327721	0.2915466	0.6024960	0.3195280	0.2335160	0.0167027	0.3615505	0.6432408	0.0645478	0.4439986	0.6742451	0.0028419	0.1528201	0.6151643	0.1101883	0.5374748
750	0.6081679	0.2446744	0.6801597	0.0172281	0.0786018	0.2995410	0.6438209	0.2812449	0.2257005	0.0268857	0.2937146	0.6365729	0.0599355	0.3957282	0.6793754	0.0040868	0.1273866	0.5340860	0.1242877	0.5041195
800	0.5916239	0.1512019	0.6777266	0.0207680	0.0594447	0.2037633	0.6090845	0.2789231	0.1251737	0.0179330	0.2976151	0.7223230	0.0366060	0.3178385	0.7232445	0.0046732	0.1049830	0.5376760	0.0770097	0.5912120
850	0.5872544	0.2465176	0.5909863	0.0182143	0.0714457	0.1675471	0.5979775	0.2160008	0.0825072	0.0307401	0.3074519	0.7008162	0.0241479	0.3653006	0.6870810	0.0038735	0.1098407	0.3858560	0.0639833	0.3630891
900	0.5932164	0.2227089	0.6459257	0.0334747	0.0478470	0.1406174	0.5239997	0.1802499	0.0755770	0.0353638	0.3506352	0.7312012	0.0500318	0.3422569	0.7111399	0.0139011	0.1063508	0.4833931	0.0954951	0.3016546
950	0.7228487	0.1788970	0.6259173	0.0290018	0.0417178	0.1512162	0.5985920	0.2726218	0.1015827	0.0269094	0.2847952	0.7483779	0.0280842	0.3352085	0.6526370	0.0138690	0.1086576	0.4301233	0.1052489	0.3961490
1000	0.5859642	0.1919616	0.6803806	0.0234243	0.0297628	0.2300178	0.5954928	0.3189063	0.0955704	0.0097112	0.3057010	0.6511625	0.0705297	0.3323003	0.7739049	0.0137681	0.1132998	0.3235517	0.0803519	0.4449837

0	0.6648200	0.1707181	0.7392940	0.0476638	0.0230715	0.0871039	0.3895019	0.1741961	0.0785055	0.0596871	0.3359173	0.6099404	0.0351613	0.3229964	0.6579315	0.0043195	0.0724703	0.3323924	0.0720194	0.4718414
50	0.5979281	0.1514527	0.7419738	0.0319000	0.0651039	0.0970013	0.5776167	0.1067923	0.0657014	0.3219316	0.3208642	0.6095155	0.0462540	0.3661012	0.7689158	0.0233016	0.0479898	0.2246622	0.0561059	0.4744089
100	0.5252514	0.1977601	0.4291089	0.0580870	0.0238409	0.0859383	0.5615220	0.1336576	0.0674103	0.5457327	0.3391428	0.6183493	0.0632671	0.2546710	0.8239325	0.0021284	0.1003225	0.3156924	0.0631562	0.5498599
150	0.7059471	0.3223325	0.3325063	0.0255313	0.0457964	0.1090563	0.6009874	0.1750728	0.1005648	0.6480250	0.2806921	0.6315744	0.0751828	0.4236159	0.6963540	0.0062172	0.0903226	0.3391855	0.0644096	0.6519427
200	0.5855582	0.4162815	0.2904285	0.0454849	0.0833495	0.1689827	0.6527501	0.2606416	0.1352890	0.5991838	0.3561558	0.7296775	0.1720905	0.4408411	0.7270781	0.0368746	0.1518125	0.4392764	0.0687507	0.7505768
250	0.6514570	0.5244103	0.2696539	0.1124072	0.0656145	0.3845109	0.7180112	0.4343231	0.2817838	0.6360570	0.3347325	0.7460682	0.2030067	0.4853031	0.7645847	0.0139597	0.1952229	0.5240916	0.2070979	0.6877883
300	0.6922254	0.7205571	0.3375976	0.2430359	0.1625029	0.4339962	0.7781302	0.4950515	0.3671736	0.7287052	0.2280411	0.6598495	0.2261958	0.5988727	0.7062597	0.0234446	0.2967597	0.4698438	0.2991209	0.6857809
350	0.7365854	0.7620145	0.3343518	0.1296539	0.1985197	0.5305221	0.8438318	0.5436638	0.3686675	0.8066777	0.4087138	0.8520593	0.2831653	0.5233156	0.6292851	0.0159500	0.3536820	0.7303494	0.3303205	0.6866046
400	0.7169928	0.5426414	0.2694580	0.1795730	0.1765322	0.4740313	0.7362716	0.5628618	0.5144944	0.8858680	0.4535013	0.6629395	0.2717171	0.4733328	0.6725033	0.0177474	0.3672176	0.6625213	0.2554331	0.6938004
450	0.8291017	0.5804409	0.3690018	0.1944200	0.1816948	0.5982253	0.6723613	0.5601929	0.5715177	0.7528451	0.4322005	0.6445744	0.2384070	0.4717958	0.7604803	0.0051479	0.3315070	0.8467419	0.3292088	0.7554656
500	0.6485836	0.5037040	0.3591819	0.1356852	0.2020238	0.5963176	0.6940147	0.5937870	0.5109829	0.6269895	0.4259940	0.6646108	0.2605203	0.5003072	0.6377323	0.0290260	0.3295563	0.7235049	0.2515062	0.6296155
