"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.6395742	0.2301083	1.0544577	0.0552494	0.0340138	0.1292057	0.5490392	0.2517530	0.0892154	0.0343910	0.3556123	0.9822353	0.0669199	0.4187159	1.0923361	0.0064589	0.1152816	0.4917062	0.0925163	0.5722956
50	0.7011659	0.2375719	0.9927708	0.0250423	0.0347572	0.0905524	0.5911526	0.2962292	0.0953075	0.0229184	0.4292496	0.9868948	0.0554706	0.4154440	1.1372644	0.0044308	0.1006994	0.4891648	0.0777855	0.7028182
100	0.7172950	0.2190485	0.9848822	0.0604766	0.0499779	0.0656223	0.5695311	0.2716981	0.0643786	0.0228069	0.4296542	1.0120362	0.0783250	0.3059426	1.0690292	0.0031624	0.1005647	0.4659066	0.0871631	0.7915752
150	0.6491987	0.1908297	0.9661083	0.0529895	0.0530530	0.0852196	0.4929093	0.2855346	0.0762649	0.0254524	0.4390861	1.0084267	0.0676180	0.2513076	0.9695642	0.0090032	0.0952188	0.4115583	0.0759036	0.9407736
200	0.5980776	0.1661375	0.9944926	0.0376931	0.0511075	0.0613933	0.3595726	0.3267326	0.0529074	0.0226994	0.4223994	0.9336411	0.0565890	0.1725128	0.9734616	0.0127644	0.0905489	0.3599781	0.0532547	0.9768998
250	0.5700277	0.1600708	0.9347783	0.0479673	0.0345738	0.0383158	0.2968375	0.3436269	0.0544554	0.0263045	0.4003634	0.9042041	0.0495638	0.1716853	0.8708894	0.0064558	0.0948450	0.3134872	0.0581289	0.9638620
300	0.4484825	0.1605696	0.9816603	0.0479380	0.0378657	0.0318312	0.2121674	0.3248641	0.0882957	0.0261384	0.3453419	0.9957174	0.0650750	0.1540255	0.9838365	0.0144134	0.0999085	0.2893154	0.0410720	0.9746839
350	0.4787670	0.1564951	1.0681386	0.0430882	0.0236960	0.0209416	0.1548683	0.2840057	0.0830400	0.0336686	0.3710007	0.9111034	0.0477573	0.1336851	0.9728357	0.0118444	0.1038269	0.2254115	0.0439704	1.0405715
400	0.4906486	0.1417803	1.1057942	0.0452122	0.0197590	0.0354818	0.1584246	0.3048471	0.0620546	0.0405982	0.3419750	0.8517352	0.0427844	0.1100130	1.0338822	0.0100465	0.0687669	0.1808501	0.0265255	1.0694966
450	0.5354191	0.1674817	1.0905399	0.0183448	0.0279166	0.0139540	0.0918359	0.3462078	0.0534157	0.0154224	0.3111732	0.8275579	0.0546694	0.0931124	1.0184593	0.0141785	0.0685794	0.1722066	0.0178152	1.0429300
500	0.5472032	0.1781734	1.0186387	0.0116889	0.0192939	0.0137523	0.1192893	0.3286451	0.0813923	0.0153864	0.3047650	0.8847573	0.0343005	0.0872572	1.0273407	0.0139627	0.0626828	0.1547835	0.0358856	1.0675744
550	0.6825074	0.1919375	0.9417830	0.0286958	0.0089055	0.0509150	0.1612574	0.2625481	0.0685517	0.0331922	0.2506070	0.9492381	0.0424765	0.1563873	0.9653677	0.0032500	0.0707295	0.2125382	0.0324791	0.7807470
600	0.6615200	0.2018088	1.0004650	0.0490449	0.0221981	0.0355689	0.3178628	0.3360794	0.0684931	0.0277371	0.3410272	1.0612632	0.0713126	0.2900811	0.9957852	0.0055690	0.0880656	0.2723663	0.0487068	0.6260266
650	0.6972066	0.2463200	0.9433150	0.0733419	0.0311754	0.0552331	0.3759985	0.2572429	0.0617164	0.0421174	0.3543122	1.0623823	0.0538488	0.3522183	0.9799642	0.0235853	0.1163168	0.3383531	0.0774407	0.5470401
700	0.7110372	0.2349228	0.9475042	0.0540902	0.0351543	0.0755026	0.4287333	0.2384842	0.0874280	0.0404924	0.4083299	0.9578154	0.0474734	0.3306585	0.9389427	0.0168487	0.0966930	0.3550455	0.0761698	0.5498025
750	0.6835923	0.2004145	0.9630507	0.0575176	0.0387053	0.0392655	0.4621730	0.2536370	0.1023889	0.0314556	0.4022853	1.0437663	0.0730725	0.3303401	1.0310831	0.0164663	0.1028301	0.4292268	0.0964942	0.5473464
800	0.6690460	0.1992797	1.0118460	0.0637739	0.0388846	0.0475106	0.3985522	0.2468945	0.0987467	0.0093631	0.3755883	1.0407324	0.0649002	0.3359751	0.9919065	0.0113820	0.0748642	0.4185937	0.0611296	0.5614216
850	0.6670551	0.2212007	0.9360306	0.0712147	0.0279545	0.0512917	0.4346382	0.1876802	0.0484472	0.0275455	0.3835403	1.0527583	0.0465352	0.3729795	1.0039459	0.0143625	0.1026533	0.3363943	0.0682352	0.5183800
900	0.7036887	0.2288562	1.0143893	0.0682263	0.0226191	0.0499676	0.4360614	0.1592125	0.0672463	0.0431881	0.3811699	0.9626953	0.0739712	0.3403016	0.9892515	0.0128993	0.0895598	0.4074647	0.0640970	0.5067664
950	0.6638931	0.2096363	1.0786725	0.0360877	0.0203137	0.0639450	0.4341208	0.1751522	0.0749491	0.0240996	0.4153396	0.9959978	0.0998303	0.3810314	1.0042911	0.0046124	0.0990361	0.4021403	0.0762547	0.5291852
1000	0.6899551	0.2481496	1.0487709	0.0443012	0.0355235	0.0778357	0.4770391	0.1853331	0.0642104	0.0346052	0.3498516	0.9915638	0.0636392	0.3963552	0.9677714	0.0102053	0.1008195	0.3875097	0.0862773	0.5088448

