"Time"	relE	relB	hokD	alaS	ilvN

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0314756	0.9780992	0.0865599	1.0392995	0.9963777
100	0.0158005	1.1138495	0.0981442	0.9102669	1.0237601
150	0.0052701	0.9696096	0.1252282	0.9880051	1.0513678
200	0.0064449	0.9145510	0.2172524	0.9591764	1.0205981
250	0.0011963	1.0161993	0.3159475	0.8708577	1.0295319
300	0.0036163	1.0018979	0.3338957	0.9651064	1.0384671
350	0.0032109	0.9481148	0.4628744	0.9696151	0.9596183
400	0.0049242	0.8674468	0.3994482	0.9394188	0.9443847
450	0.0105542	0.9785525	0.4189104	0.9849656	0.9371486
500	0.0019240	1.0992074	0.3968797	1.0185669	1.0240312
550	0.0685946	1.0842962	0.2495080	1.0325270	1.0641765
600	0.1128929	1.0262564	0.1501298	0.9510804	0.9385945
650	0.0934279	0.9538647	0.1376406	0.9663630	0.9856294
700	0.0828433	0.9485097	0.1033465	1.0000011	1.0211635
750	0.0967944	0.9998918	0.1026023	1.0021904	1.0177207
800	0.1159895	1.0297156	0.1041407	1.0962571	0.9534976
850	0.1306257	0.9759652	0.0896441	0.9747133	0.9759020
900	0.0951539	0.9886406	0.0999268	1.0554334	0.9684232
950	0.1004228	1.0066054	0.1196657	1.0255098	1.0758164
1000	0.0794692	0.9728655	0.1267667	1.0735123	1.0697806

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.1050548	1.0336715	0.0874975	0.9723445	0.9779971
100	0.0874048	0.9936042	0.1084624	0.9419312	0.9311761
150	0.0884872	0.9787932	0.1080938	0.9495110	0.9666265
200	0.0741476	0.9840523	0.1226762	1.0422137	0.9403744
250	0.0895825	0.9720027	0.1225641	1.0425855	1.0798931
300	0.0994372	0.9720724	0.0966898	0.9393920	1.0056172
350	0.0757950	1.0268919	0.1045079	1.0498262	0.9579183
400	0.0802437	1.0086789	0.1224885	0.9818429	0.9988719
450	0.0896930	0.9585964	0.1126320	1.0466252	1.0208662
500	0.0898277	0.8941042	0.1124009	0.9707328	0.9611558
550	0.0852554	0.8945462	0.1199559	0.9791723	0.9983875
600	0.0972692	0.9862378	0.1194604	0.9799405	1.0370634
650	0.0763860	0.9681090	0.1387816	0.9816044	0.9592033
700	0.0957752	1.0056536	0.1138417	1.0665102	1.0136398
750	0.0900256	1.0160756	0.0792537	1.0548037	0.9683875
800	0.0770696	0.9467777	0.1097968	1.0430304	1.0140015
850	0.0633511	0.9179154	0.1254057	1.0954859	0.9932210
900	0.0663738	0.9240518	0.1263381	1.0019775	0.9768835
950	0.0807991	0.9268559	0.1086735	0.9085662	1.0143408
1000	0.0992601	0.9709862	0.0995702	1.0548091	0.9203108

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0963678	0.9225813	0.0291907	0.9944988	1.0037316
100	0.1055164	0.9481283	0.0341973	0.8720081	1.0004103
150	0.1013621	0.8772608	0.0294758	0.9586215	0.9602479
200	0.0844290	1.0036031	0.0364437	1.0642871	1.0299727
250	0.0906417	0.9334819	0.0134982	0.9853955	1.0036459
300	0.0711096	0.9849242	0.0158516	1.1150355	1.0713095
350	0.0684885	0.9500142	0.0302579	1.0056111	1.0123386
400	0.0601527	0.9837378	0.0309396	1.0370238	1.0775240
450	0.0878664	0.9605675	0.0400815	0.9636576	1.0949029
500	0.0917043	0.8721623	0.0394730	1.0398956	1.0120075
550	0.0701753	0.8628458	0.1145280	0.8871774	0.9926542
600	0.0978263	0.9193776	0.1163208	0.9988433	1.0107789
650	0.1012180	1.0159969	0.1322540	1.0344093	1.0936936
700	0.1265067	1.0632694	0.0862385	0.9856606	0.9887324
750	0.0987324	0.9976015	0.1036685	0.9957292	1.0310208
800	0.1336743	1.0217384	0.1060386	0.9307225	1.0103060
850	0.0941751	1.0646565	0.0857378	0.9572067	1.0339815
