"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2435266	1.0000000	0.8136832	0.9823003	0.5418861
100	0.2435266	1.0000000	0.8324359	0.9959319	0.5418811
150	0.2435266	1.0000000	0.8376688	0.9988646	0.5418798
200	0.2435266	1.0000000	0.8391290	0.9994956	0.5418795
250	0.2435266	1.0000000	0.8395365	0.9996313	0.5418795
300	0.2435266	1.0000000	0.8396502	0.9996606	0.5418794
350	0.2435266	1.0000000	0.8396819	0.9996668	0.5418794
400	0.2435266	1.0000000	0.8396908	0.9996682	0.5418794
450	0.2435266	1.0000000	0.8396933	0.9996685	0.5418794
500	0.2435266	1.0000000	0.8396939	0.9996685	0.5418794
550	0.2435266	1.0000000	0.7724930	0.9363023	0.5418794
600	0.2435266	1.0000000	0.7537406	0.9226696	0.5418794
650	0.2435266	1.0000000	0.7485077	0.9197366	0.5418794
700	0.2435266	1.0000000	0.7470475	0.9191056	0.5418794
750	0.2435266	1.0000000	0.7466400	0.9189698	0.5418794
800	0.2435266	1.0000000	0.7465263	0.9189406	0.5418794
850	0.2435266	1.0000000	0.7464946	0.9189343	0.5418794
900	0.2435266	1.0000000	0.7464857	0.9189330	0.5418794
950	0.2435266	1.0000000	0.7464833	0.9189327	0.5418794
1000	0.2435266	1.0000000	0.7464826	0.9189326	0.5418794

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2471657	0.9102811	0.7428742	0.9824114	0.5411638
100	0.2545947	0.8950451	0.7341413	0.9960327	0.5397119
150	0.2596446	0.8924578	0.7271031	0.9989405	0.5389633
200	0.2620983	0.8920184	0.7231573	0.9995555	0.5388412
250	0.2631319	0.8919438	0.7212923	0.9996837	0.5389313
300	0.2635389	0.8919311	0.7204892	0.9997097	0.5390293
350	0.2636939	0.8919289	0.7201617	0.9997147	0.5390899
400	0.2637520	0.8919286	0.7200325	0.9997156	0.5391203
450	0.2637737	0.8919285	0.7199827	0.9997157	0.5391340
500	0.2637817	0.8919285	0.7199637	0.9997157	0.5391397
550	0.2596299	0.9816474	0.7241214	0.9370081	0.5401759
600	0.2519168	0.9968834	0.7332983	0.9234556	0.5417555
650	0.2471462	0.9994707	0.7400748	0.9203014	0.5422724
700	0.2449655	0.9999101	0.7436707	0.9194258	0.5422271
750	0.2440774	0.9999847	0.7453196	0.9191273	0.5420827
800	0.2437336	0.9999974	0.7460189	0.9190113	0.5419792
850	0.2436037	0.9999996	0.7463019	0.9189641	0.5419238
900	0.2435552	0.9999999	0.7464132	0.9189450	0.5418980
950	0.2435372	1.0000000	0.7464561	0.9189374	0.5418869
1000	0.2435305	1.0000000	0.7464724	0.9189344	0.5418824

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2435266	1.0000000	0.7464821	0.9189346	0.8974502
100	0.2435266	1.0000000	0.7464823	0.9189331	0.9737633
150	0.2435266	1.0000000	0.7464823	0.9189327	0.9901429
200	0.2435266	1.0000000	0.7464823	0.9189326	0.9936586
250	0.2435266	1.0000000	0.7464823	0.9189326	0.9944132
300	0.2435266	1.0000000	0.7464823	0.9189326	0.9945751
350	0.2435266	1.0000000	0.7464823	0.9189326	0.9946099
400	0.2435266	1.0000000	0.7464823	0.9189326	0.9946174
450	0.2435266	1.0000000	0.7464823	0.9189326	0.9946190
