"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.7863647	0.9502937	0.5419141
100	0.2435277	1.0000000	0.8197228	0.9792783	0.5418887
150	0.2435268	1.0000000	0.8331727	0.9922979	0.5418819
200	0.2435266	1.0000000	0.8376976	0.9971713	0.5418801
250	0.2435266	1.0000000	0.8391041	0.9988529	0.5418796
300	0.2435266	1.0000000	0.8395234	0.9994080	0.5418795
350	0.2435266	1.0000000	0.8396454	0.9995865	0.5418794
400	0.2435266	1.0000000	0.8396804	0.9996430	0.5418794
450	0.2435266	1.0000000	0.8396903	0.9996606	0.5418794
500	0.2435266	1.0000000	0.8396931	0.9996661	0.5418794
550	0.2435266	1.0000000	0.7998076	0.9682657	0.5418794
600	0.2435266	1.0000000	0.7664528	0.9393106	0.5418794
650	0.2435266	1.0000000	0.7530036	0.9262996	0.5418794
700	0.2435266	1.0000000	0.7484788	0.9214287	0.5418794
750	0.2435266	1.0000000	0.7470724	0.9197480	0.5418794
800	0.2435266	1.0000000	0.7466531	0.9191930	0.5418794
850	0.2435266	1.0000000	0.7465311	0.9190146	0.5418794
900	0.2435266	1.0000000	0.7464961	0.9189582	0.5418794
950	0.2435266	1.0000000	0.7464862	0.9189405	0.5418794
1000	0.2435266	1.0000000	0.7464834	0.9189350	0.5418794

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2447671	0.9594983	0.7451703	0.9503520	0.5416549
100	0.2502128	0.9215895	0.7388360	0.9793714	0.5405076
150	0.2561896	0.9036856	0.7311764	0.9923857	0.5394403
200	0.2601437	0.8964083	0.7256545	0.9972436	0.5389725
250	0.2621995	0.8936068	0.7225660	0.9989131	0.5389087
300	0.2631354	0.8925526	0.7210714	0.9994613	0.5389783
350	0.2635293	0.8921598	0.7204100	0.9996363	0.5390520
400	0.2636873	0.8920141	0.7201337	0.9996912	0.5390991
450	0.2637488	0.8919601	0.7200227	0.9997082	0.5391237
500	0.2637723	0.8919402	0.7199792	0.9997134	0.5391351
550	0.2623516	0.9324346	0.7214925	0.9686279	0.5395237
600	0.2564664	0.9703406	0.7283877	0.9399705	0.5409031
650	0.2504826	0.9882435	0.7361097	0.9269628	0.5419031
700	0.2467581	0.9955205	0.7413564	0.9219188	0.5421916
750	0.2449034	0.9983218	0.7441757	0.9200476	0.5421464
800	0.2440830	0.9993760	0.7455059	0.9193546	0.5420398
850	0.2437442	0.9997687	0.7460855	0.9190943	0.5419609
900	0.2436099	0.9999144	0.7463255	0.9189950	0.5419169
950	0.2435581	0.9999684	0.7464215	0.9189568	0.5418956
1000	0.2435384	0.9999883	0.7464591	0.9189419	0.5418861

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.7464784	0.9188919	0.7533748
100	0.2435277	1.0000000	0.7464815	0.9189208	0.9141293
150	0.2435268	1.0000000	0.7464822	0.9189292	0.9716230
200	0.2435266	1.0000000	0.7464823	0.9189316	0.9885438
250	0.2435266	1.0000000	0.7464823	0.9189323	0.9930883
300	0.2435266	1.0000000	0.7464823	0.9189325	0.9942455
350	0.2435266	1.0000000	0.7464823	0.9189326	0.9945301
400	0.2435266	1.0000000	0.7464823	0.9189326	0.9945985
450	0.2435266	1.0000000	0.7464823	0.9189326	0.9946146
500	0.2435266	1.0000000	0.7464823	0.9189326	0.9946183
550	0.2435266	1.0000000	0.7464823	0.9189326	0.7831578
600	0.2435266	1.0000000	0.7464823	0.9189326	0.6223782
650	0.2435266	1.0000000	0.7464823	0.9189326	0.5648780
700	0.2435266	1.0000000	0.7464823	0.9189326	0.5479555
750	0.2435266	1.0000000	0.7464823	0.9189326	0.5434107
800	0.2435266	1.0000000	0.7464823	0.9189326	0.5422533
850	0.2435266	1.0000000	0.7464823	0.9189326	0.5419687
900	0.2435266	1.0000000	0.7464823	0.9189326	0.5419004
950	0.2435266	1.0000000	0.7464823	0.9189326	0.5418843
1000	0.2435266	1.0000000	0.7464823	0.9189326	0.5418805

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.7464784	0.9188919	0.5419141
100	0.2435277	1.0000000	0.7464815	0.9189208	0.5418887
150	0.2435268	1.0000000	0.7464822	0.9189292	0.5418819
200	0.2435266	1.0000000	0.7464823	0.9189316	0.5418801
250	0.2435266	1.0000000	0.7464823	0.9189323	0.5418796
300	0.2435266	1.0000000	0.7464823	0.9189325	0.5418795
350	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
