"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2617668	0.7060965	0.5296145	0.6782636	0.3141453
50	0.1509402	0.6457904	0.6735323	0.6566350	0.3442074
100	0.1746096	0.7731242	0.5202795	0.7366034	0.3851536
150	0.2914442	0.6056167	0.5101052	0.6555582	0.4711995
200	0.1261728	0.7850529	0.6287702	0.5788930	0.3195284
250	0.1381880	0.6795710	0.6429423	0.7374627	0.3622880
300	0.1246408	0.6274191	0.4838562	0.6005550	0.3609447
350	0.1512560	0.6594167	0.6411321	0.5581740	0.3800373
400	0.1753047	0.7396738	0.6729215	0.6247168	0.4083321
450	0.1617981	0.6605575	0.6544032	0.5990278	0.4985327
500	0.1247626	0.8304993	0.5517880	0.6200860	0.3426982
550	0.1567722	0.7305617	0.5324744	0.5367257	0.3616930
600	0.1595633	0.6707710	0.4285820	0.5912969	0.3218857
650	0.1762499	0.6418338	0.5389844	0.7601019	0.3531926
700	0.1616559	0.6750142	0.5194295	0.6945519	0.3584445
750	0.1263288	0.6888245	0.5545930	0.7126921	0.3198304
800	0.1482606	0.6259108	0.5042537	0.6037385	0.3456502
850	0.1318890	0.5819424	0.5871343	0.6610704	0.3402962
900	0.1574255	0.6230363	0.5267518	0.5542237	0.3594138
950	0.2057291	0.5980425	0.5720678	0.5195480	0.3989630
1000	0.1759531	0.7677463	0.5015005	0.4774832	0.4072875

0	0.2088870	0.6046909	0.5480227	0.6626391	0.2950578
50	0.1799220	0.5712980	0.4927795	0.6971805	0.3566573
100	0.2166152	0.5901427	0.3954958	0.6118316	0.4017870
150	0.1327981	0.5916945	0.4306257	0.6669370	0.4073164
200	0.2119685	0.5314767	0.5817770	0.7345282	0.3810791
250	0.1703981	0.6561647	0.5853811	0.6550989	0.4133430
300	0.1992739	0.6685504	0.5677508	0.7254687	0.4954067
350	0.3001189	0.6811916	0.4968916	0.7185557	0.4712163
400	0.2130347	0.4725510	0.3972870	0.7497407	0.3778169
450	0.2100031	0.5204866	0.4091555	0.8152632	0.3304689
500	0.1935160	0.5726966	0.4266796	0.6045882	0.3500250
550	0.1454890	0.5665277	0.4378945	0.5767735	0.3290008
600	0.1415968	0.6661374	0.4623818	0.6033671	0.3276477
650	0.2431320	0.7102415	0.4480424	0.6582251	0.2650391
700	0.1677672	0.6743207	0.5327174	0.7631214	0.2566212
750	0.1561023	0.7631738	0.5518897	0.5008339	0.4347127
800	0.1526993	0.4951157	0.4580605	0.5662873	0.3671056
850	0.1545074	0.6232916	0.4976601	0.5889715	0.2564146
900	0.1638448	0.6946653	0.6348258	0.6685752	0.4306736
950	0.1743881	0.6551344	0.5120891	0.5333420	0.4241266
1000	0.2070477	0.6378959	0.4483728	0.7529949	0.3422182

0	0.1520357	0.6675713	0.6230603	0.6372009	0.3345598
50	0.1253824	0.6022983	0.5025425	0.5755125	0.4568648
100	0.1346376	0.5764708	0.5223586	0.7028914	0.5427068
150	0.1445742	0.6885551	0.5056780	0.6086252	0.7167848
200	0.1938381	0.6907006	0.5450427	0.6568196	0.7271180
250	0.1484267	0.6856628	0.4614058	0.5964244	0.6968767
300	0.1658721	0.6246068	0.5460978	0.6892367	0.6743788
350	0.2190229	0.7658859	0.4352911	0.6009719	0.5511602
400	0.1803061	0.6637835	0.4421808	0.5273226	0.6255990
450	0.1925788	0.6471440	0.4153415	0.4865431	0.6695240
500	0.1875341	0.7846739	0.5397350	0.6149028	0.7494021
550	0.1087601	0.4949255	0.5039451	0.6447083	0.5589296
600	0.1880949	0.5001836	0.5491962	0.6484321	0.4405192
650	0.1823659	0.6569621	0.5395516	0.5664048	0.3594360
700	0.1942160	0.6260438	0.5650850	0.6144658	0.4874107
750	0.1902904	0.6121839	0.5165554	0.6782296	0.2670135
800	0.1393047	0.7251135	0.5335201	0.8039278	0.4081516
850	0.2145225	0.7292219	0.4263893	0.5920825	0.3576111
900	0.1576793	0.5947423	0.5233253	0.5551125	0.3469758
950	0.2088887	0.6299969	0.4283992	0.5867011	0.2686725
1000	0.1244222	0.7045165	0.4425820	0.6430825	0.3637730

