"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.2565388	0.4116183	0.7686143	0.9168331	0.5860802
100	0.3536405	0.3362250	0.6265796	0.9373524	0.5708158
150	0.4582045	0.2668876	0.5333027	0.8797593	0.4351129
200	0.4898211	0.3223547	0.4919714	0.8658106	0.4216089
250	0.3874951	0.3200501	0.4896825	0.8581431	0.3984811
300	0.4989369	0.2817274	0.5272142	0.8735905	0.3714755
350	0.4706676	0.3027944	0.4316320	0.7885380	0.3136654
400	0.4544097	0.2706515	0.4877043	0.8280346	0.3369404
450	0.5061201	0.3058999	0.4783407	0.8607141	0.3370888
500	0.4911847	0.3144181	0.4908770	0.8426145	0.3136954
550	0.4472826	0.8825664	0.5827421	0.9915582	0.4984912
600	0.2625660	0.9924378	0.6501955	0.9648351	0.5335797
650	0.2691986	1.0062669	0.7464217	0.9500289	0.5696077
700	0.2807690	1.0165382	0.7100282	0.9408073	0.5635525
750	0.2858823	1.0395134	0.6379889	0.9361020	0.6203823
800	0.2846435	0.8713579	0.7724919	0.9972022	0.5723618
850	0.2421415	0.9697476	0.7572811	0.8916009	0.5771414
900	0.2746336	0.9556860	0.6847061	0.9701961	0.5160056
950	0.2448186	0.9314343	0.7794130	0.9633781	0.5973531
1000	0.2503528	1.0027073	0.7959242	0.8501105	0.5904124

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.0884156	1.0034848	0.7893661	0.9636480	0.5124295
100	0.0910358	0.9928193	0.8147725	0.9436221	0.5346538
150	0.0899021	1.0166497	0.8279693	0.9132313	0.5893718
200	0.0905074	0.9388161	0.7484806	0.9680130	0.5688496
250	0.1020707	0.9300980	0.7108079	0.9058776	0.5224539
300	0.1128886	0.9790056	0.7195688	0.9565098	0.5372445
350	0.0764153	1.0044162	0.8485029	0.9102268	0.5278057
400	0.0717154	0.9713304	0.7930830	0.8430682	0.5473209
450	0.0871984	0.9749468	0.7905279	0.7869407	0.5777477
500	0.0895790	1.0524685	0.8098343	0.8538740	0.5517540
550	0.1921422	1.0338972	0.7776266	0.8760612	0.4934465
600	0.2288751	1.0120372	0.8015762	0.9044922	0.5662474
650	0.2881289	0.9787491	0.8224065	0.9595322	0.5906331
700	0.2831528	1.0453638	0.7806643	0.9474351	0.5973267
