"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2740548	0.7568380	0.7221997	0.9275429	0.5990596
100	0.3644692	0.4637494	0.7834819	0.9444414	0.5258808
150	0.4227686	0.3809803	0.6412908	0.9268889	0.4499129
200	0.4209588	0.3570178	0.4411905	0.8654033	0.4261290
250	0.4301078	0.3797973	0.5302775	0.8572228	0.4380464
300	0.4360658	0.3048612	0.4920169	0.8538757	0.3750633
350	0.5028243	0.3454705	0.4606239	0.8632540	0.3569390
400	0.4720597	0.3460604	0.4084744	0.7976577	0.3114299
450	0.4764178	0.3108624	0.4256255	0.8213509	0.3314850
500	0.5140641	0.3108484	0.4516367	0.9232857	0.3008590
550	0.4547512	0.6208802	0.4587622	0.9171708	0.3919767
600	0.3628671	0.8190488	0.6700913	0.8393579	0.5543805
650	0.2742898	0.8781509	0.6865997	0.8727716	0.5183330
700	0.2831899	0.8791292	0.6769833	0.9082585	0.5710199
750	0.3089683	0.9659299	0.6373689	0.8891606	0.6615552
800	0.2865019	0.8619546	0.7008678	1.0247929	0.6070984
850	0.2394554	0.9004223	0.8222864	0.9824550	0.6926493
900	0.2603709	0.9859478	0.7278840	0.9648360	0.5931789
950	0.2613487	1.0559351	0.7032312	0.9335367	0.5929041
1000	0.2566445	0.9965508	0.7898792	0.8715293	0.5948471

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.1795648	0.9619790	0.6974914	0.9174471	0.5104440
100	0.0928586	0.9763063	0.8607151	1.0291139	0.4642376
150	0.1078472	0.9350894	0.7680540	0.9903242	0.5158097
200	0.0913526	0.9585836	0.7846040	0.9612635	0.5696765
250	0.1041191	0.8486283	0.7440522	0.9749676	0.4783880
300	0.1458233	1.0198808	0.7678183	0.8878536	0.5473225
350	0.1149387	1.0016135	0.8357751	0.9077778	0.5108458
400	0.0983263	1.0140099	0.8795482	0.7662818	0.5881260
450	0.0824189	0.9765866	0.8387486	0.7311393	0.6144771
500	0.0675849	0.9684313	0.8589897	0.8724913	0.6256233
550	0.1346288	1.0268864	0.7839588	0.8704576	0.5633990
600	0.2645590	1.0002872	0.8466400	0.9223118	0.5222780
650	0.2820519	0.9442304	0.8830390	0.9410582	0.5638797
700	0.3209033	1.0114251	0.8191209	0.9250321	0.5956485
750	0.2673221	0.9826841	0.7316464	0.9116688	0.5901631
800	0.2485140	0.9681935	0.7426816	0.9051176	0.5933581
850	0.2268390	1.0372398	0.7794838	0.8573603	0.6142108
900	0.2711246	0.9878795	0.8493778	0.9050836	0.6669145
950	0.2977907	1.0639618	0.8003590	0.8823328	0.5774025
1000	0.3152598	0.9848491	0.7736939	0.9166986	0.5616332

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2710459	0.9658515	0.6577749	1.0864985	0.5185666
100	0.2527931	1.0201254	0.6483437	1.1424320	0.5250851
150	0.1901369	1.0446288	0.5921139	1.0606165	0.5280197
200	0.2619320	0.9950711	0.6393356	1.0249759	0.5300460
250	0.2653841	0.9364579	0.7016498	0.9426437	0.5222359
300	0.2583969	0.9063516	0.7275610	1.0357976	0.5170982
