kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.5939603	0.0005549	0.9560617	0.0556597	0.2460793	0.2429172	0.2086650	1.0478802	0.5362269	0.1197699
1.0931734	0.0034144	0.9657681	0.0649284	0.2206930	0.1740847	0.2189584	0.9705580	0.5025277	0.1276794
1.0350501	0.0065928	0.5293655	0.2137275	0.4256356	0.6438881	0.3745815	0.9876212	0.4317299	0.3331285
1.0015743	0.0007813	1.0939631	0.0322667	0.2097408	0.1946441	0.1883080	1.0714746	0.5043557	0.0805495
1.0156218	0.0024120	0.9902317	0.0686589	0.1124600	0.2117532	0.2280316	1.0419026	0.4584946	0.1240212
0.9109246	0.0059891	1.0815660	0.0737232	0.2180697	0.0908174	0.1902251	1.0679190	0.4732359	0.1261463
0.9867129	0.0070909	0.9383630	0.0598898	0.2126512	0.2667857	0.1101931	0.9999020	0.4427635	0.0865263
1.0039821	0.0071583	1.0134535	0.0811965	0.2322255	0.1927507	0.2181875	0.4257582	0.5203927	0.1148499
1.0628897	0.0054848	0.9660901	0.0771033	0.1773155	0.1909239	0.2047516	1.1065070	0.2359708	0.1791928
1.0014790	0.0049931	0.9934986	0.0658861	0.2481982	0.2046593	0.1986997	1.0009553	0.4961245	0.0794142
