kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.0000000	1.0468998	1.0439071	0.0569325	0.2343360	0.2099785	0.2220583	0.9984803	0.4952515	0.1225351
0.9466941	0.0000000	1.0225721	0.0691257	0.2239575	0.2442218	0.2414497	1.0189308	0.4705132	0.1378039
0.9989779	0.9979681	0.0000000	1.0534352	1.0515191	1.0405588	0.8833170	1.0203160	0.6394854	0.7208028
1.0481352	0.0027501	1.0754128	0.0000000	0.2467044	0.1599688	0.2149173	1.0029228	0.5133315	0.0265371
0.9849386	0.0025579	1.0544173	0.0987216	0.0023334	0.1785721	0.1968501	0.9628788	0.4927151	0.1318035
1.0051347	0.0032718	1.0002711	0.0715249	0.2691764	0.0000000	0.1981663	1.0302051	0.4545687	0.1120104
1.0595977	0.0018716	1.1135702	0.0723700	0.2556762	0.2235427	0.0000000	1.0822823	0.4427664	0.1380541
1.0219827	0.0049880	1.1109432	0.0663140	0.2146085	0.2104734	0.2157649	0.0000000	0.4886227	0.1345944
1.0092231	0.0055152	1.0914786	0.0523715	0.2396061	0.1748226	0.2009908	1.0875824	0.0000000	0.0989368
0.9720792	0.0026408	0.9603548	0.0512039	0.2138640	0.2088865	0.1970498	0.9945145	0.4745789	0.0000000
