kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
1.0521638	0.0034279	0.4285723	0.2273538	0.5287973	0.7976852	0.1238731	0.8737846	0.4842160	0.3261161
1.0129661	0.0008513	1.0803658	0.0346287	0.1223216	0.2178160	0.5815936	0.9337998	0.0609875	0.2047921
1.0495157	0.0005145	0.9851750	0.0045039	0.1316795	0.1460462	0.1533377	1.0563661	0.2919830	0.0185940
0.9149735	0.0043389	0.5767978	0.1273775	0.2495638	0.6115557	0.5441856	1.0013099	0.0082094	0.1840765
1.0487984	0.0000281	1.0293282	0.0560762	0.4276471	0.1539701	0.1550235	0.8270315	0.4633779	0.3104399
0.6938098	0.0080280	0.8693624	0.0144009	0.1774891	0.2653551	0.1614604	0.8859404	0.4154061	0.0161979
0.8749701	0.0003227	1.0379037	0.0556224	0.3087267	0.1428637	0.0921505	1.0005993	0.4835697	0.1345696
0.7101613	0.0056572	0.9980009	0.0036677	0.0864813	0.1024800	0.0826507	0.9558369	0.5025967	0.0187556
0.9082244	0.0004275	0.5240662	0.1007457	0.7372868	0.6156062	0.3818877	0.8707472	0.3687397	0.5035930
1.1203516	0.0003829	1.0405670	0.0893333	0.4298351	0.2650038	0.1885612	0.9994330	0.1574210	0.2114730
