"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9907292	0.0058389	0.8990591	0.0652269	0.2103371	0.2412053	0.1686989	0.9499268	0.4985210	0.1739023
100	0.9332823	0.0019424	0.9418616	0.0715165	0.1718826	0.2591465	0.1806970	0.9853920	0.5292955	0.2181728
150	1.0075178	0.0063222	0.8376536	0.0675927	0.1949754	0.2336599	0.2215388	0.8086623	0.4424074	0.3049108
200	1.0283436	0.0029934	0.9173697	0.0893888	0.2213296	0.1987396	0.2059217	0.9512603	0.4716231	0.3441344
250	0.9611512	0.0098300	0.9495238	0.0765686	0.1804556	0.2140370	0.2409252	1.0341009	0.4879946	0.3109205
300	1.0189565	0.0104649	1.1117071	0.0746644	0.2293280	0.2293943	0.2167738	1.0385301	0.4578290	0.3323689
350	1.0869432	0.0113115	0.9062153	0.0683335	0.2682889	0.2144537	0.1642828	1.0708011	0.4202027	0.3595555
400	1.0235033	0.0042555	0.8953402	0.0796237	0.2514199	0.2521289	0.1958920	1.0046312	0.3703586	0.3353730
450	1.1193208	0.0038155	0.8524828	0.0903396	0.2773241	0.2395250	0.2000817	0.9111087	0.4089844	0.3018642
500	1.0934084	0.0007454	0.8821156	0.0936883	0.2537957	0.2406505	0.2224458	0.9020770	0.4901448	0.3538234
550	1.0590989	0.0018824	1.0843456	0.0907151	0.2086309	0.2128268	0.2320494	1.0631951	0.5382358	0.3054829
600	1.0374238	0.0054553	0.9859544	0.0533835	0.2183908	0.2337938	0.2259009	1.0395208	0.4528036	0.2245618
650	0.9699385	0.0026404	1.0167565	0.0806355	0.2057043	0.2171830	0.2241014	1.0220596	0.5017496	0.1609413
700	0.9616688	0.0044053	1.1310285	0.0540844	0.1973678	0.2827660	0.2125536	1.0190253	0.4266000	0.1432869
750	1.0874137	0.0046304	1.0602144	0.0492679	0.1879939	0.1598277	0.2278866	0.9673655	0.4584204	0.1280196
800	0.9965536	0.0048898	1.0726591	0.0784041	0.2143531	0.1447679	0.2138921	0.9589370	0.5035978	0.1210583
850	1.0905150	0.0085781	0.9828906	0.0727183	0.2075864	0.1684853	0.1937003	1.0107689	0.4757843	0.1538776
900	0.9597516	0.0065077	1.1187400	0.0578837	0.2009498	0.2092026	0.1683773	1.0288393	0.4771500	0.1093521
950	0.8629114	0.0122822	0.9452420	0.0573962	0.2394525	0.2315992	0.1893446	1.1548823	0.4387041	0.1450343
1000	0.9747162	0.0060178	0.9699389	0.0603315	0.2470796	0.2187254	0.1886125	1.0205411	0.5033415	0.1015839

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9632560	0.0086725	0.3373441	0.0630992	0.2492842	0.2446307	0.3673908	0.9475331	0.5403754	0.1053799
100	0.9324687	0.0159234	0.0997321	0.1200671	0.3014997	0.4520201	0.4992942	0.9418212	0.6099555	0.1464946
150	1.0487014	0.1485739	0.0287469	0.2050442	0.4167490	0.6669056	0.7054431	1.0001642	0.6732266	0.2447322
200	1.0038902	0.2884404	0.0339391	0.3471060	0.5905762	0.6588511	0.8128461	0.9900514	0.7865140	0.3050176
250	0.9390101	0.3432870	0.0631161	0.3539777	0.6147395	0.7648910	0.8285506	1.0157873	0.7856684	0.3649775
300	1.0809453	0.3852941	0.0569550	0.3540256	0.6257635	0.7641064	0.8084391	1.0454436	0.7879477	0.4065789
350	1.0085439	0.3922346	0.0432399	0.3744913	0.7172069	0.7351491	0.8673017	1.0808679	0.7965913	0.4725480
400	1.1211888	0.3532904	0.0322686	0.3354539	0.7062825	0.8182411	0.7965270	1.0186826	0.8341342	0.4931556
450	1.1330744	0.4583780	0.0267640	0.3494679	0.7077897	0.8108382	0.8246148	1.1032610	0.9022600	0.4460792
500	1.0188627	0.4324063	0.0282749	0.3485910	0.7896789	0.7635418	0.8660983	0.9125228	0.8299753	0.5021273
550	1.1414912	0.3536418	0.8199194	0.4024580	0.8739039	0.7776642	0.7980958	0.9573620	0.7251382	0.5189816
600	0.9673417	0.1300822	1.0001039	0.2617200	0.6996620	0.6329757	0.5826313	0.9705291	0.4917430	0.4453894
650	1.0229280	0.0448898	1.0067898	0.1504626	0.5089925	0.4632760	0.3882263	0.8974573	0.3902670	0.3241770
700	1.0498968	0.0232426	1.0480380	0.1121466	0.3985423	0.3782986	0.3374383	0.9563423	0.3944382	0.2716679
750	1.1627541	0.0067630	0.9527514	0.0670279	0.3996293	0.2427769	0.2653671	0.9790274	0.4554889	0.2172735
800	1.0321851	0.0083614	0.9620838	0.0845970	0.3059662	0.2067930	0.2824116	1.0672839	0.5226416	0.1426274
850	1.0418735	0.0065069	0.9553046	0.0899645	0.2894902	0.2085024	0.2846976	0.9836270	0.5012081	0.1778689
900	1.0294470	0.0135806	1.0184481	0.0644923	0.2602110	0.2600414	0.2391561	0.9399877	0.4347918	0.1357794
950	1.0371055	0.0167340	1.0073647	0.0422438	0.2366028	0.2079976	0.2072725	0.9319616	0.4471348	0.1383814
1000	1.0154721	0.0080012	1.0312451	0.0651939	0.1908562	0.2077331	0.2129617	0.9711539	0.4876121	0.1275851

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9925594	0.0034120	0.4789158	0.0807002	0.3805976	0.2435844	0.1865307	1.0057210	0.4743445	0.1464257
100	0.9709226	0.0019651	0.3636111	0.1513064	0.5553132	0.4817299	0.2044357	1.0107793	0.4893868	0.1312799
150	1.0670058	0.0018003	0.2802398	0.3484676	0.6413315	0.6363015	0.2629139	0.9823306	0.4700509	0.2715907
200	1.0156605	0.0103331	0.2561655	0.5262084	0.7942772	0.8500263	0.3597932	1.0905840	0.4041782	0.4016354
250	1.0052028	0.0090027	0.3067945	0.5674238	0.9468265	0.9341473	0.3717214	1.0388911	0.3603341	0.4701736
300	1.0764886	0.0091482	0.1802739	0.6209457	0.8625015	0.9041475	0.4231684	1.0043677	0.4083330	0.5089009
350	1.0181487	0.0082634	0.2160991	0.6843332	0.9670690	0.8959079	0.4660495	1.0146149	0.3397868	0.6602680
400	1.0489757	0.0091550	0.2950932	0.7236237	0.9004594	0.8902283	0.4655999	0.9643290	0.3229536	0.6176619
450	1.0927500	0.0106496	0.2608274	0.6815070	0.9730778	0.9696525	0.4371004	0.9126271	0.3151470	0.5955930
500	1.0478376	0.0177972	0.3249852	0.7551498	0.9503441	0.9486094	0.4647993	0.9535838	0.3127785	0.5440095
550	0.9519579	0.0082923	0.9746485	0.5998721	0.9832858	0.8060041	0.4296888	1.0437123	0.2808144	0.5606701
600	0.9941233	0.0053402	0.9723580	0.3615471	0.8645328	0.6154436	0.3781783	0.9246456	0.3065228	0.5087111
650	1.0955962	0.0032578	0.9779191	0.1803550	0.6596953	0.4984714	0.3517953	0.8715453	0.3538364	0.4096621
700	0.9890374	0.0022383	0.9497297	0.0719329	0.4173696	0.3250922	0.2310056	0.8495487	0.4226901	0.2476787
750	1.0505571	0.0003292	0.9311457	0.1012454	0.3577792	0.3224303	0.2140990	0.9821737	0.4517078	0.1784489
800	1.0317113	0.0046246	1.0447407	0.1060619	0.2902636	0.2295963	0.1788537	0.9889297	0.4461266	0.1807441
850	1.0780457	0.0102851	1.1075678	0.0720863	0.2760866	0.2056593	0.1835058	0.9273456	0.4086124	0.1434702
900	1.1514271	0.0002926	0.9953960	0.0527340	0.1911886	0.2118901	0.1891571	1.0119728	0.4092986	0.1447870
950	1.0388956	0.0059559	0.9836086	0.0668972	0.1740311	0.1640660	0.1814603	1.0189120	0.4302158	0.1577951
1000	1.0055268	0.0069714	0.9267327	0.0917369	0.1823791	0.2090029	0.1784902	0.9827418	0.4464275	0.1168358

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9394108	0.0057777	0.9676855	0.0445784	0.1851728	0.2837717	0.1636262	0.8635577	0.3392501	0.1997411
100	0.8593448	0.0085000	0.9807718	0.0362459	0.1305307	0.2551425	0.1937123	0.7819536	0.1413891	0.2642177
150	0.8603617	0.0086227	1.0299061	0.0075519	0.0910178	0.2519392	0.1986263	0.7871554	0.0822335	0.2252361
200	0.7906363	0.0013856	0.9340956	0.0042798	0.0577886	0.1976665	0.2481284	0.6698510	0.0373592	0.2349069
250	0.8182037	0.0050093	1.1559615	0.0096465	0.0346614	0.1615060	0.1761924	0.7479463	0.0177942	0.2366038
300	0.7512398	0.0012163	1.0076314	0.0002181	0.0320247	0.2097479	0.2179861	0.7424003	0.0040699	0.2170877
350	0.8179147	0.0043978	1.0481081	0.0057940	0.0389084	0.1918424	0.1619828	0.7263430	0.0021221	0.2527197
400	0.8137638	0.0004508	0.9747536	0.0105618	0.0384440	0.1867552	0.1554646	0.7397013	0.0044591	0.2388724
450	0.8431439	0.0025625	0.9524890	0.0229382	0.0318815	0.2052949	0.1815898	0.7142701	0.0126876	0.2773216
500	0.8661262	0.0012903	1.0513479	0.0076269	0.0299359	0.2048197	0.1983643	0.6990499	0.0062430	0.2567930
