"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	1.0000000	0.0035645	1.0000000	0.0676482	0.2240775	0.2082775	0.2015281	0.9990704	0.4772918	0.2747919
100	1.0000000	0.0035645	1.0000000	0.0676475	0.2240742	0.2082762	0.2015278	0.9990707	0.4772927	0.3073295
150	1.0000000	0.0035645	1.0000000	0.0676472	0.2240727	0.2082756	0.2015277	0.9990709	0.4772930	0.3145384
200	1.0000000	0.0035645	1.0000000	0.0676471	0.2240721	0.2082753	0.2015276	0.9990709	0.4772932	0.3161354
250	1.0000000	0.0035645	1.0000000	0.0676471	0.2240719	0.2082752	0.2015276	0.9990709	0.4772933	0.3164891
300	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990709	0.4772933	0.3165675
350	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.3165848
400	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.3165887
450	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.3165895
500	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.3165897
550	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1697263
600	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1371852
650	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1299749
700	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1283773
750	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1280233
800	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279448
850	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279274
900	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279236
950	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279227
1000	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279226

