kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.5000284	0.0038724	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0017831	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0040216	0.5000000	0.1891717	0.4314432	0.6857016	0.3405880	0.9948579	0.4312992	0.3026167
1.0000000	0.0035645	1.0000000	0.0338265	0.2221807	0.1979991	0.2002049	0.9998625	0.4880319	0.0793385
1.0000000	0.0035645	1.0000000	0.0676470	0.1120525	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.1041387	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.1007663	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.4995763	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.2386467	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.0639616
