kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.0000004	0.9999190	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0000006	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.9999859	0.0000000	0.9999192	0.9869009	0.9999996	0.8350321	1.0000000	0.6012695	0.7487617
1.0000000	0.0035645	1.0000000	0.0000011	0.2219874	0.1920006	0.1998566	1.0000000	0.4942628	0.0243239
1.0000000	0.0035645	1.0000000	0.0676470	0.0000010	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.0000000	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.0000001	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.0000012	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.0000000	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.0000000
