kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.0000022	0.9997439	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0000018	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772932	0.1279226
1.0000000	0.9999551	0.0000000	0.9998423	0.9866007	0.9999769	0.8347183	0.9999999	0.6017443	0.7485867
1.0000000	0.0035645	1.0000000	0.0000021	0.2219875	0.1920015	0.1998566	1.0000000	0.4942593	0.0243346
1.0000000	0.0035645	1.0000000	0.0676470	0.0000035	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.0000029	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.0000024	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.0000045	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.0000038	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.0000032
