kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
1.0000000	0.0015538	0.4374769	0.1993402	0.4433029	0.7696423	0.1259519	0.7613286	0.4307426	0.2949585
0.9826133	0.0000123	0.9938999	0.0359524	0.1237529	0.2010402	0.5399620	0.9785538	0.0487010	0.2018402
1.0000000	0.0000212	0.9162348	0.0109760	0.0921310	0.1403325	0.1403201	0.9999945	0.3029862	0.0217717
1.0000000	0.0037404	0.6091668	0.1218557	0.2610834	0.5017024	0.4803568	0.9977458	0.0028227	0.1917956
1.0000000	0.0000219	1.0000000	0.0676470	0.4214508	0.1573432	0.1521768	0.8476991	0.4772933	0.3052270
0.6883030	0.0037413	0.8462289	0.0151445	0.1768974	0.2406226	0.1693263	0.9211581	0.4928057	0.0245155
0.9447298	0.0000178	0.9944201	0.0587741	0.3096743	0.1475745	0.1248817	0.9993716	0.4803637	0.1713765
0.6676644	0.0036488	1.0000000	0.0071262	0.0866605	0.1091168	0.0852848	0.9999981	0.4918684	0.0107811
1.0000000	0.0003378	0.5194412	0.1011939	0.7104069	0.6417420	0.3980613	0.8509765	0.4260598	0.4520822
1.0000000	0.0000137	1.0000000	0.0676470	0.3866945	0.2082752	0.1784489	0.9990710	0.1478913	0.1856398
