"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD

0	0.7582876	0.0023534	0.6259807	0.0946839	0.1471520	0.1247435	0.1169413	0.7010313	0.3398420	0.0846612
50	0.6421418	0.0034053	0.6104746	0.0730752	0.1309355	0.1773241	0.1066729	0.6283253	0.4473392	0.1094679
100	0.6508669	0.0013295	0.6001839	0.0338867	0.1103331	0.1576536	0.0867896	0.6807864	0.3039583	0.1818993
150	0.6768452	0.0092740	0.5299868	0.0711982	0.0934280	0.2113869	0.1322400	0.5731409	0.2191232	0.1585440
200	0.6961338	0.0031995	0.6610122	0.0575100	0.1448457	0.1434260	0.1345019	0.6380054	0.4107030	0.2816612
250	0.5898699	0.0039694	0.7020658	0.0768404	0.1082170	0.1508994	0.1719982	0.7178572	0.3223738	0.1832182
300	0.6316173	0.0096951	0.7693569	0.0731815	0.1627642	0.1403380	0.2018082	0.7314686	0.2675136	0.2149495
350	0.7006454	0.0076327	0.5511464	0.0413707	0.1956339	0.1874959	0.1099740	0.7941063	0.3373214	0.2556452
400	0.6459588	0.0131733	0.5469888	0.0384891	0.1587572	0.0945236	0.1347039	0.7033273	0.2483352	0.2559240
450	0.7113608	0.0018980	0.5947909	0.0599614	0.2018719	0.1958761	0.1401009	0.6872635	0.3252481	0.1865822
500	0.7521747	0.0008335	0.5849528	0.0722856	0.1434948	0.1922832	0.1355803	0.7565623	0.3245274	0.2588829
550	0.6796101	0.0003885	0.6998748	0.0709978	0.1449450	0.1410979	0.1862762	0.7750157	0.4489247	0.1846363
600	0.7201269	0.0037370	0.6557568	0.0363987	0.1434343	0.1376148	0.1993537	0.7063021	0.3396536	0.2216423
650	0.6087704	0.0015063	0.6121392	0.0370338	0.1268219	0.1606333	0.1813772	0.6537858	0.2706496	0.1212143
700	0.5993250	0.0009672	0.7918203	0.0392488	0.1757420	0.2146952	0.1680677	0.6325818	0.2636822	0.1118010
750	0.7978858	0.0039182	0.7285321	0.0287076	0.1315808	0.0807273	0.1488324	0.7708990	0.3440693	0.1208098
800	0.7021256	0.0049286	0.6698795	0.0554991	0.1803442	0.0725925	0.1824590	0.5854332	0.3624765	0.0770201
850	0.7044813	0.0027257	0.6639320	0.0429610	0.1507707	0.1275697	0.1097103	0.6091766	0.3259712	0.1011422
900	0.8094948	0.0048905	0.8520064	0.0404054	0.1351787	0.1704041	0.0947201	0.7587868	0.3110721	0.0631932
950	0.7046645	0.0166577	0.6697009	0.0344222	0.1341617	0.1206661	0.2059878	0.7404233	0.3019460	0.0614859
1000	0.6391034	0.0030797	0.7044441	0.0323245	0.1761845	0.1176074	0.1244349	0.7255191	0.4059284	0.0448528

0	0.6165594	0.0089752	0.5879989	0.0636929	0.1707471	0.1450608	0.1016246	0.7067901	0.3868306	0.0545976
