kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.6982271	0.0002032	0.2885887	0.1554434	0.3545458	0.5563724	0.1031724	0.4999394	0.2864366	0.2040887
0.7355381	0.0007750	0.7409017	0.0197316	0.0716868	0.1740716	0.4636202	0.7671639	0.0520671	0.1616400
0.8619036	0.0011958	0.5857396	0.0115800	0.0716168	0.1684992	0.1273571	0.8164033	0.1818750	0.0236873
0.6991633	0.0032389	0.4583445	0.0673595	0.1612111	0.3153251	0.3856558	0.7162737	0.0049680	0.1346464
0.7703316	0.0005851	0.7327146	0.0998791	0.2860227	0.1209332	0.1103383	0.5959601	0.3203527	0.2170705
0.4338675	0.0030197	0.5287974	0.0148864	0.1556893	0.1318255	0.1208033	0.7272898	0.3972283	0.0045317
0.6618027	0.0004830	0.6109480	0.0152068	0.3014849	0.0826108	0.0887384	0.6929911	0.2947129	0.0818171
0.4877851	0.0021671	0.6538497	0.0101319	0.0685186	0.0575673	0.0431111	0.7960548	0.4854708	0.0135906
0.6589632	0.0009085	0.3894543	0.0658781	0.4510017	0.5742626	0.2385080	0.5738965	0.2400404	0.3222514
0.5734330	0.0021465	0.6776175	0.0913034	0.2491966	0.1930506	0.1580985	0.7339919	0.0644977	0.1148427
