"Time"	relE	relB	hokD	alaS	ilvN

0	0.0521738	0.7630397	0.0711658	0.6001789	0.6555499
50	0.0302366	0.7526582	0.0425436	0.6850544	0.6951052
100	0.0082108	0.8817484	0.0981497	0.5901049	0.7508969
150	0.0017777	0.6396719	0.0676112	0.7606117	0.7261153
200	0.0035645	0.5613726	0.1155841	0.8385893	0.7601972
250	0.0023731	0.7281991	0.2568749	0.5962148	0.8277182
300	0.0007448	0.7817568	0.2112268	0.7424330	0.7588120
350	0.0046113	0.6268344	0.2682119	0.6071399	0.8119863
400	0.0059438	0.6555403	0.2227664	0.7043936	0.6986453
450	0.0098232	0.6571451	0.2539388	0.6893183	0.6757854
500	0.0012319	0.7047583	0.2446535	0.7358620	0.8202427
550	0.0644162	0.7504724	0.1591728	0.7196803	0.6702082
600	0.0573980	0.6904967	0.0762275	0.6944951	0.6847430
650	0.0461237	0.6477838	0.0865271	0.6996088	0.6621652
700	0.0730524	0.6483322	0.0761174	0.6545653	0.8470509
750	0.0845459	0.7025407	0.0915744	0.6360775	0.7122516
800	0.1026279	0.6616823	0.0437590	0.8463774	0.6289573
850	0.0839081	0.6426127	0.0482447	0.5879081	0.6561238
900	0.0509341	0.8113217	0.0703008	0.6914926	0.7913692
950	0.0582007	0.7134198	0.0657020	0.7185677	0.7522981
1000	0.0795504	0.7093408	0.1153842	0.8656879	0.6036040

0	0.0734003	0.7822565	0.0653978	0.8184286	0.5709203
50	0.0765271	0.6533886	0.0540467	0.7097004	0.6993012
100	0.0448571	0.7783553	0.1020635	0.7366522	0.6191135
150	0.0663350	0.6564587	0.0608375	0.6409596	0.8269543
200	0.0471132	0.6090670	0.0871675	0.7946559	0.6636108
250	0.0576501	0.6834414	0.0744636	0.6447938	0.7192030
300	0.0644414	0.7000938	0.0841421	0.6209036	0.6408781
350	0.0552947	0.7494755	0.0708389	0.8100058	0.7274773
400	0.0660329	0.7789434	0.0909351	0.7984726	0.6216959
450	0.0792691	0.6418126	0.1075146	0.7576323	0.6966937
500	0.0460871	0.6385573	0.1377184	0.6402825	0.7044258
550	0.0414300	0.7423993	0.0674620	0.8026951	0.6455707
600	0.1083407	0.6347345	0.0847005	0.6553335	0.7950112
650	0.0559600	0.6510456	0.0687328	0.6203093	0.6525430
700	0.0544590	0.6989183	0.0930683	0.7538006	0.7416130
750	0.0790202	0.8227725	0.0406394	0.8314261	0.7684323
800	0.0443173	0.6982999	0.0639715	0.7659530	0.6612313
850	0.0247416	0.6786145	0.0723485	0.8147239	0.7907135
900	0.0386308	0.5675046	0.0795854	0.7129067	0.6951745
950	0.0460316	0.6402348	0.0820873	0.6989968	0.6924799
1000	0.0718737	0.6874732	0.1124962	0.6820754	0.7016062

0	0.0839776	0.6608803	0.1087035	0.7600866	0.6581969
50	0.0651590	0.6046372	0.0315800	0.7605871	0.7987022
100	0.0698177	0.7333877	0.0184587	0.5271501	0.7032661
150	0.0734115	0.5752065	0.0229526	0.5997894	0.5634472
200	0.0396049	0.6408201	0.0252677	0.6901983	0.7299188
250	0.0604204	0.5911582	0.0021804	0.7655974	0.7276348
300	0.0610372	0.7629446	0.0084459	0.7773969	0.7550849
350	0.0271356	0.7422531	0.0230299	0.6693082	0.8508101
400	0.0306132	0.6981275	0.0193025	0.6655088	0.7878400
450	0.0503119	0.6809276	0.0282938	0.6532338	0.6793292
500	0.0325856	0.6264795	0.0260088	0.6731149	0.7674498
550	0.0662961	0.5563698	0.0865735	0.5778503	0.6783311
600	0.0831237	0.6538653	0.1027663	0.7584832	0.6356780
650	0.0715088	0.6876879	0.1055697	0.7403476	0.6952350
700	0.0762844	0.8680725	0.0556427	0.5961222	0.7452152
750	0.0783243	0.7014946	0.0589045	0.7585610	0.6634082
800	0.0831189	0.7021711	0.0737366	0.7239970	0.6809081
850	0.0388790	0.7370682	0.0735967	0.7083303	0.8826693
900	0.1016402	0.6477665	0.0830926	0.7496312	0.9377967
950	0.0598975	0.6429538	0.0693457	0.6698419	0.7753178
1000	0.0634554	0.6614068	0.0737043	0.7545110	0.7624349

0	0.1265030	0.7306465	0.0770941	0.7463350	0.5946179
50	0.0504817	0.6574821	0.0943473	0.7720989	0.3207434
100	0.0585967	0.5979035	0.0947708	0.7467515	0.0950722
150	0.0866296	0.5549782	0.0937469	0.8490127	0.0308646
200	0.0770563	0.7912252	0.0679988	0.7691260	0.0630437
250	0.0948317	0.5677275	0.0505335	0.7244317	0.0308746
300	0.0945864	0.6109810	0.0977901	0.6406737	0.0331499
350	0.0758491	0.6837164	0.0745639	0.6419503	0.0185382
400	0.0995957	0.5516807	0.1041103	0.8547328	0.0522341
450	0.0666797	0.5045285	0.0549857	0.6290896	0.0323561
500	0.0292112	0.6186959	0.1116442	0.5902069	0.0280178
550	0.0634803	0.6475484	0.1376001	0.6937879	0.5316963
600	0.0608457	0.6722516	0.0737524	0.8441807	0.6533494
650	0.0804285	0.6341750	0.0608038	0.7375860	0.7002831
700	0.0446628	0.8520156	0.0592189	0.6690187	0.6879551
750	0.0650801	0.6760731	0.0622665	0.6988221	0.6926197
