relE	relB	hokD	alaS	ilvN
-0.4287796055432409	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	-0.05370865436270833	-0.16029840428382158	0.0	0.0
0.0	-0.07470107800327241	0.0	0.0	-0.9618852185085416
0.0	-0.6059173471294343	0.0	-0.5962072527036071	-0.5561529796104878
-0.8511728316079825	-0.6397441832814366	0.0	-0.4425076844636351	0.0
-0.8683649937156588	0.0	0.0	0.0	-0.12638546735979617
0.0	-0.18510232819244266	0.0	0.0	0.0
0.0	-0.7993599884212017	0.0	-0.7350237735081464	-0.8065749821253121
-0.6658003269694746	-0.49883289239369333	0.0	0.0	0.0
0.0	-0.7942907698452473	0.0	0.0	0.0
-0.04739602981135249	0.0	-0.671546297846362	-0.13197182235307992	-0.8857016609981656
-0.3338673759717494	0.0	0.0	-0.9238232122734189	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.7288408356253058
0.0	0.0	-0.9354766679462045	-0.4142133202403784	0.0
0.0	0.0	0.0	-0.7765799220651388	0.0
0.0	0.0	0.0	0.0	-0.5930775192100555
0.0	0.0	-0.45778580312617123	-0.28742946800775826	0.0
-0.3121648614760488	-0.04827636294066906	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.8106845808215439
-0.8483295198529959	0.0	0.0	0.0	-0.18145859078504145
0.0	0.0	0.0	-0.6483834895770997	0.0
0.0	0.0	0.0	-0.22301659197546542	0.0
-0.7447969887871295	-0.011489886324852705	0.0	0.0	0.0
