"Time"	relE	relB	hokD	alaS	ilvN

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0281047	0.9999296	0.1100737	1.0000000	1.0000000
100	0.0090427	0.9999798	0.1366097	1.0000000	1.0000000
150	0.0035307	0.9999953	0.2039180	1.0000000	1.0000000
200	0.0019368	0.9999989	0.3333140	1.0000000	1.0000000
250	0.0014759	0.9999998	0.5080945	1.0000000	1.0000000
300	0.0013426	0.9999999	0.6660034	1.0000000	1.0000000
350	0.0013041	1.0000000	0.7683542	1.0000000	1.0000000
400	0.0012929	1.0000000	0.8218188	1.0000000	1.0000000
450	0.0012897	1.0000000	0.8464576	1.0000000	1.0000000
500	0.0012888	1.0000000	0.8570258	1.0000000	1.0000000
550	0.0672097	0.9999999	0.4650370	1.0000000	1.0000000
600	0.0862714	0.9999938	0.2130034	1.0000000	1.0000000
650	0.0917833	0.9999694	0.1373238	1.0000000	1.0000000
700	0.0933771	0.9999375	0.1151477	1.0000000	1.0000000
750	0.0938381	0.9999131	0.1083440	1.0000000	1.0000000
800	0.0939715	0.9998990	0.1061175	1.0000000	1.0000000
850	0.0940101	0.9998921	0.1053430	1.0000000	1.0000000
900	0.0940213	0.9998890	0.1050609	1.0000000	1.0000000
950	0.0940245	0.9998877	0.1049552	1.0000000	1.0000000
1000	0.0940255	0.9998872	0.1049148	1.0000000	1.0000000

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0940261	0.9998866	0.1048755	1.0000000	1.0000000
100	0.0940260	0.9998867	0.1048841	1.0000000	1.0000000
150	0.0940259	0.9998868	0.1048875	1.0000000	1.0000000
200	0.0940259	0.9998868	0.1048888	1.0000000	1.0000000
250	0.0940259	0.9998868	0.1048894	1.0000000	1.0000000
300	0.0940259	0.9998868	0.1048896	1.0000000	1.0000000
350	0.0940259	0.9998868	0.1048896	1.0000000	1.0000000
400	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
450	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
500	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
550	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
600	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
650	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
700	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
750	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
800	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
850	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
900	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
950	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
1000	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000

0	0.0940266	0.9998861	0.1048542	1.0000000	1.0000000
50	0.0940627	0.9581100	0.0447720	1.0000000	1.0000000
100	0.0941510	0.9488290	0.0328758	1.0000000	1.0000000
