"Time"	relE	relB	hokD	alaS	ilvN

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0663979	0.9998975	0.1066464	1.0000000	1.0000000
100	0.0346743	0.9999446	0.1214740	1.0000000	1.0000000
150	0.0164792	0.9999776	0.1657568	1.0000000	1.0000000
200	0.0077867	0.9999921	0.2609466	1.0000000	1.0000000
250	0.0039683	0.9999974	0.4114095	1.0000000	1.0000000
300	0.0023679	0.9999992	0.5771359	1.0000000	1.0000000
350	0.0017164	0.9999998	0.7078844	1.0000000	1.0000000
400	0.0014562	0.9999999	0.7882793	1.0000000	1.0000000
450	0.0013537	1.0000000	0.8301359	1.0000000	1.0000000
500	0.0013136	1.0000000	0.8497170	1.0000000	1.0000000
550	0.0289420	1.0000000	0.6729856	1.0000000	1.0000000
600	0.0606496	0.9999982	0.3512264	1.0000000	1.0000000
650	0.0788386	0.9999856	0.1918249	1.0000000	1.0000000
700	0.0875287	0.9999602	0.1336238	1.0000000	1.0000000
750	0.0913462	0.9999328	0.1143457	1.0000000	1.0000000
800	0.0929463	0.9999122	0.1080821	1.0000000	1.0000000
850	0.0935978	0.9998995	0.1060071	1.0000000	1.0000000
900	0.0938580	0.9998928	0.1052943	1.0000000	1.0000000
950	0.0939606	0.9998895	0.1050401	1.0000000	1.0000000
1000	0.0940006	0.9998880	0.1049465	1.0000000	1.0000000

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0940418	0.9998837	0.1048602	1.0000000	1.0000000
100	0.0940320	0.9998858	0.1048778	1.0000000	1.0000000
150	0.0940282	0.9998865	0.1048849	1.0000000	1.0000000
200	0.0940268	0.9998867	0.1048878	1.0000000	1.0000000
250	0.0940262	0.9998868	0.1048890	1.0000000	1.0000000
300	0.0940260	0.9998868	0.1048894	1.0000000	1.0000000
350	0.0940259	0.9998868	0.1048896	1.0000000	1.0000000
400	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
450	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
500	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
550	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
600	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
650	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
700	0.0940259	0.9998868	0.1048897	1.0000000	1.0000000
