"Time"	relE	relB	hokD	alaS	ilvN

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.1008477	0.9367964	0.0832875	0.9725737	0.7632696
100	0.0907302	0.9813953	0.1020055	0.9157829	0.6538298
150	0.0651644	0.9748548	0.1202249	1.0110628	0.7853640
200	0.0920912	1.0343523	0.1288380	1.0361774	0.7408401
250	0.0991404	0.9690997	0.1248396	0.9539594	0.7426008
300	0.0926180	0.9845754	0.1002307	1.0073575	0.7097321
350	0.1126694	0.9967179	0.0959856	0.9552454	0.7143209
400	0.0977103	1.0023616	0.0711589	1.0437184	0.7244898
450	0.0915889	1.0598855	0.0920877	0.8921727	0.7168779
500	0.1098897	1.0518735	0.1068571	0.9605390	0.7181644
550	0.0975100	1.0111981	0.0880457	0.9268788	0.9822239
600	0.0790291	0.9953354	0.0996534	1.0252031	1.0738956
650	0.0918715	0.9604176	0.1075332	1.1086779	0.9707207
700	0.0792836	1.0403403	0.1299187	1.1278421	0.9917825
750	0.1045448	1.0055535	0.1439532	1.0626035	0.9594657
800	0.0950408	0.9645276	0.1284164	1.1379310	0.8821081
850	0.0962059	0.9263912	0.1151306	0.9573091	0.8662663
900	0.0689718	0.9886692	0.1209384	0.9371215	0.9578324
950	0.0946664	0.9511564	0.1181822	1.0930262	1.0601860
1000	0.0969935	0.9507303	0.1056259	0.9934323	1.0198073

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.0836040	1.0724066	0.0956257	1.0083822	0.9787770
100	0.1120924	1.0481232	0.0926648	0.9394803	1.0147407
150	0.1102521	0.9728202	0.1151793	1.0529418	1.0440260
200	0.0828178	0.9648933	0.0873931	1.0147370	1.0273326
250	0.0522507	0.9600842	0.1243472	0.9860179	0.9244675
300	0.0645028	0.9877180	0.1370929	1.0425973	1.0163804
350	0.0842595	0.9335782	0.1379401	1.0592200	0.9516178
400	0.1051790	0.9733015	0.1149053	0.9786801	1.0055162
450	0.1003275	0.9443825	0.0815688	1.0322726	1.1074979
500	0.0831178	1.0348610	0.0980258	1.0026838	1.0649674
550	0.0831796	0.9311915	0.0862281	1.0415671	1.1383725
600	0.0875746	0.9705201	0.1477909	1.0028987	1.1924091
650	0.0959721	1.0192228	0.1081493	1.0334050	1.0761135
700	0.0961978	0.9570683	0.1164358	1.1328106	1.0591301
750	0.0841372	1.0280090	0.1064519	0.9935859	1.0340662
800	0.0775425	0.9446358	0.1247251	0.9969299	0.9306246
850	0.0980906	1.0625475	0.1550617	0.8456384	1.0285376
900	0.1116811	1.0158754	0.0801199	0.8360924	0.9432880
950	0.1308093	1.0060798	0.0896867	0.8907372	0.9856517
1000	0.1132952	1.0729042	0.1098879	1.1169371	0.9525715

0	0.1363031	1.0056826	0.1313701	1.0309245	0.9557051
50	0.0851720	0.9794023	0.1055782	0.9187685	0.9355397
100	0.0743094	0.9986889	0.1023179	0.9245385	1.0171493
150	0.0703970	0.9697025	0.1163590	0.8423457	1.0377578
200	0.0899438	1.0271682	0.1286878	0.9340798	1.0269160
250	0.1161131	1.0173789	0.1028171	1.0022194	1.0406688
300	0.1166653	0.9572528	0.1217046	1.0578623	0.9617351
350	0.0859011	0.9496713	0.1325639	1.0963774	1.0633171
400	0.0861123	0.9664885	0.1245738	0.9731569	1.0448373
450	0.0773494	0.9736182	0.1063623	1.1159441	1.0338193
500	0.0868620	0.8736768	0.1182857	1.1165443	1.0312530
550	0.0758066	0.9996238	0.0943677	1.0973014	1.0261688
600	0.0693229	0.9404413	0.0854497	1.0520215	1.0626212
650	0.0849481	1.0087757	0.1052993	1.0148215	1.0974680
