"Time"	relE	relB	hokD	alaS	ilvN

0	0.1159721	0.7333957	0.0681873	0.6783827	0.7577214
50	0.0751290	0.7360809	0.0654586	0.7326761	0.6174489
100	0.0790846	0.8434397	0.0598123	0.6547603	0.3694216
150	0.0702057	0.7858105	0.0871786	0.7996004	0.6072583
200	0.1203245	0.6472503	0.0880720	0.8419253	0.6026734
250	0.0682955	0.7042476	0.1286933	0.6561867	0.5342417
300	0.1319032	0.6785850	0.0513854	0.8519083	0.6292843
350	0.0575100	0.7554379	0.0890053	0.7206432	0.5718170
400	0.0854061	0.6966033	0.0857304	0.7401974	0.4934158
450	0.0771815	0.8350894	0.0619116	0.6505740	0.4929261
500	0.1476662	0.7710502	0.0832268	0.6458301	0.4915280
550	0.0694655	0.7312337	0.0666931	0.7447314	0.5815677
600	0.0862019	0.7087946	0.0905115	0.8096941	1.0656349
650	0.0466679	0.6407832	0.0782486	0.8239470	0.7292703
700	0.0441250	0.7687342	0.1112149	0.8636213	0.7469927
750	0.0666015	0.6986625	0.1024925	0.7580411	0.7146511
800	0.0576239	0.6939407	0.1028572	0.8567813	0.6828145
850	0.0783496	0.6910744	0.0803955	0.6830342	0.6815706
900	0.0414675	0.7486153	0.1078965	0.7486913	0.6727841
950	0.0507099	0.7165830	0.0881212	0.8081729	0.7996826
1000	0.0627567	0.7814297	0.0708149	0.7219362	0.8005020

0	0.0831153	0.7788711	0.0976583	0.8316475	0.8296667
50	0.0699809	0.7725145	0.0744985	0.8671908	0.8101677
100	0.1018741	0.7669420	0.0676536	0.7683482	0.8628480
150	0.0630062	0.7338364	0.0800466	0.8361675	0.7948884
200	0.0764036	0.7050531	0.0810787	0.8462178	0.7891978
250	0.0505116	0.7170839	0.1030675	0.8310468	0.7121818
300	0.0720837	0.7381969	0.1108480	0.7376611	0.8905654
350	0.0733377	0.7431009	0.0609050	0.7841918	0.8044607
400	0.0760313	0.8502903	0.1361927	0.7954469	0.6959113
450	0.0701189	0.7486338	0.0968318	0.8153623	0.8413894
500	0.0518434	0.7712964	0.0534763	0.8019839	0.8419928
550	0.0783094	0.7108324	0.0489723	0.8169416	0.8752208
600	0.0570786	0.6900618	0.1288121	0.7737732	1.0435018
650	0.0841333	0.6484888	0.0547487	0.7583250	0.8027877
700	0.0532260	0.7949115	0.1128376	0.9595219	0.7656586
750	0.1032795	0.7733746	0.0856436	0.7681727	0.8585338
800	0.0470611	0.7513686	0.0798835	0.6890567	0.7673036
850	0.0524314	0.8735207	0.0688816	0.6994332	0.7101644
900	0.0688981	0.9034345	0.0686214	0.5978664	0.7191858
950	0.1049396	0.7710771	0.0554665	0.6694411	0.7020364
1000	0.1012346	0.8786270	0.0817546	0.8375851	0.7848661

0	0.1049728	0.6771355	0.0972060	0.7271668	0.7473373
50	0.0395855	0.8040254	0.0995990	0.7130543	0.7743598
100	0.0463674	0.6659063	0.0724014	0.7098073	0.7510269
150	0.0374724	0.7985178	0.0735240	0.7513159	0.7225431
200	0.0404299	0.8064583	0.1303830	0.7175122	0.7107011
250	0.0640483	0.8358722	0.1076551	0.8420249	0.8128520
300	0.1140516	0.9648766	0.0852812	0.7855529	0.6849804
350	0.0751764	0.7892441	0.1153704	0.7659157	0.8041837
400	0.0982663	0.6958350	0.0876825	0.6450408	0.8243644
450	0.0703459	0.8769482	0.0593446	0.9511331	0.7601683
500	0.1090528	0.7428098	0.1328622	0.9261028	0.6908466
550	0.0568731	0.8027712	0.0743707	0.8394972	0.8638158
600	0.0560765	0.6656654	0.0767431	0.7240312	0.7441194
650	0.0932467	0.7466126	0.1227635	0.7768871	0.6350123
700	0.1081098	0.7232209	0.0772611	0.7078605	0.8619259
750	0.0580243	0.7072237	0.0488730	0.7834354	0.7928701
800	0.0979665	0.8233804	0.0625083	0.8038511	0.8583739
850	0.0522814	0.8151088	0.0788767	0.6916243	0.7224734
900	0.1146411	0.7947312	0.0680541	0.7579677	0.7297980
950	0.0566580	0.7468556	0.0783150	0.8323598	0.7603739
1000	0.0521833	0.7950386	0.0505112	0.8333576	0.6882493

0	0.1029463	0.8039201	0.0658062	0.7076547	0.6671940
50	0.0356447	0.5788602	0.0490015	0.8322322	0.7303174
100	0.0198491	0.4608482	0.1084889	1.0499133	0.6873883
150	0.0089186	0.2762688	0.3626626	0.9095088	0.6653108
200	0.0080380	0.2989299	0.5494721	0.7655731	0.5977291
250	0.0228294	0.3188936	0.6635065	0.6515384	0.6542719
300	0.0007410	0.2960532	0.6535253	0.8195663	0.7728575
350	0.0071942	0.3327680	0.7160158	0.8031937	0.6011332
400	0.0067142	0.4049528	0.7851791	0.7183510	0.7434226
450	0.0084148	0.2457525	0.7179945	0.7448440	0.7048538
500	0.0015284	0.2829547	0.8290055	0.8027888	0.8842453
550	0.0238855	0.5561200	0.7426179	0.6849009	0.6897109
600	0.0408480	0.7215620	0.4878266	0.8145936	0.6753585
650	0.0404895	0.7149475	0.2301536	0.7751775	0.7525824
700	0.0546448	0.7254585	0.1121632	0.7212437	0.8670607
750	0.1064133	0.7366683	0.0697079	0.8623348	0.7316668
800	0.0493056	0.7282038	0.0819626	0.8466946	0.7292672
850	0.0972931	0.8352194	0.1434217	0.7741360	0.8881160
900	0.0587906	0.8883727	0.0862059	0.6672256	0.7950058
950	0.0815055	0.7305573	0.1315145	0.6071340	0.8011326
1000	0.0489346	0.8174580	0.1020999	0.7839983	0.7711187

0	0.0793878	0.6895458	0.0794864	0.6751380	0.6825677
50	0.0885761	0.8681312	0.0658260	0.7569946	0.4649601
100	0.1300328	0.7747223	0.0699558	0.9376702	0.3182249
150	0.0777499	0.6714543	0.0628066	0.6538344	0.2599349
200	0.0711309	0.8011894	0.1001095	0.8551717	0.1824160
250	0.0642389	0.7348085	0.0679500	0.7804682	0.1754343
300	0.0854037	0.7975095	0.0717835	0.8174580	0.2137989
350	0.0737710	0.7894269	0.0785664	0.6644578	0.2309798
400	0.0821551	0.8003755	0.0717048	0.7139494	0.2564410
450	0.1146802	0.8161982	0.0442729	0.6348132	0.1821264
500	0.0915225	0.8467930	0.0769353	0.6601456	0.1712047
550	0.1169593	0.7559080	0.0527842	0.6525130	0.4799114
600	0.0639563	0.9533803	0.0641035	0.8001961	0.7434496
650	0.0693980	0.7662994	0.0990539	0.7247281	0.6580964
700	0.0506804	0.6696750	0.0492971	0.7239026	0.7466408
750	0.0276429	0.8065176	0.0801653	0.7643807	0.8804192
800	0.0483353	0.7515330	0.0814594	0.6780903	0.8134422
850	0.0591471	0.9430973	0.0897454	0.7122053	0.8469140
900	0.0275724	0.7666423	0.0652828	0.5949745	0.7125577
950	0.0368764	0.8572068	0.0508236	0.7326993	0.8360925
1000	0.0837455	0.8078619	0.0572672	0.6867153	0.8576619

0	0.0861643	0.7590497	0.1228918	0.7062377	0.7102624
50	0.0602320	0.5878320	0.0919533	0.8147332	0.9170931
100	0.0603531	0.4350492	0.1097013	0.7245691	0.7223724
