kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.3486490	0.0002936	0.8281014	0.0405900	0.1932247	0.1678925	0.1562829	0.6688443	0.3658080	0.0986136
0.8488477	0.0036081	0.6329954	0.0454359	0.1694911	0.0877838	0.1682736	0.6979271	0.3712162	0.0826097
0.7462552	0.0058590	0.3428161	0.1378002	0.2378572	0.4328060	0.2700288	0.6964386	0.2670599	0.2526367
0.6612187	0.0005332	0.6811963	0.0447580	0.1402905	0.1391861	0.1106554	0.8052789	0.3667984	0.0719575
0.6938656	0.0013184	0.6907052	0.0300555	0.0767500	0.1678987	0.1328768	0.6758706	0.3112311	0.0968015
0.6780976	0.0024018	0.7638047	0.0771634	0.1151999	0.0374283	0.1279756	0.7982907	0.2848180	0.0798299
0.5955008	0.0009003	0.6388550	0.0391287	0.1240245	0.1593871	0.0388510	0.7062374	0.2762988	0.0658622
0.6464436	0.0043216	0.6571290	0.0408737	0.1988474	0.1619922	0.1803920	0.2487916	0.3714603	0.0794754
0.7131554	0.0034197	0.6129063	0.0619868	0.1618882	0.1140734	0.1564256	0.8996064	0.1569259	0.0911166
0.6642964	0.0021550	0.7301698	0.0550251	0.1779455	0.1185843	0.1694400	0.6526010	0.3216579	0.0472923
