kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.0000000	0.7396375	0.7301251	0.0401790	0.1589541	0.1043291	0.1388214	0.6559520	0.3482568	0.1245074
0.6778625	0.0000000	0.6587482	0.0438930	0.1235553	0.1646123	0.1600329	0.7589876	0.3116164	0.0748058
0.6223879	0.5405987	0.0000000	0.7084101	0.7292499	0.7230429	0.5892366	0.7514618	0.4413509	0.4530406
0.7404703	0.0005737	0.7480784	0.0000000	0.1523026	0.1343453	0.1235856	0.6517747	0.3809166	0.0080675
0.7017967	0.0009577	0.7764012	0.0546408	0.0016885	0.0894819	0.1725545	0.7198938	0.3612060	0.0956735
0.7359231	0.0018546	0.6185938	0.0489744	0.1888141	0.0000000	0.1296847	0.7266467	0.3229057	0.0584273
0.8472673	0.0017077	0.7277695	0.0702640	0.1841756	0.1391064	0.0000000	0.7057179	0.2435759	0.1077635
0.6741304	0.0015108	0.7160298	0.0453718	0.1448768	0.1713157	0.1537915	0.0000000	0.3709763	0.1047742
0.6147543	0.0016460	0.8116150	0.0431200	0.1298175	0.1335151	0.1378526	0.7876003	0.0000000	0.1037769
0.7084442	0.0015126	0.5976317	0.0308944	0.1354777	0.1981284	0.1462286	0.5966907	0.2814638	0.0000000
