kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.6572391	0.0022293	0.2752240	0.1692881	0.3766633	0.5684054	0.1046718	0.4891315	0.2535443	0.1907591
0.8076152	0.0004998	0.7553783	0.0138702	0.0808841	0.1256300	0.3825002	0.6635864	0.0261462	0.1000528
0.7358914	0.0001538	0.6406245	0.0040054	0.0908840	0.1817292	0.1018364	0.7491466	0.2376606	0.0122659
0.6008011	0.0051356	0.4204739	0.0859307	0.1799025	0.5148013	0.3999924	0.7305929	0.0084576	0.1627353
0.6267741	0.0000068	0.6086221	0.0695527	0.3447326	0.1008857	0.1125887	0.5781046	0.3011334	0.2116587
0.4732021	0.0038745	0.6384843	0.0028256	0.0925429	0.1571345	0.1005628	0.6608446	0.3199029	0.0203833
0.5732644	0.0002252	0.6231228	0.0635165	0.2258921	0.1146792	0.0637446	0.6788507	0.3050706	0.0794794
0.5203140	0.0031800	0.6361988	0.0084230	0.0565903	0.0531717	0.0438363	0.5619220	0.4091307	0.0121672
0.6003785	0.0003657	0.3495585	0.0869084	0.5442483	0.4086616	0.2731095	0.5963430	0.2219366	0.3106105
0.7965042	0.0000704	0.6331509	0.0502868	0.2752387	0.1755603	0.1661514	0.5915680	0.0960914	0.1584773
