kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.5602897	0.0003754	0.8804330	0.0497532	0.2172356	0.2207566	0.2036919	0.9719588	0.5748136	0.1608109
1.0815658	0.0033784	1.0689101	0.0699299	0.2818221	0.1890382	0.2329829	0.9735732	0.5568642	0.1077449
1.1504956	0.0047058	0.5956776	0.2333626	0.5033405	0.6751584	0.3843531	1.1287732	0.4022608	0.3273205
0.9825556	0.0021768	1.1140409	0.0339470	0.2366440	0.1920594	0.2135432	1.0611920	0.5141369	0.0845774
1.0130186	0.0018302	1.0546349	0.0834038	0.1016716	0.2635820	0.2608478	1.0268169	0.4585261	0.1289808
0.8996492	0.0033388	1.0885066	0.0917991	0.1935102	0.1159916	0.1934406	1.0339932	0.4722717	0.1139335
1.1474964	0.0168680	1.0216166	0.0637941	0.2317597	0.2024633	0.1079738	1.0070240	0.5533769	0.0886028
0.9547359	0.0051479	0.9904361	0.1013433	0.2364257	0.1799772	0.2345960	0.4538345	0.5480754	0.1003221
1.0745932	0.0049464	0.9684744	0.0880106	0.2416339	0.1917252	0.2030760	1.0764922	0.2682669	0.1557282
1.0028049	0.0007260	0.9732522	0.0788064	0.2186897	0.2097645	0.2021610	1.0595855	0.5355819	0.0890982
