kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.0000000	1.0979124	1.0094898	0.0469310	0.1945193	0.2407006	0.1959722	1.0135320	0.4513395	0.1487539
1.0508529	0.0000000	0.9875822	0.0531210	0.2413329	0.1974216	0.2304438	0.9429291	0.4291416	0.1441793
0.9844186	1.0602970	0.0000000	1.0435406	1.1140329	1.0434204	0.8567771	1.0820819	0.5335972	0.6891230
1.1030106	0.0045969	1.0897140	0.0000000	0.1989050	0.1785030	0.1515740	0.9905515	0.5273977	0.0148946
0.9335729	0.0030329	1.0209575	0.0867804	0.0081674	0.1682068	0.2080396	0.9892400	0.4531463	0.1163962
1.0475863	0.0036732	1.0580192	0.0593298	0.2510223	0.0000000	0.2156073	1.0757523	0.4055094	0.1328117
1.0404500	0.0041361	1.0288022	0.0736769	0.2731671	0.2353112	0.0000000	1.0275221	0.4594132	0.1460604
0.9984524	0.0141281	1.1555837	0.0671963	0.2330769	0.2013910	0.1992229	0.0000000	0.4639621	0.1092855
1.0651035	0.0019954	1.0383887	0.0379169	0.2061534	0.1944212	0.2196380	1.1072630	0.0000000	0.1002550
0.9737969	0.0004690	1.0026881	0.0480362	0.1791462	0.2275874	0.2141257	0.9250932	0.5088262	0.0000000
