kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
1.0634009	0.0009826	0.3632921	0.1972829	0.4990201	0.7522064	0.1587440	0.8224775	0.4387946	0.3254052
1.0009438	0.0004394	1.0663255	0.0353076	0.1388073	0.2026923	0.5633677	0.9826015	0.0670594	0.2139547
1.0849896	0.0028237	0.9292951	0.0081879	0.1093901	0.1685331	0.1539194	1.0856866	0.2978283	0.0255954
1.0269855	0.0047962	0.5937800	0.1129426	0.2140459	0.4674229	0.5005962	0.9946487	0.0017017	0.1753809
1.1037808	0.0019201	1.0338841	0.0766775	0.4631831	0.1744005	0.1578946	0.9145971	0.4606260	0.3527534
0.6744109	0.0041990	0.8479424	0.0161868	0.1695694	0.2312897	0.1627631	0.9841125	0.4965190	0.0196199
0.9404862	0.0004823	1.0142872	0.0387288	0.3600172	0.1415874	0.1009179	1.0363533	0.4278106	0.1180372
0.7120443	0.0067247	1.0130956	0.0086038	0.0838456	0.0847180	0.0728216	1.0672132	0.5493551	0.0113318
0.9693735	0.0012397	0.5828931	0.1235790	0.7899153	0.6907190	0.3653356	0.8919406	0.3715083	0.4967436
1.0588443	0.0029626	0.9843809	0.0828639	0.3944486	0.2868276	0.2003743	0.9690716	0.1519478	0.2027753
