kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
1.0000000	0.0015538	0.4374769	0.1993458	0.4434517	0.7696619	0.1259632	0.7613251	0.4306524	0.2950196
0.9826133	0.0000123	0.9938999	0.0359513	0.1237459	0.2010347	0.5399654	0.9785538	0.0486616	0.2018248
1.0000000	0.0000212	0.9162348	0.0109753	0.0921278	0.1403307	0.1403199	0.9999945	0.3029824	0.0217579
1.0000000	0.0037404	0.6091668	0.1218571	0.2610992	0.5017114	0.4803596	0.9977449	0.0028141	0.1918137
1.0000000	0.0000214	1.0000000	0.0676470	0.4216239	0.1573266	0.1521630	0.8476670	0.4772933	0.3052417
0.6883029	0.0037413	0.8462289	0.0151439	0.1768972	0.2406220	0.1693263	0.9211578	0.4928114	0.0245049
0.9447261	0.0000174	0.9944201	0.0587702	0.3097459	0.1475390	0.1248588	0.9993728	0.4803974	0.1713337
0.6676643	0.0036488	1.0000000	0.0071258	0.0866589	0.1091159	0.0852846	0.9999981	0.4918713	0.0107743
1.0000000	0.0003378	0.5194412	0.1012065	0.7104859	0.6418054	0.3980817	0.8509720	0.4259373	0.4522004
1.0000000	0.0000136	1.0000000	0.0676470	0.3867195	0.2082752	0.1784481	0.9990710	0.1478202	0.1856402
