"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0035646	1.0000000	0.0676493	0.2240902	0.2082859	0.2015296	0.9990695	0.4772716	0.2018264
100	1.0000000	0.0035645	1.0000000	0.0676480	0.2240796	0.2082798	0.2015284	0.9990704	0.4772832	0.2696124
150	1.0000000	0.0035645	1.0000000	0.0676474	0.2240751	0.2082771	0.2015279	0.9990707	0.4772887	0.2998174
200	1.0000000	0.0035645	1.0000000	0.0676472	0.2240731	0.2082760	0.2015278	0.9990709	0.4772912	0.3109944
250	1.0000000	0.0035645	1.0000000	0.0676471	0.2240723	0.2082755	0.2015277	0.9990709	0.4772923	0.3147951
300	1.0000000	0.0035645	1.0000000	0.0676470	0.2240719	0.2082753	0.2015276	0.9990709	0.4772929	0.3160283
350	1.0000000	0.0035645	1.0000000	0.0676470	0.2240718	0.2082752	0.2015276	0.9990709	0.4772931	0.3164170
400	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772932	0.3165372
450	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.3165739
500	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.3165850
550	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.2427057
600	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1749082
650	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1446983
700	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1335193
750	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1297177
800	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1284842
850	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1280954
900	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279751
950	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279384
1000	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772933	0.1279273

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0022704	0.3204408	0.0530792	0.2448859	0.2380236	0.3138184	0.9992141	0.4790226	0.1271130
100	1.0000000	0.0151509	0.0880747	0.1309573	0.3267880	0.4435960	0.5145740	0.9995700	0.5433274	0.1375510
150	1.0000000	0.1518736	0.0425214	0.2296345	0.4155394	0.6122175	0.6834139	0.9997941	0.7030920	0.2147017
200	1.0000000	0.2901376	0.0338209	0.2850215	0.5030684	0.6981198	0.7833929	0.9998987	0.7978299	0.3128427
250	1.0000000	0.3603406	0.0321619	0.3110451	0.5813771	0.7353280	0.8330625	0.9999409	0.8317767	0.3853126
300	1.0000000	0.3892457	0.0318456	0.3225853	0.6396755	0.7502138	0.8555746	0.9999556	0.8395951	0.4275819
350	1.0000000	0.4001219	0.0317853	0.3275925	0.6773339	0.7558988	0.8652684	0.9999596	0.8392764	0.4494173
400	1.0000000	0.4040289	0.0317738	0.3297463	0.6994323	0.7580057	0.8693226	0.9999601	0.8373994	0.4599437
450	1.0000000	0.4053961	0.0317716	0.3306695	0.7115759	0.7587706	0.8709912	0.9999599	0.8358084	0.4648103
500	1.0000000	0.4058673	0.0317712	0.3310647	0.7179461	0.7590442	0.8716728	0.9999595	0.8347776	0.4670017
550	1.0000000	0.3277428	0.7113303	0.4180279	0.7233740	0.7973395	0.7475439	0.9937125	0.7212947	0.4703064
600	1.0000000	0.1531907	0.9436963	0.2844222	0.6824441	0.6620426	0.5366804	0.9666583	0.5371093	0.4224739
650	1.0000000	0.0621728	0.9892497	0.1731129	0.5610452	0.4849456	0.3769687	0.9635503	0.4561329	0.3424471
700	1.0000000	0.0249645	0.9979501	0.1151472	0.4256741	0.3571123	0.2840154	0.9760079	0.4417390	0.2689828
750	1.0000000	0.0111053	0.9996092	0.0884093	0.3301231	0.2823204	0.2376200	0.9870951	0.4495548	0.2124741
800	1.0000000	0.0061702	0.9999255	0.0766096	0.2758525	0.2432888	0.2166019	0.9934962	0.4598648	0.1745116
850	1.0000000	0.0044549	0.9999858	0.0714953	0.2482545	0.2242914	0.2076434	0.9966199	0.4674097	0.1518918
900	1.0000000	0.0038668	0.9999973	0.0692955	0.2350582	0.2154434	0.2039673	0.9980253	0.4720071	0.1396279
950	1.0000000	0.0036667	0.9999995	0.0683524	0.2289756	0.2114374	0.2024928	0.9986316	0.4745698	0.1334243
1000	1.0000000	0.0035990	0.9999999	0.0679487	0.2262354	0.2096568	0.2019086	0.9988876	0.4759260	0.1304381

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0035935	0.4879526	0.0754349	0.3611569	0.2543292	0.1882407	0.9991496	0.4775795	0.1308827
100	1.0000000	0.0042465	0.3128650	0.1784834	0.5701371	0.4806832	0.2063439	0.9992922	0.4787877	0.1605157
150	1.0000000	0.0063263	0.2785406	0.3705251	0.7312635	0.7062032	0.2470102	0.9981780	0.4643243	0.2656741
200	1.0000000	0.0085444	0.2719848	0.5220505	0.8427586	0.8407537	0.2960666	0.9941151	0.4239709	0.4028019
250	1.0000000	0.0099295	0.2707347	0.6076889	0.9125668	0.9070499	0.3437669	0.9884705	0.3778824	0.5086888
300	1.0000000	0.0105951	0.2704964	0.6496108	0.9514759	0.9369526	0.3807268	0.9835878	0.3416107	0.5722834
350	1.0000000	0.0108732	0.2704509	0.6687798	0.9715317	0.9498434	0.4048437	0.9802984	0.3179094	0.6058011
400	1.0000000	0.0109803	0.2704423	0.6772540	0.9813775	0.9552705	0.4188406	0.9783775	0.3039679	0.6222085
