kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.5001381	0.0038683	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772932	0.1279226
1.0000000	0.0017850	1.0000000	0.0676470	0.2240718	0.2082752	0.2015276	0.9990709	0.4772931	0.1279226
1.0000000	0.0040216	0.5000000	0.1891634	0.4312486	0.6856621	0.3405626	0.9948648	0.4314207	0.3025283
1.0000000	0.0035645	1.0000000	0.0338293	0.2221827	0.1980123	0.2002061	0.9998621	0.4880058	0.0793832
1.0000000	0.0035645	1.0000000	0.0676470	0.1120938	0.2082752	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.1041725	0.2015276	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.1007946	0.9990710	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.4996819	0.4772933	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.2387638	0.1279225
1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015276	0.9990710	0.4772932	0.0639791
