"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD

0	0.7129714	0.0055642	0.6266883	0.0310731	0.1557070	0.1621504	0.1680161	0.7527221	0.3319134	0.0806254
50	0.6331078	0.0006786	0.6322375	0.0413571	0.1025606	0.2553482	0.1227166	0.5693801	0.3448802	0.1689039
100	0.6832064	0.0003605	0.6021183	0.0296298	0.1195837	0.1501691	0.1453694	0.6054623	0.3422776	0.1630192
150	0.7255979	0.0161681	0.6726648	0.0322450	0.1752622	0.1422811	0.1850479	0.5879417	0.2624268	0.2119334
200	0.6184819	0.0023701	0.7107544	0.0375016	0.1652081	0.1620422	0.1811027	0.6860006	0.3167714	0.2140822
250	0.6472087	0.0010189	0.7164009	0.0481282	0.1534412	0.1661258	0.2159124	0.6831406	0.3244358	0.2593514
300	0.6454369	0.0016770	0.6347965	0.0653701	0.1762253	0.1368219	0.0893576	0.6318430	0.3041503	0.1821699
350	0.6833711	0.0031434	0.7759238	0.0488188	0.1724402	0.1339136	0.1352985	0.7321794	0.2234754	0.2072187
400	0.7546053	0.0042293	0.6088188	0.0532618	0.2474070	0.1735251	0.1525158	0.6522715	0.3031868	0.2164745
450	0.5944412	0.0034583	0.6137137	0.1039341	0.1663800	0.1705927	0.1340158	0.6634824	0.2938596	0.1594113
500	0.7377362	0.0033266	0.6923051	0.0635047	0.1990175	0.1502868	0.1593306	0.6469455	0.4199179	0.3099803
550	0.6781585	0.0016616	0.7224883	0.0738521	0.1171831	0.1579627	0.1694752	0.6946121	0.2590174	0.1296195
600	0.6639103	0.0007056	0.6278293	0.0551562	0.1649071	0.1846589	0.1019249	0.6481769	0.2720395	0.1170182
650	0.6576934	0.0013133	0.7241218	0.0434432	0.1699501	0.2033526	0.1474448	0.7408629	0.3108981	0.0716529
700	0.6750722	0.0018288	0.7052332	0.0467607	0.1124074	0.1493538	0.1335712	0.6881422	0.3208230	0.0933448
750	0.7572575	0.0028987	0.6776510	0.0362224	0.1338706	0.0571257	0.1281722	0.8219503	0.3482853	0.1108603
800	0.7396059	0.0075061	0.7170613	0.0433387	0.1977026	0.0949536	0.1502714	0.6857760	0.3353865	0.0492053
850	0.7206892	0.0064547	0.6543998	0.0507085	0.1427500	0.1033446	0.1329375	0.6061161	0.3088011	0.0874118
900	0.5708576	0.0079200	0.7318156	0.0347623	0.1638904	0.1038898	0.1870694	0.8119677	0.3011188	0.0578716
950	0.5802972	0.0126848	0.6674026	0.0351455	0.1774715	0.0948927	0.1788462	0.8762728	0.2959448	0.1194544
1000	0.6532384	0.0010544	0.7277839	0.0658941	0.1887112	0.1639790	0.1408411	0.6271722	0.3156727	0.0705330

0	0.7363793	0.0076748	0.6845745	0.0442444	0.1619750	0.1645411	0.1284973	0.7443815	0.3672841	0.0658932
50	0.6604123	0.0010073	0.1740158	0.0177022	0.1441592	0.2111327	0.3055645	0.8065285	0.3421831	0.0854286
100	0.6686155	0.0516839	0.0279736	0.0939955	0.2260337	0.4250637	0.4693841	0.6220361	0.5634215	0.1036165
150	0.7484267	0.1811541	0.0063008	0.2549085	0.3892764	0.5506795	0.5217817	0.6508468	0.6758831	0.1770984
200	0.5649340	0.1933369	0.0238942	0.2181378	0.3423947	0.4190343	0.5537449	0.7302992	0.6822046	0.2630582
250	0.6730566	0.2265111	0.0371198	0.2369928	0.4548049	0.4435370	0.6176792	0.7001555	0.6486584	0.2466640
300	0.7167166	0.2841469	0.0284727	0.2619905	0.5487644	0.4827425	0.5970510	0.5867234	0.5584500	0.3432042
350	0.6470406	0.2198280	0.0312022	0.2829373	0.4616219	0.5318933	0.6508961	0.8512877	0.6515482	0.3830167
400	0.6196983	0.2601531	0.0125992	0.2438074	0.4638691	0.5436983	0.4835520	0.6978340	0.6738221	0.3151377
450	0.6405032	0.2915890	0.0140571	0.2308451	0.4535804	0.4755492	0.5989986	0.8433314	0.6023720	0.3657542
500	0.7678713	0.2474586	0.0045478	0.2077526	0.5939969	0.5434712	0.6007678	0.6444523	0.5011720	0.4320776
550	0.8650347	0.1143354	0.5072112	0.1901873	0.4852110	0.4052079	0.3516598	0.6577360	0.3423211	0.4051238
600	0.6974830	0.0401563	0.8435245	0.1338606	0.3173543	0.4080780	0.2201300	0.6527255	0.2260441	0.2134077
650	0.6357772	0.0172482	0.6692786	0.0473659	0.2717234	0.2177332	0.1353215	0.5644387	0.3259455	0.1642912
700	0.7237457	0.0073171	0.6185450	0.0462272	0.1849588	0.2059154	0.1612593	0.7190446	0.2680031	0.1165836
750	0.7988539	0.0003970	0.6988170	0.0519489	0.2255930	0.1751788	0.1946273	0.6528992	0.3225274	0.1498279
800	0.6865768	0.0050869	0.6121875	0.0393763	0.1549528	0.1771582	0.1494877	0.6422205	0.3033955	0.0788859
850	0.6505099	0.0007998	0.7288673	0.0409349	0.1111303	0.1060652	0.1450710	0.6694348	0.3223136	0.1207561
900	0.6745930	0.0021899	0.6908278	0.0203152	0.1758259	0.1353101	0.1244158	0.6558367	0.2962685	0.1432768
950	0.6976878	0.0071145	0.5807773	0.0446488	0.1185196	0.1054646	0.1007732	0.6839498	0.3108757	0.0999711
1000	0.7118080	0.0072445	0.7498099	0.0757379	0.1495570	0.1588423	0.1350821	0.5650225	0.4297755	0.0973874

0	0.7059109	0.0259601	0.5495537	0.0287915	0.1562934	0.1496481	0.1421226	0.6770104	0.3435289	0.0650080
50	0.6171385	0.0014452	0.2703650	0.0427659	0.4002134	0.2533789	0.1148332	0.7278543	0.2315766	0.0537444
100	0.6562563	0.0005548	0.2454216	0.2077348	0.5018013	0.4462293	0.1544138	0.7009268	0.5384944	0.1197172
150	0.6676109	0.0016444	0.1886405	0.2795180	0.5799854	0.5302267	0.2005017	0.5452414	0.3089185	0.2122193
200	0.6135449	0.0016131	0.1527030	0.3632729	0.6770492	0.7203403	0.1507924	0.7569028	0.2536473	0.2995737
250	0.6772834	0.0041103	0.1870233	0.3490995	0.6485779	0.5806427	0.3071970	0.6849996	0.2060436	0.3339443
300	0.7847473	0.0109936	0.1693485	0.5069412	0.5578249	0.6628027	0.2764985	0.7252434	0.2493191	0.3709908
350	0.7181076	0.0272514	0.1574547	0.5071840	0.6220720	0.7312358	0.2134445	0.6737807	0.2310427	0.4732626
400	0.7547721	0.0110651	0.1829724	0.5122473	0.7413974	0.5864633	0.2800244	0.7373320	0.2763419	0.4693270
450	0.7486338	0.0067973	0.1484733	0.5097440	0.6221245	0.6320734	0.3153097	0.7151161	0.2323645	0.4453257
500	0.6013519	0.0036181	0.2236820	0.5115993	0.7623713	0.6372172	0.2955181	0.6608812	0.1579589	0.4380929
