kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.3527862	0.0004729	0.5480501	0.0438527	0.1089550	0.2269504	0.1351959	0.6307802	0.4240976	0.0821444
0.6433968	0.0160391	0.7241769	0.0446226	0.1498305	0.0888635	0.1390231	0.7051992	0.3624774	0.0595797
0.8856327	0.0043659	0.4432818	0.1443134	0.2674502	0.4232750	0.1976020	0.7323963	0.3580900	0.2364767
0.6845216	0.0012940	0.9370612	0.0304242	0.1859137	0.1655061	0.1257500	0.6683622	0.3367460	0.0442264
0.6729168	0.0025493	0.6861692	0.0672008	0.0681111	0.2269702	0.1936238	0.7208709	0.2648464	0.1116239
0.6504320	0.0013568	0.8145648	0.0665954	0.1206688	0.0893876	0.1496665	0.6784544	0.3010096	0.0724090
0.7392047	0.0135648	0.6576236	0.0512201	0.1268632	0.1412648	0.1002825	0.6286599	0.4019054	0.0564640
0.6312230	0.0064904	0.7377264	0.0535446	0.1836425	0.1664431	0.1744331	0.3671698	0.3967385	0.0690040
0.7567303	0.0027673	0.6993971	0.0738667	0.1730085	0.1654215	0.1316076	0.7530183	0.1829610	0.1131935
0.7279215	0.0008003	0.6997701	0.0555920	0.1184323	0.1188710	0.1345813	0.6892226	0.3332883	0.0479655
