kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0.0000000	0.7272769	0.6117802	0.0494526	0.1528693	0.1203817	0.1047856	0.6007264	0.3377363	0.0836799
0.5711602	0.0000000	0.6202155	0.0284118	0.1751869	0.1445803	0.1555189	0.5872427	0.3317457	0.0803057
0.6465840	0.8837921	0.0000000	0.5710324	0.6733703	0.6703037	0.5327133	0.6948987	0.3542736	0.5293648
0.7824731	0.0015392	0.7867756	0.0000000	0.1611752	0.1179213	0.0968396	0.6137844	0.3982370	0.0054879
0.6309893	0.0022420	0.6039752	0.0447725	0.0098389	0.1127103	0.1635496	0.7216942	0.2893318	0.1157898
0.6405650	0.0021600	0.7231397	0.0305776	0.1527109	0.0000000	0.1913172	0.6461058	0.2751626	0.0785205
0.5886157	0.0035271	0.7575990	0.0757672	0.1653533	0.1601512	0.0000000	0.6914474	0.2862659	0.0982608
0.7002129	0.0132160	0.7317444	0.0432769	0.1842078	0.1737560	0.1287636	0.0000000	0.2649314	0.0712129
0.7359361	0.0033230	0.6627915	0.0483061	0.1060251	0.1611591	0.1444867	0.7193337	0.0000000	0.1121829
0.6304837	0.0000713	0.7190726	0.0460429	0.0954045	0.1745848	0.1539352	0.5979039	0.3848131	0.0000000
