"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	0.6763096	0.6350277	0.1683494	0.7672955	0.4252864	0.3202698	0.7101244	0.1776768	0.5127972	0.0432538
50	0.9222083	0.8436430	0.0674383	0.7032644	0.5186386	0.4847761	0.6903853	0.1272095	0.2021376	0.0030008
100	0.7457338	0.8923126	0.0644868	0.8003384	0.5035258	0.5665241	0.6983408	0.1017293	0.1354797	0.0112374
150	0.8950779	0.7370762	0.0723983	0.6515812	0.4943050	0.4744028	0.5772967	0.0815612	0.0488201	0.0000000
200	0.7467661	0.8559773	0.1534664	0.6756203	0.5597991	0.5302799	0.8026596	0.1575395	0.0480663	0.0029313
250	0.7852823	0.8085084	0.1193223	0.8033868	0.4341194	0.5446999	0.9498147	0.1575443	0.0454644	0.0000153
300	0.7028664	0.7312267	0.0712603	0.7448728	0.5538061	0.4834996	0.7304938	0.1841938	0.0608418	0.0011814
350	0.6919865	0.7393174	0.1343831	0.6079099	0.4808473	0.3704241	0.8511531	0.2055527	0.0561432	0.0001802
400	0.6724186	0.7431575	0.1249610	0.7493352	0.5629061	0.6339144	0.7686445	0.1882297	0.0328537	0.0000000
450	0.6957157	0.7390643	0.1530781	0.6639805	0.4167096	0.5999593	0.7872255	0.2178925	0.0293211	0.0015848
500	0.8180346	0.7035297	0.1319223	0.6438109	0.4604752	0.3782871	0.8073172	0.2381845	0.0442264	0.0006148
550	0.7599749	0.7570328	0.1839652	0.7302396	0.4208281	0.3187521	0.7980267	0.1507474	0.2656245	0.0299344
600	0.8147155	0.7620815	0.2110267	0.6579363	0.3584604	0.2734008	0.7570360	0.1589363	0.4140848	0.0543835
650	0.6913411	0.7676648	0.1702570	0.7123688	0.3431411	0.3077999	0.6855531	0.1998341	0.4022787	0.0137548
700	0.7021906	0.7177693	0.1441404	0.7974512	0.4045434	0.2427075	0.7809573	0.3048645	0.4301180	0.0320838
750	0.8581418	0.6566860	0.1250440	0.8157344	0.4951001	0.2824701	0.6996181	0.2723894	0.4174379	0.0559625
800	0.8319163	0.7474994	0.1236044	0.6994176	0.4094560	0.3448710	0.8125143	0.1876247	0.4818960	0.0179720
850	0.7366656	0.7224435	0.1504661	0.7788867	0.4543755	0.2852240	0.7080649	0.1370742	0.4680760	0.0550802
900	0.6179305	0.7702849	0.1494876	0.6777879	0.4063615	0.3695790	0.7433137	0.1286427	0.6535623	0.0431627
950	0.7378293	0.6683469	0.2050510	0.7067631	0.4494599	0.3539011	0.6779955	0.1819819	0.5107041	0.0466127
1000	0.7422002	0.5848844	0.1483363	0.6223810	0.4505110	0.3369451	0.7277271	0.1137771	0.6428150	0.0321804

0	0.7432536	0.7592582	0.1290947	0.6438088	0.4042023	0.2788981	0.7062130	0.1292401	0.4539543	0.0617355
50	0.8059032	0.6586000	0.1342972	0.7814090	0.5753370	0.2553952	0.6099330	0.0469487	0.4535555	0.0238028
100	0.8148074	0.6660918	0.1661395	0.7436781	0.5611916	0.2579070	0.9284010	0.0061196	0.4386536	0.0378075
150	0.7977977	0.7603241	0.1799514	0.6744628	0.5838263	0.3398782	0.8288677	0.0111313	0.4503027	0.0721249
200	0.8343257	0.7045573	0.1629215	0.8190641	0.6476682	0.2613514	0.6643776	0.0071900	0.5400802	0.0375290
250	0.7443180	0.7405512	0.1811326	0.7286480	0.6456074	0.2432268	0.6512423	0.0055350	0.4722718	0.0371598
300	0.7517283	0.7268022	0.1856325	0.8259151	0.7698882	0.3323179	0.6659352	0.0004535	0.5062985	0.0412062
350	0.6644585	0.8983331	0.2090668	0.6991230	0.5623541	0.2352430	0.7445781	0.0046336	0.4889639	0.0712676
400	0.6557411	0.7863844	0.2598652	0.6000402	0.5886610	0.2588158	0.7748549	0.0019022	0.5228184	0.0251584
450	0.6796427	0.7045304	0.2503915	0.7565498	0.5938018	0.3302905	0.7921136	0.0008213	0.5875457	0.0333061
500	0.7759136	0.7579683	0.3127284	0.5911673	0.5300018	0.2851242	0.6998780	0.0035570	0.4621174	0.0128739
550	0.7984364	0.8009963	0.1784564	0.8260839	0.4731843	0.2637641	0.8290406	0.2109004	0.5301817	0.0325817
600	0.6619257	0.8974248	0.2554618	0.7205272	0.3668482	0.3317229	0.7587308	0.2115456	0.4981628	0.0483143
650	0.7900214	0.7091757	0.3464020	0.5538122	0.4182692	0.3543167	0.7855760	0.2151572	0.5036118	0.0502808
700	0.6823155	0.7993279	0.2069058	0.6795220	0.3480252	0.2487812	0.7070435	0.2336046	0.4902645	0.0732915
750	0.7213296	0.8328058	0.1978270	0.6485653	0.3250441	0.3134363	0.7509189	0.1710188	0.4306753	0.0768062
800	0.5656175	0.6894529	0.1936296	0.8503440	0.2297483	0.3012978	0.7388255	0.2115492	0.4465826	0.0355517
850	0.7505838	0.6755264	0.1415757	0.8119424	0.3535822	0.2869089	0.6940020	0.2084492	0.5682494	0.0387568
900	0.6606096	0.8089542	0.1274774	0.8000940	0.3969727	0.3835952	0.8440417	0.1969003	0.3955841	0.0633564
950	0.6954672	0.7082826	0.2229409	0.6681826	0.3714210	0.3273195	0.7353216	0.1685451	0.5500848	0.0438886
1000	0.7066776	0.6806636	0.1720109	0.6490667	0.3595682	0.2692619	0.7525089	0.2606080	0.4247155	0.0203273

0	0.6364649	0.8290201	0.1591611	0.8017055	0.3524165	0.2723047	0.5980522	0.1955632	0.4685255	0.0461116
50	0.8191632	0.7253423	0.1355069	0.7065686	0.3967456	0.2445444	0.7327025	0.1633251	0.4251906	0.0385034
100	0.7024689	0.6826622	0.1420412	0.7847163	0.3638707	0.2704191	0.8011692	0.2018943	0.4897543	0.0167245
150	0.6449650	0.7070541	0.1937616	0.6443337	0.4681129	0.3084122	0.8522005	0.2503637	0.4846671	0.0190240
200	0.7912913	0.7747903	0.1602492	0.7215695	0.4377528	0.3462761	0.7760323	0.2224937	0.4609520	0.0337880
250	0.8123968	0.7242491	0.2025817	0.6569215	0.4876122	0.2332627	0.7217246	0.1526682	0.4660084	0.0349200
300	0.7744237	0.7164882	0.1639864	0.6351242	0.4920571	0.3096469	0.6996490	0.2064230	0.4636787	0.0368799
350	0.9248416	0.8071306	0.1770444	0.7189397	0.4915676	0.3554723	0.7407683	0.2123964	0.4627653	0.0344100
400	0.7765614	0.7763348	0.1516233	0.7401238	0.3773975	0.3116053	0.7243697	0.1603881	0.4573837	0.0385880
450	0.7176025	0.7565570	0.1871307	0.6270957	0.3562344	0.2918622	0.8550305	0.2404380	0.3873758	0.0358379
500	0.7543121	0.8035068	0.2035633	0.8689512	0.4845780	0.2893789	0.7518252	0.2051804	0.4269810	0.0522569
550	0.6904639	0.6530497	0.1368984	0.8086045	0.3556249	0.3216881	0.8159050	0.1649421	0.4089987	0.0704744
600	0.6916779	0.8078276	0.1500524	0.6367900	0.3907349	0.3700190	0.7555360	0.2239099	0.4479494	0.0384458
650	0.6941135	0.7338468	0.1301394	0.7019290	0.3864588	0.2648785	0.8340564	0.2485314	0.3581965	0.0292118
700	0.7893843	0.6907603	0.1618707	0.6008857	0.4402088	0.2471642	0.8196073	0.2428178	0.4930290	0.0590107
750	0.8297673	0.7641216	0.2017802	0.6664957	0.4220576	0.3682433	0.8124420	0.2261356	0.5948462	0.0149171
800	0.7771657	0.7354118	0.2122270	0.6841214	0.4438539	0.2595313	0.8707449	0.2118758	0.4366376	0.0354343
850	0.6682515	0.7292585	0.1262198	0.6420627	0.3863634	0.2740487	0.7101357	0.1855546	0.4165728	0.0364479
900	0.7938187	0.7601711	0.2251498	0.6969835	0.3714033	0.2462980	0.7504432	0.1802436	0.4753174	0.0416924
950	0.6595785	0.7756283	0.1734571	0.8764520	0.3241529	0.2711067	0.6905150	0.1546237	0.4383966	0.0513298
1000	0.6251365	0.8106556	0.2027416	0.6180570	0.2908023	0.3065236	0.8381015	0.2173637	0.3860406	0.0665785

0	0.8241757	0.7232756	0.1507103	0.7273860	0.4595600	0.3604785	0.7090676	0.1745697	0.4857997	0.0525434
50	0.5303625	0.8872166	0.1349289	0.7924145	0.5322064	0.3225117	0.7538780	0.1802914	0.5362546	0.0127709
100	0.5738607	0.6625518	0.1304616	0.6907199	0.4917955	0.3279168	0.7308049	0.2210452	0.4877049	0.0014498
150	0.4925803	0.7687627	0.2135892	0.8199779	0.4479522	0.3198616	0.6992951	0.2696295	0.6006174	0.0010654
200	0.4798090	0.7147784	0.1729283	0.5989257	0.3897117	0.2714713	0.9129486	0.2434661	0.5011179	0.0025221
250	0.5901689	0.6246328	0.2215514	0.7744068	0.3942587	0.3668408	0.6779209	0.2466455	0.5262142	0.0005006
300	0.5599565	0.8652960	0.2704098	0.5494052	0.3833899	0.2793847	0.6728058	0.2280094	0.4600137	0.0006053
350	0.6505929	0.6990221	0.2322683	0.7018155	0.2716917	0.4240752	0.7959853	0.2552616	0.4901697	0.0006630
400	0.5512155	0.7929788	0.2689980	0.7544242	0.3354778	0.3186916	0.7872951	0.2657737	0.4564520	0.0011349
450	0.5258525	0.7165503	0.1917751	0.6866562	0.3467958	0.3335970	0.7568654	0.2344104	0.6196934	0.0040581
500	0.5438509	0.8245188	0.2382301	0.6818763	0.2927371	0.2497982	0.6868788	0.2498332	0.3537266	0.0009350
550	0.6299083	0.7905816	0.3005276	0.6099483	0.3317393	0.2750200	0.7594282	0.1972436	0.4254317	0.0511746
600	0.7276582	0.7669777	0.2247268	0.6576263	0.3113796	0.2757845	0.6571829	0.1909813	0.5436117	0.0560860
650	0.7855484	0.7354227	0.2255110	0.5985375	0.2364369	0.2604125	0.7417139	0.1609679	0.4845396	0.0450109
700	0.8868701	0.7425169	0.1378344	0.6559028	0.3425679	0.3442771	0.6770250	0.1391688	0.3992686	0.0355876
750	0.7893443	0.7875829	0.1280638	0.8180718	0.3522936	0.3372834	0.7546736	0.0956423	0.5156041	0.0330003
800	0.6897278	0.7765354	0.1351295	0.7135296	0.3547963	0.3205823	0.9021595	0.1698427	0.4787086	0.0417009
850	0.8116516	0.6531457	0.2097667	0.7113918	0.4220520	0.3146142	0.7893724	0.1621758	0.4929432	0.0259405
900	0.8833933	0.7993889	0.1878202	0.7478761	0.3819898	0.2525477	0.7188260	0.1726899	0.4491332	0.0411905
950	0.6491645	0.7163029	0.1839570	0.6507895	0.3930869	0.2977874	0.6546784	0.2924445	0.4834433	0.0279186
1000	0.8002138	0.8841613	0.1741917	0.7994047	0.3825348	0.3307076	0.7319090	0.1558215	0.4899664	0.0283226

0	0.7271230	0.7679767	0.1455982	0.7284395	0.4249251	0.3346904	0.7161371	0.1718940	0.5397392	0.0485423
50	0.7187175	0.6416937	0.0731067	0.6346876	0.4737424	0.2026551	0.5458205	0.2049540	0.5977419	0.0591863
100	0.7802303	0.7151953	0.1264756	0.7699255	0.3935838	0.3268821	0.5167088	0.1574855	0.4195431	0.0429577
150	0.7095924	0.6092921	0.0507199	0.6453118	0.4457317	0.3481409	0.4666142	0.1521397	0.3790809	0.0455346
200	0.7518237	0.8576549	0.0747490	0.6724129	0.4567656	0.3974605	0.4363533	0.1923564	0.5455046	0.0306902
250	0.7289310	0.7413222	0.1258653	0.7984481	0.5093817	0.3065275	0.5007743	0.1404157	0.4043324	0.0270006
300	0.6673509	0.8011928	0.0823570	0.6290858	0.5282120	0.3470103	0.7774853	0.2329121	0.3940618	0.0334074
350	0.7604614	0.8061095	0.0899889	0.7069941	0.5373285	0.3160427	0.5037792	0.2589640	0.4844933	0.0358724
400	0.7265833	0.7377445	0.0861466	0.6902568	0.5624137	0.2863294	0.5290905	0.2322598	0.4846653	0.0381611
450	0.7918925	0.8130552	0.0587078	0.6395214	0.5525056	0.2869278	0.5208131	0.2132465	0.5040721	0.0428366
500	0.7471175	0.7390222	0.0672503	0.6948062	0.5463899	0.3211909	0.4243635	0.1794727	0.5792387	0.0534287
550	0.7602030	0.6293598	0.1317045	0.7553429	0.5484002	0.2969870	0.7511330	0.1396937	0.4808587	0.0564913
600	0.7994063	0.6917523	0.1759063	0.7249328	0.4733272	0.3043360	0.7147832	0.2057957	0.4493800	0.0481705
650	0.8416683	0.6814392	0.2312082	0.6911945	0.5191438	0.3693642	0.8515723	0.2210246	0.4997442	0.0322522
700	0.8277328	0.6538595	0.1719197	0.6808270	0.4669644	0.3336760	0.6981873	0.2202106	0.5269384	0.0538247
750	0.7919794	0.7682289	0.2063822	0.5803308	0.4270018	0.2999780	0.7442627	0.2482310	0.5770338	0.0282147
800	0.8396436	0.7991835	0.1892945	0.6647107	0.2492063	0.2676246	0.7077623	0.2507780	0.4645534	0.0488977
850	0.7381103	0.8207541	0.2254268	0.5873780	0.4565428	0.2732567	0.7556523	0.1633916	0.3988716	0.0391187
900	0.6243570	0.8391755	0.1784495	0.7205542	0.3550111	0.3720015	0.6300485	0.1999656	0.4450876	0.0377766
950	0.8491944	0.8651969	0.1888055	0.6919761	0.3622351	0.3488099	0.7470561	0.1653934	0.3778493	0.0305346
1000	0.8008561	0.5904882	0.1651473	0.6218434	0.4325374	0.2948229	0.7113957	0.2525621	0.4109389	0.0428863

0	0.7990039	0.7192326	0.1132065	0.6912999	0.3790634	0.2804445	0.6632218	0.1767500	0.5039973	0.0429290
50	0.8174234	0.6992221	0.1345731	0.6767345	0.4432444	0.4109917	0.7247852	0.2146086	0.5111907	0.0150653
100	0.9055362	0.7583917	0.1022853	0.7279106	0.4378099	0.5103510	0.6908841	0.1889662	0.2995135	0.0059399
150	0.6372156	0.6749891	0.1685472	0.7013121	0.3970081	0.3292717	0.7511511	0.1735678	0.3763334	0.0026541
200	0.8363016	0.6448463	0.2373317	0.6818345	0.4480847	0.4388843	0.6767357	0.2459228	0.4083135	0.0000096
250	0.7107936	0.7007126	0.1369496	0.7737408	0.3981762	0.4444349	0.8335006	0.1592928	0.4700552	0.0002810
300	0.7756766	0.9614276	0.1461056	0.6320827	0.4094772	0.4457054	0.6771700	0.1336959	0.2868127	0.0000904
350	0.8102501	0.7878209	0.1138596	0.8174385	0.3862823	0.4388960	0.7985435	0.1785020	0.4362063	0.0016683
400	0.6915379	0.8205940	0.1096751	0.7534776	0.3955883	0.4445086	0.7439969	0.1495094	0.3341618	0.0002188
450	0.5717632	0.7253698	0.1792374	0.7985355	0.3807696	0.4030397	0.6777919	0.1653851	0.4034209	0.0000518
500	0.5775965	0.7049425	0.1862441	0.8078632	0.5348300	0.2972135	0.6790406	0.1915945	0.4215713	0.0007269
550	0.7399952	0.7995865	0.1473959	0.7255377	0.4759946	0.4014107	0.7218733	0.1553693	0.4997788	0.0282462
600	0.8532485	0.8735481	0.2398621	0.7262019	0.4212703	0.3344348	0.6942650	0.2382380	0.4840897	0.0496438
650	0.7927779	0.9601430	0.1525130	0.6783057	0.3149064	0.3180540	0.7221201	0.1318413	0.4984227	0.0589657
700	0.6844169	0.7188415	0.2022955	0.7428634	0.3651164	0.3506451	0.8197802	0.1299610	0.3698960	0.0406182
750	0.7257074	0.7366708	0.1457554	0.6597072	0.4707063	0.3069419	0.7980259	0.2131453	0.3971765	0.0266439
800	0.7236610	0.7909212	0.2457975	0.6800541	0.4324627	0.2842688	0.5708114	0.2072293	0.4494261	0.0288906
850	0.8063110	0.9177804	0.1510936	0.8057698	0.3340109	0.3724167	0.7971335	0.1430066	0.5863967	0.0606500
900	0.6854010	0.9192086	0.2109695	0.7339240	0.4510396	0.3301760	0.7001067	0.1573110	0.4544782	0.0338278
950	0.8406522	0.6497785	0.2079967	0.6173212	0.3566633	0.3209335	0.7803956	0.2078189	0.4796838	0.0188361
1000	0.8221077	0.7856711	0.2180399	0.6612753	0.3800606	0.3165517	0.8068392	0.2847482	0.4842713	0.0351937

0	0.8532617	0.7649419	0.1671878	0.8131380	0.3773126	0.3376769	0.7911610	0.1464898	0.4892153	0.0283515
50	0.4987019	0.8177309	0.2130510	0.7818842	0.4717466	0.0848229	0.4221462	0.1689322	0.4661860	0.0436089
100	0.2677979	0.6648585	0.3498423	0.6298411	0.4946605	0.0536446	0.4043312	0.1120121	0.6069111	0.0347070
150	0.3253891	0.8728742	0.4323279	0.6005880	0.3568156	0.0474673	0.4345809	0.1516874	0.6186229	0.0319745
200	0.2135323	0.9096456	0.6040016	0.6605518	0.2708655	0.0598453	0.3793149	0.1761280	0.5453352	0.0426498
250	0.2865354	0.7841491	0.5168948	0.5542004	0.2796825	0.0710779	0.3153237	0.2091414	0.6083097	0.1303422
300	0.2771863	0.8229596	0.5315756	0.4044180	0.2735859	0.0525275	0.2688351	0.2941973	0.6315563	0.1969278
350	0.2569227	0.7994215	0.6549309	0.5346310	0.2443425	0.0359121	0.2762047	0.2343211	0.4156487	0.1206471
400	0.2510475	0.7225367	0.6239993	0.3911950	0.2720048	0.0329123	0.3459407	0.1898033	0.5234984	0.1336315
450	0.2159565	0.7133198	0.6518840	0.4353764	0.2385224	0.0403728	0.2738743	0.2952656	0.5711220	0.0963739
500	0.3930074	0.7667321	0.5316941	0.4310949	0.1867629	0.0319255	0.1852062	0.1746314	0.6257174	0.1043579
550	0.7629302	0.7125355	0.5964251	0.3981629	0.1057526	0.2144832	0.3831194	0.3221367	0.5449401	0.0740809
600	0.7859603	0.5842955	0.5961855	0.4180634	0.1052496	0.2633617	0.4103239	0.2812793	0.5794627	0.0539691
650	0.7747628	0.7078477	0.3356814	0.4082818	0.0990211	0.2057483	0.6100024	0.2488171	0.4663260	0.0829423
700	0.7452266	0.6492369	0.1983057	0.5398603	0.1474950	0.2036167	0.6778927	0.2263402	0.3884327	0.0645989
750	0.6849126	0.5853863	0.1908724	0.5958416	0.1593540	0.2658893	0.7074895	0.1638760	0.3652545	0.0493265
800	0.7829186	0.7583121	0.1057354	0.7189289	0.2312846	0.3086802	0.7722558	0.2495283	0.3843562	0.0338961
850	0.6791373	0.6662026	0.1272106	0.7174846	0.2958329	0.3497342	0.8003860	0.2291374	0.4315516	0.0284563
900	0.8677789	0.7425237	0.1812680	0.7014558	0.3711010	0.3314881	0.7593305	0.1456153	0.4474749	0.0319796
950	0.7188760	0.7979814	0.2685534	0.6574377	0.4302203	0.2539656	0.7096908	0.2152969	0.3832698	0.0375820
1000	0.6813019	0.6401082	0.2329653	0.5481630	0.3319521	0.3087531	0.7310085	0.2144721	0.4860729	0.0427309

0	0.7856790	0.7277194	0.1982212	0.6767807	0.3593493	0.3001114	0.6683767	0.2031418	0.5178151	0.0458551
50	0.8093154	0.6605137	0.1065833	0.6258414	0.6013944	0.3352612	0.7067327	0.0328568	0.4601302	0.0449076
100	0.7120182	0.6112479	0.1208293	0.5361889	0.4887700	0.2558451	0.8933651	0.0142081	0.4780562	0.0318337
150	0.7394324	0.8038622	0.2089845	0.5690191	0.5582571	0.2694585	0.7116191	0.0020984	0.4198718	0.0290039
200	0.7006006	0.7344448	0.2025346	0.5092480	0.4895461	0.2411187	0.7443214	0.0042104	0.3883915	0.0272038
