"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0554073	1.1116253	0.2263310	0.9474865	0.5283697	0.4162505	0.9166137	0.2126890	0.7651084	0.0699804
50	1.1761549	1.0433399	0.1420418	1.0093011	0.5566853	0.4970748	0.9494412	0.1945639	0.5266337	0.0256000
100	1.1067404	1.0331137	0.1235506	0.9667215	0.5868535	0.5965926	0.9170575	0.2362161	0.3123697	0.0148665
150	1.0989336	1.0493497	0.1002374	1.0066597	0.6182116	0.6555600	0.9937141	0.2350985	0.1914865	0.0046429
200	1.1520319	1.0229275	0.0971691	1.0301003	0.6533721	0.6225064	1.0077105	0.2316181	0.1037586	0.0010181
250	1.0789470	1.0858160	0.0996400	0.9477035	0.6961653	0.5789587	1.0214000	0.2319585	0.0860700	0.0036259
300	1.0277362	1.0224652	0.0991388	0.9154262	0.6748645	0.6159885	0.9917168	0.2429429	0.0944197	0.0000000
350	0.9663576	0.9827784	0.1046566	0.9566387	0.6975822	0.6289958	0.9872848	0.2298709	0.1003598	0.0023573
400	0.9766747	0.9371842	0.1580246	0.9504565	0.6331351	0.6006854	0.9950122	0.2068474	0.1058193	0.0026141
450	0.9489589	0.9708145	0.1838823	0.9466609	0.6213755	0.6068416	1.0036604	0.2596435	0.0773152	0.0012845
500	1.0060076	1.0284586	0.1848897	0.9454390	0.5774825	0.7221548	1.0130516	0.2767460	0.0805947	0.0027912
550	0.9999187	1.0858328	0.1959565	0.9152010	0.5430853	0.5793156	1.0183527	0.2242095	0.2168690	0.0212860
600	1.0178938	1.0017486	0.2324178	0.9893919	0.4722788	0.4650105	0.9753210	0.2315727	0.4067329	0.0574603
650	0.9828244	0.8668142	0.2113116	0.9264844	0.4980544	0.4054305	1.0605835	0.2419192	0.5271757	0.0586442
700	1.0505052	0.9378763	0.1872285	1.0019990	0.4954412	0.4120784	1.0535290	0.2583217	0.5519515	0.0565002
750	0.9422314	1.0012483	0.1721202	1.0097894	0.5397834	0.3809007	1.0671247	0.2704987	0.5641520	0.0605003
800	0.9629017	1.0077025	0.1853285	0.9452361	0.5102639	0.4460598	1.0786940	0.2277910	0.7253785	0.0591069
850	1.0189236	1.0595346	0.2325510	0.9857143	0.5699455	0.4592210	1.0683909	0.2563217	0.6543291	0.0473882
900	0.9907479	1.0152342	0.1950369	1.0127630	0.5126364	0.4851112	1.0825292	0.2608926	0.7018279	0.0882456
950	0.9606645	0.9965320	0.2303696	0.9256122	0.4964765	0.5379306	1.1016344	0.2716139	0.8233343	0.0753308
1000	0.9164266	1.0369527	0.2615932	0.8862066	0.5264561	0.5354229	1.0522776	0.2431654	0.7733375	0.0589973

0	1.0554073	1.1116253	0.2263310	0.9474865	0.5283697	0.4162505	0.9166137	0.2126890	0.7651084	0.0699804
50	1.0182013	1.0388285	0.2157665	0.9044768	0.6065368	0.3751212	1.1004082	0.1840126	0.6951042	0.0486551
100	1.1645362	0.9460557	0.1859089	0.9019351	0.7434024	0.4189853	1.0674751	0.0936240	0.6931016	0.0554144
