"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	1.0000000	0.9998147	0.1790285	0.9232212	0.5279424	0.5858050	0.9953260	0.2440939	0.3055458	0.0151175
100	1.0000000	0.9998801	0.1616660	0.9223743	0.5446184	0.6322537	0.9953487	0.2440603	0.1641931	0.0045803
150	1.0000000	0.9998896	0.1555806	0.9270314	0.5657837	0.6455886	0.9953895	0.2440364	0.1051938	0.0018758
200	1.0000000	0.9998910	0.1534478	0.9311817	0.5843364	0.6499502	0.9954353	0.2440243	0.0807188	0.0011816
250	1.0000000	0.9998912	0.1527002	0.9338253	0.5978186	0.6517278	0.9954729	0.2440190	0.0706502	0.0010035
300	1.0000000	0.9998913	0.1524382	0.9352969	0.6065796	0.6525967	0.9954982	0.2440169	0.0665478	0.0009577
350	1.0000000	0.9998913	0.1523464	0.9360584	0.6118702	0.6530554	0.9955132	0.2440161	0.0648937	0.0009460
400	1.0000000	0.9998913	0.1523142	0.9364348	0.6149055	0.6532992	0.9955214	0.2440158	0.0642344	0.0009430
450	1.0000000	0.9998913	0.1523030	0.9366150	0.6165827	0.6534260	0.9955257	0.2440157	0.0639749	0.0009422
500	1.0000000	0.9998913	0.1522990	0.9366993	0.6174833	0.6534902	0.9955278	0.2440157	0.0638742	0.0009420
550	1.0000000	0.9994415	0.2018357	0.9616378	0.6126261	0.4890244	0.9955632	0.2440314	0.4008780	0.0419963
600	1.0000000	0.9993760	0.2191977	0.9636052	0.5946754	0.4427531	0.9955976	0.2440650	0.5463936	0.0525335
650	1.0000000	0.9993665	0.2252829	0.9591057	0.5731875	0.4295802	0.9955605	0.2440889	0.6081748	0.0552381
700	1.0000000	0.9993651	0.2274157	0.9544876	0.5551967	0.4252936	0.9954892	0.2441010	0.6328368	0.0559322
750	1.0000000	0.9993649	0.2281632	0.9513049	0.5424853	0.4234848	0.9954240	0.2441062	0.6416733	0.0561104
800	1.0000000	0.9993649	0.2284252	0.9494404	0.5343502	0.4225310	0.9953787	0.2441083	0.6442533	0.0561561
850	1.0000000	0.9993649	0.2285170	0.9484426	0.5294732	0.4219859	0.9953515	0.2441091	0.6446402	0.0561679
900	1.0000000	0.9993649	0.2285492	0.9479385	0.5266828	0.4216774	0.9953366	0.2441094	0.6444166	0.0561709
950	1.0000000	0.9993649	0.2285605	0.9476937	0.5251413	0.4215094	0.9953289	0.2441095	0.6441229	0.0561716
1000	1.0000000	0.9993649	0.2285645	0.9475780	0.5243126	0.4214215	0.9953251	0.2441096	0.6439006	0.0561718

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	1.0000000	0.9993649	0.2285666	0.9474773	0.6941579	0.4213323	0.9953216	0.0615292	0.6435585	0.0561719
100	1.0000000	0.9993649	0.2285666	0.9474791	0.7735074	0.4213344	0.9953216	0.0168032	0.6435746	0.0561719
150	1.0000000	0.9993649	0.2285666	0.9474799	0.8103582	0.4213354	0.9953217	0.0058468	0.6435822	0.0561719
200	1.0000000	0.9993649	0.2285666	0.9474802	0.8274722	0.4213358	0.9953217	0.0031628	0.6435856	0.0561719
250	1.0000000	0.9993649	0.2285666	0.9474804	0.8354200	0.4213359	0.9953217	0.0025054	0.6435872	0.0561719
300	1.0000000	0.9993649	0.2285666	0.9474804	0.8391111	0.4213360	0.9953217	0.0023443	0.6435880	0.0561719
350	1.0000000	0.9993649	0.2285666	0.9474805	0.8408253	0.4213361	0.9953217	0.0023048	0.6435883	0.0561719
400	1.0000000	0.9993649	0.2285666	0.9474805	0.8416214	0.4213361	0.9953217	0.0022952	0.6435885	0.0561719
450	1.0000000	0.9993649	0.2285666	0.9474805	0.8419911	0.4213361	0.9953217	0.0022928	0.6435885	0.0561719
500	1.0000000	0.9993649	0.2285666	0.9474805	0.8421628	0.4213361	0.9953217	0.0022922	0.6435886	0.0561719
550	1.0000000	0.9993649	0.2285666	0.9474805	0.6714472	0.4213361	0.9953217	0.1848725	0.6435886	0.0561719
600	1.0000000	0.9993649	0.2285666	0.9474805	0.5921658	0.4213361	0.9953217	0.2295985	0.6435886	0.0561719
650	1.0000000	0.9993649	0.2285666	0.9474805	0.5553471	0.4213361	0.9953217	0.2405549	0.6435886	0.0561719
700	1.0000000	0.9993649	0.2285666	0.9474805	0.5382482	0.4213361	0.9953217	0.2432388	0.6435886	0.0561719
750	1.0000000	0.9993649	0.2285666	0.9474805	0.5303074	0.4213361	0.9953217	0.2438963	0.6435886	0.0561719
800	1.0000000	0.9993649	0.2285666	0.9474805	0.5266196	0.4213361	0.9953217	0.2440574	0.6435886	0.0561719
