"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	0.7780085	0.7585525	0.2108112	0.7758415	0.3522557	0.3406674	0.6713594	0.1831254	0.5347901	0.0278792
50	0.9614969	0.8337858	0.0838337	0.6617889	0.5082285	0.3433476	0.7441355	0.1456452	0.3635569	0.0199738
100	0.9521285	0.7309426	0.0796045	0.7683708	0.5162992	0.4462318	0.6620096	0.1873798	0.2226263	0.0085695
150	0.8126592	0.7435048	0.1015197	0.7927805	0.5255545	0.4606596	0.8215337	0.1496822	0.0942205	0.0010532
200	0.9223945	0.7582677	0.0771944	0.7874298	0.4630952	0.4459194	0.6577549	0.1747779	0.0683900	0.0003917
250	0.9179339	0.8447434	0.0486882	0.7268709	0.4082801	0.3821596	0.7194199	0.2179960	0.0615516	0.0035123
300	0.7316852	0.7317237	0.0732964	0.6625722	0.4780798	0.4684692	0.7148619	0.1943054	0.0890836	0.0000000
350	0.7546516	0.9460155	0.0742274	0.7342174	0.5223843	0.4262223	0.9125357	0.1799436	0.0576710	0.0004182
400	0.7515284	0.7097290	0.1233959	0.7322601	0.5268539	0.3870450	0.8247904	0.1541904	0.0798546	0.0024704
450	0.7217520	0.6279837	0.1533981	0.5698809	0.5354913	0.5406171	0.6927312	0.2119321	0.0496432	0.0003957
500	0.6963350	0.7959895	0.1204015	0.7019419	0.4362670	0.4640721	0.8400326	0.2197110	0.0594112	0.0011845
550	0.6673638	0.9671472	0.1308238	0.6542819	0.3433509	0.4288440	0.7402459	0.1117045	0.1593226	0.0243470
600	0.6887862	0.7453433	0.1472338	0.7475258	0.3002003	0.3331211	0.7435294	0.1832083	0.3113145	0.0471935
650	0.7291707	0.5482347	0.1649097	0.5896414	0.3315723	0.2647267	0.7527751	0.1925749	0.3696514	0.0386706
700	0.8137004	0.6551783	0.1848015	0.7088149	0.3505824	0.2955789	0.7863397	0.2061815	0.3508635	0.0258180
750	0.6744006	0.7384309	0.1289418	0.7418067	0.3611370	0.3356831	0.6831017	0.2463699	0.3555755	0.1251621
800	0.6870815	0.7362781	0.1081535	0.7621731	0.3092545	0.2955697	0.8018649	0.1627101	0.4899007	0.0773892
850	0.8420661	0.7515216	0.2120623	0.6987632	0.4616472	0.3038514	0.7109855	0.1883428	0.4476190	0.0515080
900	0.7547353	0.6985617	0.1579397	0.8599745	0.3788573	0.2821192	0.9213230	0.2072801	0.5281812	0.0770995
950	0.6827283	0.5671804	0.1549318	0.6876619	0.4007320	0.3898918	0.7616461	0.2311583	0.6304159	0.0426645
1000	0.6817359	0.6551614	0.1869392	0.5723923	0.3483805	0.3659523	0.7359425	0.1971107	0.5627733	0.0215939

0	0.7051318	0.7591307	0.1164722	0.6635057	0.4305723	0.2369375	0.7121481	0.1639172	0.6585195	0.0577283
50	0.7775125	0.7332076	0.2007663	0.6424294	0.4273121	0.2724895	0.8424542	0.1331158	0.5328459	0.0332861
100	0.9161441	0.9142437	0.1715957	0.6265335	0.5107157	0.3357984	0.9105739	0.0730378	0.4845405	0.0460267
150	0.8539961	0.6975688	0.1149517	0.7503941	0.6490416	0.3186078	0.7940393	0.0353851	0.4110082	0.0409274
200	0.8311052	0.7199633	0.1275528	0.7947033	0.6218302	0.2624769	0.7340493	0.0215539	0.5670938	0.0498176
250	0.7444997	0.5016732	0.1209708	0.8087782	0.5123744	0.3792773	0.7472811	0.0038389	0.5192895	0.0293080
300	0.7926683	0.6867665	0.1545931	0.7132437	0.7017431	0.3589162	0.8225643	0.0058049	0.4780363	0.0476314
350	0.6246164	0.5540909	0.1617989	0.7471871	0.5671891	0.2702006	0.8597168	0.0024760	0.5921697	0.0444913
400	0.7454756	0.6796206	0.1788889	0.7917955	0.5797679	0.3005592	0.7955919	0.0014900	0.6003340	0.0369118
450	0.7003117	0.7819108	0.1765076	0.7381156	0.6461982	0.3929344	0.8583329	0.0017205	0.6303165	0.0629328
500	0.6675034	0.7014256	0.1778065	0.7181691	0.6976321	0.2678378	0.7175295	0.0089448	0.5889228	0.0421808
550	0.7016961	0.8178105	0.1832130	0.7530155	0.6829927	0.3002143	0.8785375	0.0637202	0.6522546	0.0924111
600	0.6274216	0.6712583	0.2409105	0.6818882	0.4367116	0.3119412	0.8259941	0.1053760	0.4511376	0.0441778
650	0.8342882	0.7924530	0.2576595	0.6658629	0.4044287	0.3031513	0.7696010	0.1965125	0.4818916	0.0162085
700	0.6872333	0.7572234	0.2073838	0.7224249	0.4186317	0.2806753	0.6692571	0.1917992	0.4709265	0.0464737
750	0.7205819	0.7293080	0.1957825	0.6815370	0.3601372	0.2606973	0.8881113	0.1757489	0.4521832	0.0645991
800	0.6793456	0.7282865	0.2719727	0.6745438	0.3514059	0.2952844	0.7259455	0.2408131	0.4996814	0.0736035
850	0.8392612	0.7069785	0.1621101	0.6956628	0.2818253	0.3759449	0.7045689	0.2350252	0.4603925	0.0541391
900	0.8847561	0.7308083	0.1717941	0.7686320	0.3865068	0.3505448	0.7892873	0.1985243	0.5829364	0.0993352
950	0.7401477	0.6635221	0.1527157	0.7732191	0.4116044	0.3749300	0.7931539	0.1678910	0.6254804	0.0702012
1000	0.6943151	0.7398044	0.1988835	0.7219003	0.3756248	0.3286535	0.8451880	0.2256768	0.4515125	0.0325469

0	0.8967370	0.9364811	0.1724763	0.7964604	0.3452111	0.2851185	0.7014673	0.1454069	0.6482993	0.0362546
50	0.8627831	0.7577326	0.1687763	0.5966434	0.3763569	0.3908478	0.7745937	0.1639117	0.5816439	0.0368943
100	0.8647202	0.7091180	0.1911220	0.7161195	0.5324165	0.2152577	0.7068538	0.2130471	0.4897030	0.0470493
150	0.7948905	0.7825659	0.1444354	0.7558101	0.4625986	0.2732164	0.7749568	0.2267873	0.5131928	0.0415038
200	0.7455406	0.6951468	0.1507666	0.5782077	0.3657232	0.3641632	0.7153429	0.2473652	0.4849719	0.0542079
250	0.7612940	0.7303114	0.1534811	0.6826229	0.3622552	0.2973783	0.8258932	0.1714992	0.4542173	0.0323770
300	0.6551761	0.6266817	0.1188696	0.7899684	0.4953835	0.2502481	0.6285864	0.2097026	0.5449350	0.0158395
350	0.7453477	0.8675729	0.1719974	0.7010032	0.4698671	0.2912998	0.6471083	0.2957997	0.4409361	0.0278776
400	0.7659013	0.6497200	0.1887004	0.6309912	0.4385596	0.3859787	0.7592849	0.2081205	0.4908991	0.0582565
450	0.8505686	0.8852171	0.1736276	0.7506305	0.3440772	0.2760764	0.9066238	0.2498118	0.4123783	0.0434281
500	0.8379941	0.8441548	0.1780543	0.8688893	0.4531609	0.4024660	0.6971060	0.1622874	0.3772547	0.0569721
550	0.7546243	0.6431244	0.2183981	0.6884875	0.4595873	0.4199967	0.7752277	0.2873724	0.4691044	0.0609575
600	0.6849239	0.6323763	0.2128409	0.6635044	0.4582213	0.2859504	0.6772845	0.1974218	0.4342937	0.0770627
