"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2117664	0.9483355	0.5241587	0.4213180	0.9953384	0.2064358	0.6435363	0.0369877
100	1.0000000	0.9993649	0.1897709	0.9530716	0.5317407	0.4214724	0.9954210	0.1639252	0.6440174	0.0172696
150	1.0000000	0.9993649	0.1751666	0.9596855	0.5465011	0.4219919	0.9955257	0.1396413	0.6456488	0.0072877
200	1.0000000	0.9993649	0.1670960	0.9652905	0.5640014	0.4228499	0.9956130	0.1279118	0.6483620	0.0030890
250	1.0000000	0.9993649	0.1630036	0.9690376	0.5800467	0.4238036	0.9956742	0.1226292	0.6514002	0.0014668
300	1.0000000	0.9993649	0.1610282	0.9712324	0.5926358	0.4246400	0.9957129	0.1203310	0.6540816	0.0008694
350	1.0000000	0.9993649	0.1601042	0.9724171	0.6015385	0.4252685	0.9957355	0.1193496	0.6561071	0.0006558
400	1.0000000	0.9993649	0.1596812	0.9730228	0.6073856	0.4256930	0.9957480	0.1189347	0.6574802	0.0005810
450	1.0000000	0.9993649	0.1594905	0.9733207	0.6110201	0.4259581	0.9957546	0.1187604	0.6583404	0.0005551
500	1.0000000	0.9993649	0.1594054	0.9734631	0.6131854	0.4261141	0.9957580	0.1186874	0.6588481	0.0005462
550	1.0000000	0.9993649	0.1761702	0.9728651	0.6132787	0.4261977	0.9957551	0.1563335	0.6591198	0.0197275
600	1.0000000	0.9993649	0.1981480	0.9689383	0.6057357	0.4261411	0.9957200	0.1988297	0.6589232	0.0394445
650	1.0000000	0.9993649	0.2127446	0.9628236	0.5905997	0.4257573	0.9956434	0.2231077	0.6576405	0.0494260
700	1.0000000	0.9993649	0.2208118	0.9571125	0.5730812	0.4250251	0.9955494	0.2348347	0.6552346	0.0536247
750	1.0000000	0.9993649	0.2249027	0.9529836	0.5574052	0.4241260	0.9954659	0.2401162	0.6523289	0.0552468
800	1.0000000	0.9993649	0.2268775	0.9504179	0.5453289	0.4232707	0.9954054	0.2424139	0.6496054	0.0558442
850	1.0000000	0.9993649	0.2278012	0.9489722	0.5368962	0.4225835	0.9953672	0.2433952	0.6474441	0.0560578
900	1.0000000	0.9993649	0.2282241	0.9482106	0.5314034	0.4220936	0.9953452	0.2438100	0.6459185	0.0561326
950	1.0000000	0.9993649	0.2284148	0.9478279	0.5280068	0.4217741	0.9953334	0.2439843	0.6449308	0.0561585
1000	1.0000000	0.9993649	0.2284998	0.9476423	0.5259896	0.4215793	0.9953273	0.2440573	0.6443320	0.0561674

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2285687	0.9474742	0.5231551	0.4213120	0.9953214	0.2441125	0.6388058	0.0370524
100	1.0000000	0.9993649	0.2285675	0.9474778	0.5232863	0.4213248	0.9953216	0.2441108	0.6332967	0.0174008
150	1.0000000	0.9993649	0.2285670	0.9474793	0.5233536	0.4213308	0.9953216	0.2441101	0.6300158	0.0074526
200	1.0000000	0.9993649	0.2285668	0.9474800	0.5233878	0.4213337	0.9953217	0.2441098	0.6283774	0.0032680
250	1.0000000	0.9993649	0.2285667	0.9474803	0.5234050	0.4213350	0.9953217	0.2441097	0.6276201	0.0016513
300	1.0000000	0.9993649	0.2285666	0.9474804	0.5234136	0.4213356	0.9953217	0.2441096	0.6272840	0.0010559
350	1.0000000	0.9993649	0.2285666	0.9474804	0.5234179	0.4213359	0.9953217	0.2441096	0.6271383	0.0008430
