"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0162036	0.7882873	0.7578586	0.6548854	0.2832712	0.0071272	0.7069049	0.0183596	0.6380679	0.0155157
50	0.0025863	0.6803114	0.6696404	0.6325561	0.2335155	0.0006922	0.7244153	0.0139233	0.7484892	0.0044483
100	0.0046310	0.6935670	0.7351385	0.6901264	0.2501385	0.0007938	0.6939786	0.0090359	0.6035633	0.0096955
150	0.0001988	0.7443564	0.6361208	0.8416107	0.1870867	0.0046745	0.5401878	0.0034476	0.5864753	0.0108941
200	0.0011848	0.6749712	0.8031232	0.6469438	0.2381461	0.0200507	0.5103654	0.0023173	0.6362247	0.0062857
250	0.0012658	0.6080909	0.7331500	0.5875274	0.2328710	0.0021442	0.5152571	0.0058086	0.7068184	0.0237216
300	0.0002308	0.5982620	0.7782100	0.6357989	0.2671059	0.0059151	0.5164036	0.0016872	0.6279406	0.0090954
350	0.0004768	0.6897683	0.5748495	0.7151212	0.2532212	0.0089653	0.5355289	0.0110880	0.7386403	0.0074846
400	0.0000124	0.7475091	0.7612505	0.5682391	0.2095039	0.0043069	0.5456182	0.0026967	0.6790764	0.0133080
450	0.0000002	0.6916283	0.6841283	0.6199154	0.2812808	0.0021149	0.5637897	0.0003613	0.6306189	0.0115687
500	0.0001085	0.7586341	0.7892867	0.6328804	0.1858411	0.0061175	0.5195993	0.0006432	0.7291788	0.0137097
550	0.0083410	0.6363379	0.5722655	0.7084387	0.1901929	0.0050847	0.5010666	0.0145242	0.6067964	0.0032109
600	0.0171095	0.7116644	0.8013357	0.6565823	0.3114912	0.0026722	0.5762021	0.0044026	0.6063580	0.0122762
650	0.0100934	0.7660773	0.6032849	0.6954525	0.2373197	0.0020605	0.6039327	0.0129781	0.6603517	0.0077008
700	0.0069611	0.6984328	0.5945884	0.6777577	0.2220636	0.0075777	0.5743902	0.0081329	0.5744974	0.0190725
750	0.0055030	0.6662515	0.6254381	0.6616441	0.2766995	0.0126682	0.5088127	0.0099863	0.5578361	0.0040036
800	0.0145764	0.5451987	0.7122728	0.6322267	0.2334948	0.0070751	0.5980850	0.0081130	0.6225698	0.0068746
850	0.0024268	0.6444952	0.7591730	0.7419069	0.2448739	0.0302744	0.5395894	0.0253649	0.6129447	0.0113326
900	0.0031875	0.7198761	0.6297361	0.7867920	0.3153988	0.0069681	0.4545678	0.0116080	0.6587225	0.0077721
950	0.0074490	0.8549468	0.6782905	0.7173758	0.2657519	0.0102664	0.4355575	0.0231761	0.6840417	0.0082946
1000	0.0125367	0.6870129	0.7502649	0.6402093	0.2594403	0.0066353	0.4127912	0.0124391	0.6902068	0.0100176

0	0.0168937	0.7619041	0.8367610	0.6509611	0.2982223	0.0172511	0.4743433	0.0216567	0.6942430	0.0178944
50	0.0116809	0.7696918	0.7843973	0.5977695	0.3279159	0.4029100	0.4812840	0.0071213	0.7580554	0.0191416
100	0.0087476	0.8466867	0.6758271	0.8178246	0.2586877	0.6352467	0.5830871	0.0198757	0.8179148	0.0241865
150	0.0150400	0.6832859	0.7617052	0.6507668	0.2993596	0.6711489	0.5560412	0.0176363	0.8606150	0.0148027
200	0.0081330	0.7210899	0.6687284	0.6835384	0.2502527	0.6514533	0.4663776	0.0065689	0.6857366	0.0238721
250	0.0129554	0.7549390	0.6953564	0.7177798	0.3703664	0.6150095	0.5637157	0.0176834	0.6350486	0.0096038
300	0.0142094	0.7446292	0.6699837	0.6894882	0.3883934	0.6293224	0.5324620	0.0065569	0.5849985	0.0380693
350	0.0088692	0.8117497	0.6286480	0.6692195	0.2653261	0.5730226	0.4931886	0.0044457	0.6584780	0.0082143
400	0.0034867	0.7656890	0.7132349	0.7285656	0.2768432	0.5813885	0.4750637	0.0108248	0.6752348	0.0171528
450	0.0102131	0.7269037	0.7577120	0.8957875	0.1948751	0.5965146	0.3887271	0.0300408	0.5849786	0.0280538
500	0.0111135	0.7549761	0.6830200	0.5898012	0.2428249	0.6498588	0.4940066	0.0083557	0.6545315	0.0147119
550	0.0101714	0.7009879	0.8029941	0.6607944	0.3329912	0.1921157	0.4653160	0.0154034	0.5685439	0.0117013
600	0.0100036	0.7194060	0.7764559	0.6937180	0.2227679	0.1237319	0.6673902	0.0269853	0.6788576	0.0197372
