"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0038294	1.0000000	1.0000000	0.9992747	0.3799654	0.0085437	0.7939026	0.0117542	0.9461512	0.0170370
100	0.0011555	1.0000000	1.0000000	0.9997331	0.3799202	0.0085436	0.8006713	0.0073999	0.9529106	0.0170366
150	0.0003504	1.0000000	1.0000000	0.9999201	0.3798535	0.0085436	0.8035811	0.0045205	0.9548496	0.0170365
200	0.0001080	1.0000000	1.0000000	0.9999772	0.3798024	0.0085436	0.8048319	0.0032290	0.9554058	0.0170365
250	0.0000350	1.0000000	1.0000000	0.9999935	0.3797735	0.0085436	0.8053697	0.0027504	0.9555653	0.0170365
300	0.0000130	1.0000000	1.0000000	0.9999982	0.3797598	0.0085436	0.8056008	0.0025920	0.9556111	0.0170365
350	0.0000064	1.0000000	1.0000000	0.9999995	0.3797538	0.0085436	0.8057002	0.0025432	0.9556242	0.0170365
400	0.0000044	1.0000000	1.0000000	0.9999999	0.3797514	0.0085436	0.8057429	0.0025289	0.9556280	0.0170365
450	0.0000038	1.0000000	1.0000000	1.0000000	0.3797505	0.0085436	0.8057613	0.0025248	0.9556291	0.0170365
500	0.0000036	1.0000000	1.0000000	1.0000000	0.3797502	0.0085436	0.8057692	0.0025236	0.9556294	0.0170365
550	0.0088691	1.0000000	1.0000000	0.9999930	0.3797501	0.0085436	0.7900276	0.0037244	0.9320669	0.0170365
600	0.0115388	1.0000000	1.0000000	0.9998583	0.3797534	0.0085436	0.7832605	0.0074236	0.9253079	0.0170366
650	0.0123447	1.0000000	1.0000000	0.9995597	0.3797745	0.0085436	0.7803515	0.0106305	0.9233688	0.0170368
700	0.0125910	1.0000000	1.0000000	0.9992819	0.3798181	0.0085436	0.7791009	0.0124353	0.9228122	0.0170371
750	0.0126687	1.0000000	1.0000000	0.9991090	0.3798684	0.0085437	0.7785633	0.0132662	0.9226524	0.0170372
800	0.0126946	1.0000000	1.0000000	0.9990216	0.3799099	0.0085437	0.7783321	0.0136095	0.9226065	0.0170373
850	0.0127038	1.0000000	1.0000000	0.9989823	0.3799377	0.0085437	0.7782328	0.0137430	0.9225933	0.0170373
900	0.0127073	1.0000000	1.0000000	0.9989658	0.3799538	0.0085437	0.7781901	0.0137933	0.9225895	0.0170373
950	0.0127087	1.0000000	1.0000000	0.9989592	0.3799623	0.0085437	0.7781717	0.0138120	0.9225885	0.0170373
1000	0.0127092	1.0000000	1.0000000	0.9989565	0.3799664	0.0085437	0.7781638	0.0138189	0.9225881	0.0170373

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.6052311	0.7781576	0.0138240	0.9225880	0.0170373
100	0.0127096	1.0000000	1.0000000	0.9989547	0.3799702	0.8166680	0.7781577	0.0138235	0.9225880	0.0170373
150	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.8915910	0.7781578	0.0138233	0.9225880	0.0170373
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.9181400	0.7781578	0.0138232	0.9225880	0.0170373
250	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9275477	0.7781579	0.0138232	0.9225880	0.0170373
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9308813	0.7781579	0.0138232	0.9225880	0.0170373
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9320626	0.7781579	0.0138232	0.9225880	0.0170373
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9324812	0.7781579	0.0138232	0.9225880	0.0170373
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9326295	0.7781579	0.0138232	0.9225880	0.0170373
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.9326821	0.7781579	0.0138232	0.9225880	0.0170373
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.3360132	0.7781579	0.0138232	0.9225880	0.0170373
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.1245829	0.7781579	0.0138232	0.9225880	0.0170373
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0496623	0.7781579	0.0138232	0.9225880	0.0170373
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0231141	0.7781579	0.0138232	0.9225880	0.0170373
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0137067	0.7781579	0.0138232	0.9225880	0.0170373
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0103732	0.7781579	0.0138232	0.9225880	0.0170373
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0091920	0.7781579	0.0138232	0.9225880	0.0170373
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0087734	0.7781579	0.0138232	0.9225880	0.0170373
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0086251	0.7781579	0.0138232	0.9225880	0.0170373
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085725	0.7781579	0.0138232	0.9225880	0.0170373

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127113	1.0000000	0.9702746	0.9989585	0.3799708	0.0085437	0.7781576	0.0138242	0.9225880	0.0170373
100	0.0127154	1.0000000	0.9646691	0.9989691	0.3799695	0.0085437	0.7781577	0.0138253	0.9225880	0.0170373
150	0.0127192	1.0000000	0.9636121	0.9989780	0.3799678	0.0085437	0.7781578	0.0138285	0.9225880	0.0170373
200	0.0127217	1.0000000	0.9634128	0.9989834	0.3799661	0.0085437	0.7781578	0.0138322	0.9225880	0.0170373
250	0.0127230	1.0000000	0.9633752	0.9989860	0.3799647	0.0085437	0.7781579	0.0138353	0.9225880	0.0170373
300	0.0127237	1.0000000	0.9633681	0.9989872	0.3799638	0.0085437	0.7781579	0.0138373	0.9225880	0.0170373
350	0.0127240	1.0000000	0.9633668	0.9989877	0.3799633	0.0085437	0.7781579	0.0138385	0.9225880	0.0170373
400	0.0127241	1.0000000	0.9633665	0.9989879	0.3799631	0.0085437	0.7781579	0.0138391	0.9225880	0.0170373
450	0.0127242	1.0000000	0.9633665	0.9989879	0.3799629	0.0085437	0.7781579	0.0138394	0.9225880	0.0170373
500	0.0127242	1.0000000	0.9633665	0.9989880	0.3799629	0.0085437	0.7781579	0.0138396	0.9225880	0.0170374
550	0.0127223	1.0000000	0.9930919	0.9989833	0.3799629	0.0085437	0.7781579	0.0138395	0.9225880	0.0170373
600	0.0127177	1.0000000	0.9986973	0.9989723	0.3799637	0.0085437	0.7781579	0.0138376	0.9225880	0.0170373
650	0.0127139	1.0000000	0.9997543	0.9989636	0.3799652	0.0085437	0.7781579	0.0138339	0.9225880	0.0170373
700	0.0127117	1.0000000	0.9999537	0.9989588	0.3799669	0.0085437	0.7781579	0.0138300	0.9225880	0.0170373
750	0.0127106	1.0000000	0.9999913	0.9989565	0.3799681	0.0085437	0.7781579	0.0138271	0.9225880	0.0170373
800	0.0127101	1.0000000	0.9999984	0.9989555	0.3799689	0.0085437	0.7781579	0.0138252	0.9225880	0.0170373
850	0.0127098	1.0000000	0.9999997	0.9989551	0.3799694	0.0085437	0.7781579	0.0138242	0.9225880	0.0170373
900	0.0127097	1.0000000	0.9999999	0.9989550	0.3799696	0.0085437	0.7781579	0.0138237	0.9225880	0.0170373
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799697	0.0085437	0.7781579	0.0138234	0.9225880	0.0170373
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781579	0.0138233	0.9225880	0.0170373

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127343	1.0000000	0.6654561	0.9990109	0.3799701	0.0085437	0.7781576	0.0138260	0.9225880	0.0170373
100	0.0128713	1.0000000	0.6023700	0.9992177	0.3799588	0.0085437	0.7781577	0.0138589	0.9225880	0.0170374
150	0.0131514	1.0000000	0.5904737	0.9994395	0.3799296	0.0085437	0.7781578	0.0139855	0.9225880	0.0170374
200	0.0134800	1.0000000	0.5882304	0.9995766	0.3798922	0.0085437	0.7781578	0.0142329	0.9225878	0.0170374
250	0.0137459	1.0000000	0.5878074	0.9996392	0.3798604	0.0085437	0.7781578	0.0145466	0.9225877	0.0170375
300	0.0139166	1.0000000	0.5877276	0.9996612	0.3798396	0.0085437	0.7781578	0.0148407	0.9225875	0.0170376
350	0.0140117	1.0000000	0.5877125	0.9996658	0.3798285	0.0085437	0.7781578	0.0150639	0.9225874	0.0170376
400	0.0140604	1.0000000	0.5877097	0.9996646	0.3798234	0.0085437	0.7781578	0.0152098	0.9225873	0.0170377
