"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0005904	0.9535484	0.3849670	0.4412259	0.3786130	0.0119668	0.8159086	0.0098536	0.8655010	0.0127205
100	0.0000534	0.9912558	0.3165131	0.3277865	0.5510292	0.0109560	0.7536370	0.0038117	1.0055319	0.0128807
150	0.0025106	0.9672730	0.2313608	0.3053753	0.6046547	0.0159869	0.7342123	0.0038115	0.9717448	0.0168673
200	0.0029485	1.0164748	0.2855897	0.2440480	0.5871884	0.0025996	0.7851484	0.0072410	1.0281810	0.0264429
250	0.0076521	0.9326789	0.2436316	0.2423795	0.6409826	0.0045684	0.7713259	0.0103083	1.0829762	0.0159684
300	0.0115195	0.9793927	0.2800031	0.2129796	0.7601503	0.0105965	0.7554157	0.0002824	1.0025604	0.0192058
350	0.0194671	1.0246036	0.3106151	0.2202278	0.7196951	0.0065661	0.7568087	0.0048266	0.8702393	0.0093197
400	0.0186485	0.9215411	0.2748934	0.2170531	0.7730486	0.0067205	0.7987790	0.0047108	0.9752736	0.0144327
450	0.0195508	0.9933754	0.2548093	0.2287171	0.7317560	0.0083728	0.8656547	0.0043244	0.8780585	0.0237429
500	0.0171491	1.0223563	0.2822361	0.2678381	0.7308391	0.0077278	0.8483602	0.0076181	0.8638716	0.0196812
550	0.0599819	1.1163500	0.7896715	0.7791680	0.6741471	0.0102421	0.8064522	0.0081907	0.9953461	0.0189939
600	0.0506323	1.0016926	1.0742420	0.9692084	0.5703416	0.0027039	0.7724356	0.0549895	1.0394516	0.0154090
650	0.0284721	0.8929457	1.0723611	0.9140716	0.4992977	0.0077180	0.7484989	0.0579209	0.9873339	0.0203243
700	0.0262906	1.0124944	1.0553107	0.9317432	0.4082533	0.0115619	0.7318685	0.0264485	0.9336705	0.0149626
750	0.0178666	1.0881478	0.9584455	1.0653706	0.4424616	0.0109487	0.7575448	0.0248974	0.8211170	0.0124290
800	0.0148879	1.0478050	1.0118352	1.0388553	0.4125612	0.0049419	0.7769320	0.0113241	0.8453336	0.0099282
850	0.0117747	0.9124725	1.0194991	0.9856990	0.3650341	0.0094970	0.7439628	0.0066641	0.9198965	0.0111417
900	0.0130564	0.9069555	0.9360036	0.9650583	0.3920483	0.0076287	0.8277425	0.0037257	0.8989513	0.0124024
950	0.0006103	0.9906373	1.1019282	1.0289889	0.3690885	0.0167412	0.8325344	0.0151167	1.0177118	0.0142470
1000	0.0032072	1.0280980	0.9562562	0.9982771	0.3709307	0.0066319	0.7952835	0.0047906	1.0133016	0.0329001

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0113613	1.0276887	0.7553104	0.3976517	0.3525913	0.0116878	0.7876253	0.6920700	0.9229410	0.6715919
100	0.0353558	1.0022912	0.7701925	0.3103788	0.3901324	0.0115846	0.8148798	0.8387360	0.9119865	0.9507651
150	0.0579692	1.0756785	0.7900572	0.3008859	0.4594298	0.0125620	0.7949849	0.9179036	0.8716699	0.8930615
200	0.0303643	1.0006046	0.7252531	0.2763804	0.4182129	0.0061553	0.7872330	0.8748345	0.9090908	0.9033290
250	0.0734307	0.9730330	0.7747900	0.2526105	0.4198830	0.0183163	0.8618322	0.9208003	0.9135332	0.9201528
300	0.0794760	0.9697765	0.7798685	0.2621934	0.5628306	0.0257472	0.7756815	0.9404556	0.8680421	0.8726849
350	0.1339443	0.9509799	0.7712204	0.2408379	0.5356350	0.0112832	0.7873421	0.9229021	0.8134555	1.0002722
400	0.1143141	1.0182423	0.8107740	0.2079357	0.5622070	0.0070624	0.7951670	0.8907586	0.8908904	0.9322723
450	0.1293410	1.1226970	0.7677575	0.1487170	0.5440255	0.0079188	0.7861964	0.8531575	0.9492765	0.9004816
500	0.1699929	1.1483873	0.7405631	0.1761858	0.5386125	0.0111430	0.7651334	0.8584486	0.9274094	0.8958481
550	0.1511136	1.0387215	1.0108983	0.4120780	0.6219629	0.0197330	0.7376825	0.2578860	0.8637542	0.1740897
600	0.0831267	0.9293792	0.9931812	0.4237088	0.6713227	0.0184489	0.7206287	0.1244061	0.9268384	0.0581354
650	0.0596696	1.0078420	1.0067347	0.5211667	0.6115157	0.0133557	0.7446793	0.0948382	0.8683828	0.0192474
700	0.0488587	1.0180824	1.0199112	0.7889117	0.5296543	0.0096490	0.7450277	0.0438256	0.9598721	0.0159320
750	0.0428333	0.9947994	0.9607981	0.9067765	0.4767127	0.0162516	0.7720620	0.0372832	0.9553985	0.0162134
800	0.0205793	1.0151101	1.0075520	1.0095303	0.4424926	0.0032713	0.7635162	0.0387972	0.9635145	0.0142766
850	0.0120926	0.9835150	1.1130026	1.0346870	0.4370088	0.0065812	0.7862820	0.0295956	0.9701314	0.0125792
900	0.0107170	0.9784693	0.9513243	0.9867827	0.3757147	0.0080313	0.7497825	0.0178876	0.9554470	0.0092928
950	0.0131866	1.0279360	0.9621025	0.9721813	0.3693164	0.0117077	0.8110001	0.0126206	0.9695805	0.0143940
1000	0.0111269	1.0991947	0.9244000	0.9853393	0.3659498	0.0084318	0.8119842	0.0155941	0.9643008	0.0105778

