"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0006676	1.1300157	0.8677511	0.7444713	0.3803300	0.0090512	0.8207205	0.0096094	0.8994884	0.0140700
100	0.0005039	0.9622924	0.5018469	0.4366341	0.4182040	0.0099624	0.7384569	0.0107957	0.8447483	0.0223973
150	0.0015534	0.9489381	0.3418859	0.3540881	0.5408872	0.0036350	0.6897351	0.0079979	0.9476381	0.0219541
200	0.0024991	0.9033364	0.3018513	0.3101154	0.5304880	0.0196787	0.8220180	0.0007236	0.9245538	0.0251216
250	0.0036819	0.9564238	0.3049134	0.2314142	0.6261035	0.0068432	0.7588321	0.0090183	1.0313563	0.0068520
300	0.0082495	0.9642364	0.2829525	0.2288779	0.7578073	0.0090049	0.7640610	0.0086316	1.1040669	0.0183755
350	0.0188068	0.9075820	0.2817205	0.2093744	0.6760668	0.0051184	0.7599103	0.0109942	0.9132800	0.0112426
400	0.0123558	1.0474666	0.2978571	0.2184914	0.6934378	0.0037842	0.7626058	0.0066348	0.9896854	0.0172844
450	0.0139806	1.0977585	0.2406002	0.2382328	0.6749442	0.0070957	0.8670968	0.0062582	0.9612110	0.0255335
500	0.0220494	1.0370561	0.2944194	0.2687137	0.6939097	0.0057781	0.7962086	0.0102729	0.8965511	0.0236558
550	0.0450215	1.0115360	0.4874229	0.5197567	0.7459907	0.0048563	0.8822810	0.0055894	0.8535615	0.0297898
600	0.0641391	1.0931248	0.7507097	0.8570621	0.6774934	0.0099071	0.7008331	0.0174432	0.9413026	0.0273851
650	0.0348156	1.0498829	0.9081547	0.9034660	0.6159584	0.0089635	0.6869138	0.0605478	0.9967225	0.0191997
700	0.0369227	1.0191546	1.0262851	0.8299145	0.4943904	0.0126234	0.6547461	0.0403981	0.9445204	0.0126982
750	0.0331396	1.0752837	1.0336803	0.9403505	0.4407828	0.0118833	0.6783683	0.0254938	0.8208233	0.0160376
800	0.0132189	1.1155243	1.0145715	0.9083533	0.4782877	0.0091514	0.7397907	0.0122834	0.8063317	0.0098074
850	0.0176101	1.0272708	1.0574981	0.9023991	0.3828336	0.0158008	0.7457414	0.0121390	0.8193768	0.0349950
900	0.0076555	0.9280147	1.0166508	0.9763428	0.3343066	0.0124322	0.7536725	0.0151178	0.8956778	0.0396154
950	0.0117637	0.9229991	1.0551890	1.0395701	0.3297840	0.0152090	0.8259207	0.0110496	0.9023782	0.0226876
1000	0.0041724	0.9604143	0.9837813	1.0359726	0.4217323	0.0114504	0.7389055	0.0096824	1.0255403	0.0206857

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0161908	1.0424523	0.9780467	0.6547279	0.3159396	0.0036485	0.8040942	0.3194483	0.9107891	0.5620222
100	0.0200193	1.0165137	0.8461760	0.4292739	0.3285190	0.0104200	0.7718409	0.6578265	0.8886477	0.7920125
150	0.0424367	1.0257630	0.8357420	0.3613491	0.4290018	0.0102128	0.8561985	0.7895328	0.9153924	0.8622970
200	0.0465668	1.0703150	0.7934482	0.3271858	0.4679915	0.0168729	0.8286311	0.8660206	0.9305123	0.8995932
250	0.0640437	1.0442776	0.7668969	0.2742654	0.4196432	0.0139981	0.7974816	0.9276037	0.9195597	0.8447768
300	0.0865072	1.0310766	0.8026065	0.2558488	0.5452351	0.0250185	0.8413550	0.9032312	0.8186598	0.8880014
350	0.1002835	1.0276170	0.8021059	0.2412734	0.5518187	0.0271011	0.7546810	1.0427190	0.8270972	0.8824189
400	0.1190914	1.0408852	0.8301996	0.1793755	0.5612854	0.0179791	0.7617967	0.9280751	0.7223054	0.9129587
450	0.1354583	0.9029621	0.7706798	0.1738910	0.5575037	0.0142567	0.8167665	0.8591623	0.8911940	0.9290259
500	0.1459862	1.0620122	0.7217733	0.1562492	0.4902314	0.0136609	0.7387776	0.8035806	0.9637086	0.8258710
550	0.1554518	1.0645457	0.9415370	0.3403951	0.6028793	0.0164831	0.6928358	0.5749349	0.9642609	0.4224967
600	0.1339537	0.9977002	0.9902748	0.3280739	0.5947350	0.0083762	0.6717566	0.3056772	0.9870651	0.1232993
650	0.0826147	1.1074767	0.9883437	0.4308535	0.6683657	0.0064677	0.7645388	0.2086376	0.9816339	0.0417574
700	0.0329626	1.0916924	1.0688863	0.6505769	0.5716053	0.0067397	0.7308976	0.1090662	0.9703884	0.0126688
750	0.0505420	1.0527734	1.0113388	0.7508466	0.4632745	0.0102025	0.7563806	0.0638599	0.8782960	0.0131949
800	0.0272594	0.9834364	1.0190667	0.9281925	0.4545576	0.0101933	0.8295071	0.0646817	1.0497202	0.0165597
850	0.0181472	1.0471224	1.0538753	0.9512529	0.4197725	0.0054195	0.8485494	0.0637551	1.0235029	0.0222746
900	0.0259155	1.0243847	0.9497061	1.0096293	0.3663868	0.0052203	0.7110259	0.0276689	0.8642057	0.0119775
950	0.0095443	0.9555673	0.9577426	1.0488973	0.4153830	0.0097390	0.7066987	0.0273952	0.9907600	0.0128781
1000	0.0101987	1.0811533	0.9987681	0.9733525	0.3947731	0.0043081	0.7815007	0.0374361	0.9307962	0.0124361

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0102292	1.0467941	0.9399244	0.8653801	0.4099487	0.0105823	0.7185222	0.0230846	0.8137683	0.1045812
100	0.0141888	1.1049006	0.9764002	0.9837706	0.3861320	0.0050810	0.7514783	0.0236595	0.9023707	0.1383046
150	0.0278235	1.0121444	0.9863725	0.9268105	0.3918245	0.0031355	0.8103237	0.0146025	0.9445865	0.1962197
200	0.0268600	1.0777060	1.0625398	0.8879774	0.4270200	0.0138639	0.7587029	0.0281503	0.9729578	0.1938930
250	0.0173312	1.1412136	1.0591363	0.9456333	0.4287163	0.0091342	0.7011933	0.0121917	0.9624670	0.2271097
300	0.0112318	1.1498346	0.9904641	0.9277135	0.4750893	0.0089091	0.8554724	0.0254240	0.9752852	0.1668297
350	0.0055259	1.0265231	0.9281329	0.9985989	0.3635730	0.0121867	0.8835754	0.0218665	1.0567761	0.2005556
400	0.0091905	0.9518825	0.9700119	0.9431364	0.3721366	0.0146094	0.8254937	0.0051148	0.9877752	0.2330829
450	0.0111305	0.9591473	0.9809678	0.9639703	0.3899271	0.0143131	0.7766297	0.0088494	1.0150485	0.1809823
500	0.0166258	1.0677865	0.9883492	1.1045622	0.3809704	0.0130176	0.8700867	0.0157135	0.9530392	0.2383370
550	0.0160311	1.0141057	0.9767752	0.9446609	0.4633500	0.0135351	0.7869729	0.0265884	0.8872149	0.0930396
600	0.0168383	1.0058903	1.0393913	0.9630224	0.3894176	0.0115751	0.8073753	0.0330967	0.9951311	0.0378389
650	0.0100512	1.0322672	1.0284440	0.9915234	0.3083312	0.0153554	0.7181688	0.0365001	1.0101731	0.0107063
700	0.0225069	1.0072136	0.9952331	0.9837721	0.4297720	0.0199889	0.7306020	0.0356281	1.0784663	0.0150009
750	0.0105483	0.9777685	0.9858042	0.9194254	0.3927828	0.0282106	0.7458046	0.0260409	0.9892032	0.0188194
800	0.0023057	0.8519205	0.9815100	1.0073810	0.3761898	0.0136258	0.7592561	0.0163742	0.9041064	0.0337883
850	0.0124977	0.9610173	1.0034128	1.0515703	0.3752497	0.0069926	0.7388849	0.0078627	0.9335554	0.0085694
900	0.0241522	0.9578447	0.9660123	1.0071189	0.3320039	0.0153593	0.6874560	0.0098405	0.9257964	0.0288912
950	0.0163608	0.9837447	0.9302637	1.0832405	0.3553226	0.0140472	0.7419907	0.0288151	0.9170649	0.0210165
1000	0.0108857	0.8954051	0.9896143	0.9321248	0.4031160	0.0109918	0.8455049	0.0332961	0.9358885	0.0060166

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0192812	1.0653375	1.0160389	0.9772780	0.3879301	0.2891552	0.7435843	0.0226485	0.9848458	0.0412142
100	0.0191942	1.0126384	0.9984203	1.0404263	0.3983070	0.6407715	0.8841401	0.0277358	1.0136999	0.0174091
150	0.0191670	1.0260445	1.0260090	1.0387430	0.3598183	0.9199798	0.8999393	0.0253401	0.9910261	0.0093610
200	0.0087666	1.0283561	1.0669555	0.9952672	0.3689732	0.8999577	0.9005855	0.0191603	0.9742869	0.0128211
250	0.0219091	0.9483582	1.0394642	0.9641086	0.4014791	0.9218365	0.9578878	0.0188729	0.9894655	0.0116681
300	0.0128155	0.9213125	0.9334475	0.9097557	0.3391531	0.8097942	0.9697352	0.0119272	0.9549485	0.0134055
350	0.0105875	0.9409495	0.9051206	0.8928901	0.3134821	0.9312439	0.8315550	0.0170525	0.9306904	0.0091543
400	0.0050393	0.9813520	1.0455200	0.8739481	0.4064407	0.9224424	0.7916966	0.0333294	0.9133956	0.0063176
450	0.0044568	0.9873623	1.0330350	0.8513123	0.4232959	0.9800827	0.8376915	0.0237143	0.8860096	0.0295277
500	0.0296140	0.9695471	0.9233541	0.8165009	0.4856724	0.9875150	0.8498834	0.0143495	0.8130305	0.0196977
550	0.0374866	1.0106608	0.9533603	0.9020055	0.4008596	0.8013678	0.7143827	0.0219180	0.8280394	0.0239378
600	0.0270829	0.9578568	0.9651992	0.9901363	0.3626513	0.4360403	0.8003782	0.0426297	0.8855167	0.0359027
650	0.0210513	0.9706428	0.9748565	1.0472631	0.3540597	0.1965241	0.7732603	0.0513862	1.0063964	0.0180309
700	0.0155236	0.8960891	1.0056731	1.0517238	0.3577248	0.0773081	0.7469735	0.0354799	1.1179169	0.0220725
750	0.0119094	0.8930370	0.9365453	1.0573177	0.4036065	0.0404137	0.8012720	0.0146303	1.0128975	0.0114223
800	0.0107868	0.9443783	0.9361750	0.8979325	0.4543438	0.0216305	0.8557391	0.0206578	0.9433265	0.0146571
850	0.0197575	0.9837808	0.9635889	1.0310723	0.3342665	0.0292387	0.7903063	0.0231417	0.9496304	0.0045308
900	0.0087083	1.0820013	1.0376648	0.8914921	0.4285595	0.0298553	0.8004062	0.0127421	0.9379843	0.0334230
950	0.0252974	0.9966485	1.0471795	0.8651596	0.4566369	0.0222378	0.7137457	0.0203816	0.8530290	0.0222549
1000	0.0200557	1.0391276	0.9920113	0.9456922	0.4313758	0.0306793	0.7501991	0.0114541	0.9559907	0.0300714

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0069627	1.0262884	1.0475455	0.9630442	0.3745207	0.1157263	0.8181233	0.2867381	0.9144466	0.0220460
100	0.0165352	1.0686954	1.0895923	1.0567691	0.3156853	0.2571595	0.7020359	0.6666318	0.9521544	0.0327038
150	0.0112761	0.9942544	1.0805544	1.0527164	0.3898257	0.2614003	0.7711102	0.7237533	0.9100228	0.0242152
200	0.0146107	0.9656180	0.9565814	0.9797282	0.3397187	0.2852027	0.7123317	0.7193233	0.8804501	0.0461379
250	0.0114191	1.0171308	0.9742782	0.9761087	0.4115214	0.3751385	0.6927439	0.7270390	0.8453827	0.0264804
300	0.0036758	1.0437890	0.9742613	1.1029012	0.3703642	0.4048140	0.6798331	0.7888084	0.8851076	0.0121765
350	0.0060072	1.0575363	1.0284969	1.0997087	0.3766484	0.4469033	0.6890862	0.7899165	0.7774627	0.0110588
400	0.0061295	0.9385035	0.9596832	0.9253416	0.3048158	0.3723007	0.8060134	0.6960346	0.8817459	0.0159640
450	0.0042615	0.9817324	1.0221259	1.0203465	0.3785515	0.3808753	0.8732060	0.8323271	0.9070720	0.0257407
500	0.0309135	1.0131412	1.0184203	0.9931861	0.3824924	0.3727783	0.7521182	0.7647200	0.8517686	0.0124685
550	0.0287570	0.9448903	0.9877823	0.9872266	0.4318698	0.2513233	0.8273553	0.5223729	0.9266800	0.0047273
600	0.0176945	1.0235041	1.0050558	1.0317598	0.4517146	0.1470599	0.8148090	0.2392236	0.9444851	0.0185929
650	0.0065605	0.9908849	1.0124686	0.8876611	0.4253171	0.0788821	0.6648009	0.0916327	0.8985635	0.0166403
700	0.0033738	1.0274069	1.0553075	0.9740363	0.3723835	0.0444129	0.7624246	0.0546030	0.9604375	0.0112899
750	0.0090555	0.9894348	1.0938871	0.9904787	0.4346977	0.0204105	0.8643059	0.0324934	1.0082727	0.0217450
800	0.0082538	1.0183423	0.9773155	1.1243524	0.3796253	0.0061769	0.7883329	0.0194951	0.9942255	0.0379041
850	0.0157946	1.0825215	0.9992917	1.1386511	0.3923402	0.0101599	0.7362206	0.0153577	0.9790404	0.0189480
900	0.0122586	1.0224749	0.9967358	1.1348724	0.3921749	0.0097341	0.7569486	0.0190164	1.0563260	0.0131958
950	0.0212151	1.0800396	1.0564641	0.9885637	0.3682256	0.0059793	0.7176459	0.0172847	0.9606960	0.0140718
1000	0.0104858	1.1810091	1.0300986	0.9497443	0.3154188	0.0042256	0.7632639	0.0237500	0.8931398	0.0156233

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0187292	1.0396660	0.7694352	0.9597579	0.4060428	0.0070577	0.8217247	0.2200018	0.9623376	0.0177848
100	0.0318337	1.0154613	0.5052090	1.0240530	0.3835912	0.0063372	0.7562038	0.4306515	0.8706677	0.0107651
150	0.0221380	0.9551252	0.4077990	0.9690358	0.4001259	0.0000000	0.7232283	0.4645863	0.7963983	0.0107568
200	0.0287019	0.9963584	0.3809948	0.9426661	0.3280009	0.0029628	0.6949425	0.5182921	0.8957525	0.0214206
250	0.0338377	0.9636375	0.4298086	1.0025790	0.3776060	0.0144730	0.8136220	0.5275359	0.9313629	0.0253870
300	0.0201023	1.0205769	0.4132696	0.9269349	0.3829457	0.0158548	0.7083950	0.4907657	0.9760033	0.0169511
350	0.0364615	1.0670971	0.4057547	0.8845952	0.3747621	0.0119486	0.8206811	0.5666124	0.9595002	0.0187795
400	0.0211320	1.1136115	0.4120526	1.0069566	0.3757649	0.0093575	0.7404914	0.5807896	1.0203785	0.0363727
450	0.0249440	1.0612090	0.3871363	0.9715972	0.3535938	0.0112736	0.8064759	0.5376181	1.0087407	0.0179322
500	0.0249580	1.1057016	0.3817895	0.9575241	0.3540059	0.0296690	0.7458563	0.5316548	0.9740076	0.0129594
550	0.0264285	0.9871368	0.6307916	0.9191667	0.3464206	0.0242854	0.7823944	0.3359512	0.9596418	0.0197709
600	0.0267550	0.9558496	0.8070112	0.9170005	0.3918119	0.0151937	0.7438214	0.2028691	0.8554812	0.0215600
650	0.0159064	1.0351384	0.8878961	0.9779745	0.3707545	0.0228549	0.7565744	0.0784077	0.9015943	0.0206390
700	0.0133343	1.0709459	0.9307052	0.9158165	0.4194141	0.0215017	0.9343754	0.0434221	0.9616658	0.0253519
750	0.0119031	1.0249036	0.9668725	0.9307215	0.4535250	0.0201473	0.9461911	0.0264886	1.0442628	0.0250966
800	0.0031838	1.0620593	1.0065263	0.9880700	0.4112451	0.0081955	0.9140740	0.0297887	0.9857489	0.0272170
850	0.0027943	1.0186107	1.0688165	0.9565875	0.3967055	0.0080398	0.8434848	0.0188262	0.8743231	0.0189497
900	0.0122367	1.0070379	1.0131112	1.0396487	0.3953623	0.0094839	0.8857387	0.0060204	0.8942856	0.0127851
950	0.0124665	1.0279792	1.0377293	1.0706612	0.3228513	0.0089592	0.8762130	0.0077865	0.8860614	0.0153622
1000	0.0209707	0.9760742	1.0517353	1.0041215	0.3675826	0.0117002	0.8377732	0.0146292	0.9196134	0.0187705

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0200256	0.9752372	0.7911880	1.0478998	0.4262125	0.0169513	0.8159721	0.0251719	0.9155522	0.0387251
100	0.0212744	0.9025692	0.4086364	0.9379500	0.4799892	0.0137823	0.7041933	0.0347318	0.9550005	0.0267029
150	0.0252739	0.9668354	0.2325188	0.9766223	0.5146919	0.0183450	0.8364107	0.0308173	0.9704735	0.0111683
200	0.1202615	1.0217464	0.2046988	0.8931287	0.5406606	0.0126039	0.9267357	0.0429153	0.9744222	0.0163715
250	0.2293119	0.9638418	0.2306855	0.9343380	0.5267993	0.0144662	0.8576577	0.1507919	0.9364295	0.0293038
300	0.3048217	1.0177016	0.1928152	1.0444723	0.5559081	0.0090771	0.7388767	0.2600870	0.7715384	0.0504684
350	0.3618390	0.9686329	0.1747830	0.9236350	0.5746130	0.0129729	0.6126997	0.3078696	0.6906947	0.0429002
400	0.4409156	1.0279240	0.1501155	1.0109418	0.5051023	0.0173278	0.5464956	0.3655906	0.7760262	0.0605068
450	0.4995068	1.0103017	0.1591739	0.9311667	0.5708637	0.0259972	0.5308759	0.3939814	0.7866435	0.1731154
500	0.4805977	1.0797868	0.1500855	1.0670193	0.5292107	0.0189074	0.5235193	0.4913359	0.8195103	0.1939627
550	0.4283983	1.0932502	0.4553740	1.0939569	0.4690189	0.0416647	0.3697266	0.4794400	0.7410071	0.1635072
600	0.2581423	1.0149534	0.7032125	0.9985899	0.4364761	0.0500050	0.1962263	0.4419923	0.7538091	0.1301086
650	0.1424363	0.9892649	0.8528695	0.8517425	0.4018791	0.0271724	0.1899266	0.3172544	0.7155204	0.0759095
700	0.0687050	1.0108513	0.9601819	0.6143071	0.4679165	0.0109089	0.3731250	0.2079471	0.8086386	0.0384093
750	0.0332643	0.8996593	0.8623700	0.8213562	0.4587155	0.0144320	0.5535144	0.0846236	0.8815719	0.0118146
800	0.0280718	1.0291619	0.9535846	0.8876774	0.4654064	0.0286914	0.7193783	0.0517546	0.9023459	0.0310586
850	0.0229683	0.9599137	0.9806094	1.0031011	0.4827014	0.0120226	0.7190782	0.0397600	0.8709920	0.0189109
900	0.0102470	0.9417422	1.0284838	0.9222687	0.4073709	0.0098898	0.7543313	0.0480531	0.8763051	0.0166385
950	0.0160862	0.9444009	1.0571295	0.8997785	0.4029132	0.0116925	0.7527690	0.0268877	0.8994988	0.0135048
1000	0.0101008	1.0062538	1.0292376	0.9847061	0.3454235	0.0054754	0.8152190	0.0160592	0.9254406	0.0176348

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0125233	1.1080884	1.0238351	0.5774040	0.4095981	0.0029535	0.7015029	0.0188592	1.0077446	0.1494116
100	0.0298561	0.9510282	1.0618379	0.2836086	0.5288930	0.0108858	0.7788958	0.0207871	1.0104045	0.2712646
150	0.0794050	0.9188413	1.0250815	0.0978759	0.6534858	0.0023295	0.7942945	0.0154083	0.9902340	0.2664559
200	0.1477624	0.8657292	1.0476543	0.0466175	0.8233705	0.0057196	0.8014098	0.0168483	0.9241666	0.3567299
250	0.2547130	0.8722589	1.0671309	0.0213805	0.8847177	0.0012862	0.7550738	0.0177503	0.8817961	0.3140778
300	0.3200256	0.9223709	1.0514353	0.0089547	0.8964619	0.0059702	0.6923730	0.0098017	0.6911090	0.2967980
350	0.2847304	0.9448244	1.0216358	0.0034026	0.8678596	0.0064815	0.7204965	0.0089746	0.5896795	0.3498753
400	0.3289975	0.9657447	1.0070124	0.0029891	0.8264326	0.0043902	0.8562120	0.0059324	0.5638907	0.3715004
450	0.4205415	1.0314674	0.9825787	0.0037844	0.8947078	0.0035269	0.8893022	0.0000000	0.4957109	0.3447084
500	0.3641860	0.9981590	1.0321209	0.0121513	0.9372543	0.0131640	0.8225251	0.0026645	0.5542472	0.4541535
550	0.3619973	1.0022043	1.0302194	0.0986398	0.8707720	0.0093026	0.6556914	0.0117723	0.5480369	0.2578981
600	0.2941993	1.0149814	1.0541981	0.1415619	0.7682693	0.0141366	0.4869171	0.0692527	0.5006495	0.1658800
650	0.2403042	0.9628983	1.0732849	0.1760593	0.7795690	0.0139995	0.4226893	0.0928261	0.5895225	0.0749467
700	0.1470903	0.9481292	0.9909428	0.2658919	0.7280174	0.0159939	0.5861430	0.0603619	0.6486850	0.0569615
750	0.0971954	0.9018707	0.9866622	0.3615924	0.6744371	0.0193902	0.6989374	0.0548521	0.6844377	0.0375390
800	0.0948646	0.9259021	1.0540698	0.5600357	0.6237678	0.0283848	0.7271660	0.0729436	0.7486857	0.0134016
850	0.0790612	0.9932629	1.0013177	0.6052326	0.5185963	0.0153794	0.7414951	0.0716554	0.8217129	0.0176502
900	0.0382878	0.9839880	1.0918589	0.6812510	0.4659162	0.0090622	0.7708304	0.0758886	0.8941525	0.0253775
950	0.0312700	0.9311947	1.0403473	0.8391568	0.4338894	0.0110623	0.7817545	0.0757772	1.0097031	0.0167943
1000	0.0114040	1.0795596	1.0946398	1.0295101	0.3351055	0.0162308	0.8353962	0.0619117	0.9761235	0.0247791

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0025800	1.0265943	1.1403874	1.0246570	0.3561040	0.0078845	0.7586035	0.0297194	1.0371425	0.0232664
100	0.0003019	0.9539948	0.9765947	1.0287836	0.3295518	0.0044605	0.8150130	0.0140269	1.0663193	0.0218488
150	0.0030896	1.0112271	1.0563251	1.0157535	0.3700654	0.0072171	0.7988502	0.0164672	0.9445915	0.0206279
200	0.0022682	0.9986588	1.0944722	0.9675322	0.3563738	0.0124975	0.8272396	0.0030626	0.9469530	0.0222090
250	0.0016086	0.8868757	1.0449697	1.0189337	0.2924267	0.0071532	0.8683188	0.0030938	0.8924382	0.0227461
300	0.0006454	0.9680193	1.0413259	0.9701705	0.3708379	0.0041057	0.7663506	0.0012450	0.8376106	0.0214286
350	0.0025746	0.9850962	1.0302411	1.0328535	0.3527708	0.0000182	0.8579640	0.0030680	0.9135150	0.0356820
400	0.0072951	0.9866685	0.9503295	1.0367819	0.4055193	0.0087042	0.7569593	0.0079015	0.9861875	0.0285534
450	0.0040903	1.0706973	0.9255262	0.9760014	0.4157838	0.0071472	0.8640883	0.0071334	0.9660849	0.0239813
500	0.0072606	1.0525804	1.0273821	1.0077834	0.3866733	0.0106898	0.8241718	0.0044440	1.1119883	0.0184268
550	0.0073611	1.0362371	0.9209426	0.9731521	0.3604919	0.0122934	0.9023852	0.0067902	1.0594494	0.0121426
600	0.0108160	0.9736676	1.0027673	0.9178303	0.3656900	0.0039949	0.8072756	0.0089242	0.9209918	0.0381342
650	0.0166369	0.8636288	1.0617189	0.8854018	0.3830093	0.0027116	0.8162331	0.0111722	0.8864181	0.0143012
700	0.0116244	0.9508771	1.0992054	1.0029130	0.3510114	0.0025873	0.8106918	0.0162155	0.8954007	0.0080713
750	0.0030921	0.9531286	1.0330512	1.0211252	0.3671470	0.0068754	0.8241143	0.0112332	0.8937021	0.0255633
800	0.0200943	0.9105726	1.0782250	1.0047971	0.3886464	0.0073140	0.9881977	0.0063547	0.8238140	0.0255936
850	0.0191081	0.9809187	1.0763831	1.0934032	0.3578230	0.0094629	0.8760366	0.0182597	0.8148555	0.0174033
900	0.0043108	0.9582690	0.9311198	1.0831511	0.3397078	0.0149226	0.8286596	0.0195017	0.8355678	0.0066181
950	0.0036285	0.9765731	1.0787590	1.0434799	0.3752535	0.0153422	0.7814812	0.0116492	0.8976368	0.0223910
1000	0.0115839	1.1388859	1.0565768	1.0378224	0.3922191	0.0196291	0.7899596	0.0113809	0.8990623	0.0070093

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0205497	1.1028312	1.0254624	1.1967371	0.3775991	0.0045962	0.8183053	0.0129525	0.9075621	0.4030373
100	0.0119824	1.1412447	1.0683111	1.0815758	0.3180326	0.0033582	0.8676447	0.0224663	0.8048046	0.6191024
150	0.0304551	1.0075913	1.0634777	1.0452338	0.2724489	0.0059517	0.9953391	0.0237451	0.7729674	0.6484277
200	0.0293907	0.9425051	0.9363305	0.9879642	0.3456606	0.0044171	0.9687424	0.0607789	0.7815338	0.7490170
250	0.0197916	1.0029876	1.0424245	0.8787216	0.4370872	0.0015388	0.9368235	0.0432224	0.6950159	0.6511352
300	0.0158720	1.0001015	1.0501319	0.9380515	0.4053058	0.0059168	0.8862676	0.0249541	0.7331279	0.6148301
350	0.0107709	1.0218160	1.0671216	0.9617174	0.3842701	0.0054168	0.8989426	0.0175308	0.7138313	0.6504257
400	0.0058951	1.0095371	0.9600611	0.9941731	0.3537610	0.0052274	0.8423615	0.0200721	0.7030055	0.7339959
450	0.0130959	1.0411485	0.9272807	0.9901486	0.3711530	0.0005470	0.9160515	0.0180997	0.7497736	0.6987111
500	0.0262846	0.9889278	0.9334985	1.0475967	0.3837534	0.0060225	0.8329620	0.0227005	0.7216915	0.7468752
550	0.0182411	0.9467860	0.9260780	0.9845951	0.3956613	0.0094373	0.8617996	0.0230884	0.8105029	0.3391047
600	0.0110301	1.0076211	0.9792643	1.0045494	0.4030226	0.0077315	0.8853758	0.0193020	0.8375618	0.0985647
650	0.0194545	1.0535329	1.0321271	1.0391963	0.3788661	0.0069918	0.8755894	0.0075560	0.9598158	0.0366956
700	0.0139321	1.0835859	1.0513990	1.0043127	0.4176151	0.0155860	0.7618918	0.0272888	0.9332042	0.0262633
750	0.0082335	1.0317237	1.0416665	0.9685191	0.4016886	0.0198039	0.7338739	0.0360099	0.9351843	0.0180650
800	0.0136276	1.0011209	0.9777025	1.0097320	0.3940831	0.0139174	0.8111165	0.0440091	0.9786483	0.0169409
850	0.0123694	0.9557714	0.9758324	1.0280796	0.3528985	0.0010724	0.8322592	0.0113069	1.0530265	0.0158020
900	0.0070279	1.0146546	0.9653798	1.1257888	0.4158980	0.0041866	0.7160971	0.0031338	0.9771192	0.0207029
950	0.0058386	1.0614425	1.0184384	1.0678765	0.4158424	0.0102563	0.7249012	0.0072665	0.9474224	0.0064336
1000	0.0075097	1.0746476	1.0575289	1.1397064	0.4230411	0.0080829	0.7190505	0.0156141	0.9201765	0.0214171

0	0.0196653	0.9439809	1.0479030	1.0338493	0.4495954	0.0084842	0.8039441	0.0292164	0.9821212	0.0214583
50	0.0189482	1.1230061	0.9866893	0.9433917	0.3140286	0.1685081	0.8031224	0.0230442	0.8652328	0.0155150
100	0.0158162	1.1657461	0.9265552	0.8977786	0.2564252	0.3708107	0.8725084	0.0137264	0.9827155	0.0079382
