"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0083658	1.0000000	0.7691866	0.7037204	0.3880081	0.0085437	0.7781573	0.0129818	0.9225881	0.0170372
100	0.0038622	1.0000000	0.5245189	0.4334544	0.4377657	0.0085437	0.7781577	0.0094881	0.9225886	0.0170368
150	0.0016911	1.0000000	0.3905946	0.3137232	0.5170429	0.0085436	0.7781579	0.0061034	0.9225890	0.0170366
200	0.0014287	1.0000000	0.3270266	0.2698206	0.5887699	0.0085436	0.7781579	0.0041405	0.9225892	0.0170365
250	0.0027075	1.0000000	0.2983178	0.2550756	0.6360925	0.0085436	0.7781580	0.0032860	0.9225892	0.0170365
300	0.0046980	1.0000000	0.2856062	0.2503653	0.6617691	0.0085436	0.7781580	0.0030851	0.9225893	0.0170365
350	0.0065280	1.0000000	0.2800240	0.2489079	0.6740287	0.0085436	0.7781580	0.0032367	0.9225893	0.0170365
400	0.0078246	1.0000000	0.2775813	0.2484667	0.6793915	0.0085436	0.7781580	0.0035281	0.9225892	0.0170366
450	0.0086108	1.0000000	0.2765139	0.2483351	0.6815954	0.0085436	0.7781580	0.0038199	0.9225892	0.0170366
500	0.0090422	1.0000000	0.2760479	0.2482963	0.6824604	0.0085436	0.7781580	0.0040478	0.9225891	0.0170367
550	0.0477339	1.0000000	0.5066578	0.5436165	0.6606844	0.0085437	0.7781543	0.0073036	0.9225547	0.0170476
600	0.0460857	1.0000000	0.7512368	0.8053325	0.5735319	0.0085463	0.7780615	0.0232463	0.9222227	0.0171055
650	0.0319511	1.0000000	0.8851223	0.9140262	0.4876060	0.0085487	0.7780244	0.0348711	0.9221458	0.0171015
700	0.0220915	1.0000000	0.9486734	0.9609550	0.4337978	0.0085481	0.7780732	0.0342472	0.9223114	0.0170690
750	0.0169553	1.0000000	0.9773748	0.9827773	0.4054793	0.0085466	0.7781158	0.0282197	0.9224549	0.0170493
800	0.0145563	1.0000000	0.9900832	0.9924043	0.3916418	0.0085453	0.7781386	0.0223898	0.9225315	0.0170415
850	0.0134930	1.0000000	0.9956639	0.9963829	0.3851581	0.0085445	0.7781493	0.0184262	0.9225656	0.0170387
900	0.0130360	1.0000000	0.9981061	0.9979587	0.3822181	0.0085441	0.7781541	0.0161364	0.9225795	0.0170378
950	0.0128436	1.0000000	0.9991731	0.9985699	0.3809231	0.0085439	0.7781562	0.0149324	0.9225848	0.0170375
1000	0.0127640	1.0000000	0.9996391	0.9988056	0.3803668	0.0085438	0.7781572	0.0143369	0.9225869	0.0170374

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0134602	1.0000000	0.9126348	0.7169567	0.3449815	0.0085437	0.7781573	0.3373768	0.9225880	0.4708909
100	0.0196804	1.0000000	0.8200256	0.4586617	0.3456738	0.0085437	0.7781576	0.6447257	0.9225873	0.7639020
150	0.0341358	1.0000000	0.7693340	0.3435705	0.3909567	0.0085437	0.7781572	0.7903291	0.9225747	0.8527286
200	0.0524807	1.0000000	0.7452728	0.2984852	0.4412942	0.0085439	0.7781490	0.8491735	0.9224340	0.8753486
250	0.0686262	1.0000000	0.7344063	0.2766612	0.4777136	0.0085444	0.7780942	0.8717680	0.9217020	0.8807243
300	0.0808037	1.0000000	0.7295948	0.2608671	0.5007186	0.0085453	0.7779220	0.8804168	0.9197487	0.8819753
350	0.0901533	1.0000000	0.7274819	0.2476209	0.5158241	0.0085464	0.7775960	0.8838137	0.9163768	0.8822804
400	0.0979113	1.0000000	0.7265573	0.2365878	0.5268527	0.0085475	0.7771264	0.8852197	0.9117765	0.8823740
450	0.1046777	1.0000000	0.7261533	0.2274671	0.5355723	0.0085485	0.7765310	0.8858589	0.9061730	0.8824218
500	0.1106781	1.0000000	0.7259769	0.2198884	0.5427424	0.0085494	0.7758221	0.8861952	0.8997460	0.8824608
550	0.1054491	1.0000000	0.8132651	0.4203158	0.5876587	0.0085527	0.7742530	0.5744260	0.8935790	0.4294648
600	0.0759041	1.0000000	0.9058406	0.6017044	0.5751308	0.0085658	0.7724905	0.2866808	0.8965565	0.1365616
650	0.0491189	1.0000000	0.9565177	0.7451865	0.5257889	0.0085704	0.7740753	0.1480772	0.9070059	0.0472073
700	0.0320974	1.0000000	0.9805724	0.8646278	0.4756035	0.0085645	0.7760247	0.0840814	0.9152411	0.0242171
750	0.0224658	1.0000000	0.9914361	0.9381034	0.4361527	0.0085565	0.7771699	0.0520293	0.9195422	0.0186972
800	0.0173861	1.0000000	0.9962464	0.9739656	0.4099877	0.0085507	0.7777206	0.0345898	0.9214158	0.0174157
850	0.0148584	1.0000000	0.9983588	0.9892422	0.3948171	0.0085472	0.7779676	0.0248332	0.9221574	0.0171232
900	0.0136619	1.0000000	0.9992831	0.9952756	0.3868815	0.0085454	0.7780757	0.0194676	0.9224347	0.0170569
