"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.8053952	1.0430033	0.5027263	0.2848109	0.4076368	0.0596438	0.3139982	0.1678955	0.2677928	0.1726433	0.2185841	0.0346736	0.0329177	0.5984516	0.9806326	0.0255934	0.2377669	0.4847804	0.2140663	0.4079076
50	0.6881219	0.9411601	0.2566570	0.3088489	0.3842582	0.0342321	0.3647673	0.1947375	0.2397920	0.2014540	0.2006326	0.0364079	0.0475732	0.9771266	1.0341974	0.0008960	0.2586287	0.5106664	0.1819333	0.4179430
100	0.7727158	1.0044402	0.1436723	0.3002036	0.4386926	0.0391136	0.4003720	0.1630789	0.3011337	0.2194587	0.2499837	0.0267233	0.0296729	1.0042595	0.9523193	0.0005780	0.2505309	0.5175091	0.1888368	0.4461068
150	0.8003025	0.8898275	0.1709176	0.2982618	0.4261931	0.0370869	0.2987560	0.1506143	0.2272429	0.1987714	0.2017193	0.0117672	0.0377949	1.1181769	0.9830600	0.0016348	0.2383749	0.4661910	0.1861467	0.4207409
200	0.7759237	1.0039672	0.1396303	0.2933678	0.4198201	0.0380481	0.3338802	0.1335717	0.2413760	0.2033703	0.1886622	0.0134662	0.0263068	0.9871489	0.9394790	0.0000341	0.2240671	0.5385154	0.1413783	0.4405150
250	0.7834160	0.9923372	0.1477955	0.2519925	0.3516494	0.0555457	0.3028909	0.1298666	0.2784286	0.1465326	0.2055093	0.0173258	0.0362254	0.9627886	0.9846190	0.0002340	0.2226142	0.4584431	0.1297708	0.3725682
300	0.8273179	1.0051398	0.1348477	0.3465233	0.3670937	0.0495815	0.3373393	0.1339937	0.2459575	0.1792245	0.2130372	0.0169396	0.0275683	1.0197693	0.9654686	0.0004951	0.1987834	0.5472096	0.1592410	0.3670030
350	0.7506560	0.9911579	0.1640891	0.3260937	0.4536667	0.0437176	0.3034209	0.1303450	0.2687162	0.2176641	0.2093977	0.0245803	0.0346828	0.9548629	1.0357679	0.0003801	0.2401818	0.5667473	0.1921920	0.4057416
400	0.7619383	0.9441186	0.1968330	0.4564917	0.4284038	0.0363032	0.2896882	0.1072931	0.2619920	0.2698622	0.2531147	0.0417351	0.0503721	0.9927592	0.9998898	0.0005357	0.2823654	0.5099876	0.2061925	0.4572222
450	0.6923338	0.9486007	0.2209668	0.3931806	0.3839057	0.0426951	0.2985710	0.1398207	0.2165864	0.2985298	0.1849292	0.0271702	0.0487162	0.9468761	0.8682407	0.0015136	0.2933634	0.4833259	0.2238180	0.4456749
500	0.6020336	0.9679345	0.1664604	0.3551812	0.3969222	0.0268689	0.2909951	0.1335632	0.1697959	0.2775843	0.2442556	0.0392394	0.0626387	1.0016362	0.9453010	0.0017102	0.2495905	0.4288952	0.1913856	0.4596092
550	0.7156761	0.9274547	0.3925531	0.2948082	0.4429167	0.0318941	0.2534407	0.1732738	0.1945194	0.2032943	0.1863832	0.0400693	0.0361117	0.6185770	0.9784776	0.0184077	0.2351910	0.4935598	0.2524189	0.3898624
600	0.6753632	0.9373430	0.5023966	0.4162381	0.4103859	0.0202736	0.2944468	0.2051442	0.2094748	0.2701906	0.2065970	0.0441507	0.0483605	0.5434767	1.0156270	0.0178556	0.2671763	0.4990610	0.3169444	0.3986113
650	0.6569424	0.9819555	0.4937406	0.3625247	0.4458355	0.0207957	0.3021479	0.1959358	0.1935655	0.3085442	0.1825648	0.0578459	0.0362779	0.5737166	0.9771517	0.0180728	0.2503138	0.4863944	0.3206248	0.4182691
700	0.6794709	0.9743466	0.4455364	0.3823434	0.4595269	0.0239003	0.2505442	0.1774119	0.1972961	0.2225135	0.1763339	0.0348716	0.0406281	0.6233995	0.9426638	0.0077116	0.2494231	0.4780043	0.2670526	0.4419531
750	0.7859370	0.9846115	0.4466504	0.3348854	0.4169117	0.0320084	0.2805609	0.1436865	0.2557731	0.2110029	0.1710069	0.0445588	0.0640533	0.6220885	0.9947204	0.0138404	0.1995703	0.4182393	0.2315695	0.3742766
800	0.7422274	0.9923355	0.4743664	0.2797468	0.4015216	0.0451679	0.2914107	0.1764982	0.2685990	0.2078424	0.2074517	0.0654994	0.0582081	0.6491507	0.9431398	0.0141290	0.2378481	0.4728469	0.1900813	0.3843238
850	0.7502891	0.9447802	0.5002320	0.3277255	0.4668774	0.0449668	0.3132376	0.1772349	0.2867492	0.2430148	0.2039811	0.0496197	0.0554492	0.5880526	0.9366211	0.0183120	0.2516115	0.5232148	0.2229060	0.4335817
900	0.6636367	0.9326512	0.5114629	0.3488809	0.4412507	0.0465108	0.3199457	0.2064439	0.2306931	0.2680381	0.2116084	0.0318535	0.0573461	0.6499974	0.9684822	0.0241690	0.2332567	0.5130485	0.2524609	0.4601388
