"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC

0	0.7690122	1.0000000	0.4614713	0.2888259	0.3971757	0.0443361	0.3036893	0.1775033	0.2541609	0.1913976	0.1949777	0.0403240	0.0399484	0.5625084	0.9724241	0.0202075	0.2326217	0.4882894	0.2240297	0.4025721
50	0.7690349	1.0000000	0.4614712	0.2888238	0.2066846	0.0443489	0.3037224	0.1774925	0.2541738	0.1913974	0.1949765	0.0302838	0.0399460	0.5625332	0.9611605	0.0202042	0.1870826	0.4882779	0.2240197	0.4025684
100	0.7690443	1.0000000	0.4614712	0.2888231	0.0956846	0.0443538	0.3037356	0.1774882	0.2541787	0.1913974	0.1949761	0.0212334	0.0399452	0.5625442	0.9507567	0.0202030	0.1495379	0.4882732	0.2240154	0.4025670
150	0.7690482	1.0000000	0.4614712	0.2888228	0.0634825	0.0443557	0.3037408	0.1774866	0.2541805	0.1913974	0.1949760	0.0167854	0.0399448	0.5625491	0.9455112	0.0202026	0.1341799	0.4882713	0.2240136	0.4025664
200	0.7690498	1.0000000	0.4614712	0.2888228	0.0551471	0.0443564	0.3037429	0.1774859	0.2541812	0.1913974	0.1949759	0.0147871	0.0399447	0.5625513	0.9430933	0.0202024	0.1287806	0.4882706	0.2240128	0.4025662
250	0.7690505	1.0000000	0.4614712	0.2888227	0.0530522	0.0443567	0.3037436	0.1774857	0.2541814	0.1913974	0.1949759	0.0139067	0.0399447	0.5625523	0.9420003	0.0202024	0.1269831	0.4882703	0.2240124	0.4025662
300	0.7690507	1.0000000	0.4614712	0.2888227	0.0525300	0.0443568	0.3037439	0.1774856	0.2541815	0.1913974	0.1949759	0.0135206	0.0399447	0.5625527	0.9415085	0.0202023	0.1263981	0.4882702	0.2240123	0.4025661
350	0.7690508	1.0000000	0.4614712	0.2888227	0.0524002	0.0443568	0.3037440	0.1774855	0.2541816	0.1913974	0.1949759	0.0133515	0.0399447	0.5625529	0.9412874	0.0202023	0.1262096	0.4882701	0.2240122	0.4025661
400	0.7690509	1.0000000	0.4614712	0.2888227	0.0523680	0.0443568	0.3037441	0.1774855	0.2541816	0.1913974	0.1949759	0.0132774	0.0399447	0.5625530	0.9411880	0.0202023	0.1261491	0.4882701	0.2240122	0.4025661
